Ref,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
1,CAB,Cabinet Office,17-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,COD DEVELOPMENT AND ENGINEERING,AMAZON WEB SERVICES EMEA SARL,20002811,"585,313.36"
2,CAB,Cabinet Office,20-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,COD DEVELOPMENT AND ENGINEERING,AMAZON WEB SERVICES EMEA SARL,20002813,"530,801.94"
3,CAB,Cabinet Office,20-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,COD DEVELOPMENT AND ENGINEERING,AMAZON WEB SERVICES EMEA SARL,20002814,"269,822.65"
4,CAB,Cabinet Office,20-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,COD DEVELOPMENT AND ENGINEERING,AMAZON WEB SERVICES EMEA SARL,20002815,"41,242.61"
5,CAB,Cabinet Office,20-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,COD DEVELOPMENT AND ENGINEERING,AMAZON WEB SERVICES EMEA SARL,20002818,"262,880.10"
6,CAB,Cabinet Office,20-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,COD DEVELOPMENT AND ENGINEERING,AMAZON WEB SERVICES EMEA SARL,20002819,"42,071.81"
7,CAB,Cabinet Office,02-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER,CDDO DATA GOVERNANCE,CAPGEMINI UK PLC,1037230711,"82,405.00"
8,CAB,Cabinet Office,02-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER,CDDO DATA GOVERNANCE,CAPGEMINI UK PLC,1037230711,"177,075.00"
9,CAB,Cabinet Office,03-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GCS INTERNATIONAL and MMU,TMW UNLIMITED,1037230870,"75,041.99"
10,CAB,Cabinet Office,03-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD DEVELOPMENT AND ENGINEERING,XMA LTD,1037230889,"109,792.80"
11,CAB,Cabinet Office,03-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037230891,"64,720.65"
12,CAB,Cabinet Office,03-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,GPG - INDIVIDUAL DEVELOPMENT PROGRAMME,ERNST & YOUNG LLP,1037230898,"32,016.00"
13,CAB,Cabinet Office,03-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - DIGITAL SERVICE PLATFORMS - CORE,LOGIT,1037230901,"32,740.43"
14,CAB,Cabinet Office,03-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,JOINT DATA & ANALYSIS CENTRE (ADMIN),SAVANTA GROUP LTD,1037230971,"29,900.00"
15,CAB,Cabinet Office,04-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,IPA POG AND BUSINESS SUPPORT,CSL KPMG LLP,1037231004,"25,966.69"
16,CAB,Cabinet Office,04-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037231090,"232,919.53"
17,CAB,Cabinet Office,04-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037231090,"46,583.91"
18,CAB,Cabinet Office,04-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037231090,"232,919.53"
19,CAB,Cabinet Office,04-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT - MANAGEMENT CONFERENCES,FAST STREAM LEARNING & DEVELOPMENT,CALDER WORLD OF TRAVEL,1037231109,"80,503.52"
20,CAB,Cabinet Office,04-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT - MANAGEMENT CONFERENCES,FAST STREAM LEARNING & DEVELOPMENT,CALDER WORLD OF TRAVEL,1037231109,"402,517.61"
21,CAB,Cabinet Office,04-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT - MANAGEMENT CONFERENCES,GPG - PUBLIC LEADERSHIP,CALDER WORLD OF TRAVEL,1037231109,"26,253.03"
22,CAB,Cabinet Office,04-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,DELOITTE LLP,1037231144,"30,700.00"
23,CAB,Cabinet Office,04-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,GBS - STRATEGY AND POLICY (ADMIN),PEREGRINE INTERNATIONAL,1037231151,"32,002.08"
24,CAB,Cabinet Office,05-Dec-24,Exp - Purchase Of Goods/Services - Consultancy,COD PORTFOLIO DELIVERY,AFFINITY DIGITAL TECHNOLOGY LTD,1037231158,"33,177.36"
