,,,,April 2023 £500 spend data,,,,
Payment Date,Transaction Number,Non Recoverable VAT,Amount,Supplier,Supplier Number,Expense Type,Directorate,Service Area
03/04/2023,862852,0,40000,RFMP TRUST ACCOUNT,dd,Insurance,Finance & Corporate,Central Finance
04/04/2023,848140,0,500,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,848141,0,500,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,848142,0,500,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,848143,0,500,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,848144,0,500,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,848165,0,530,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,848166,0,600,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,848175,0,600,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,848195,0,750,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,848204,0,850,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,848234,0,650,42 BEDFORD ROW BARRISTERS,10108700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,849080,0,3483,ACCORA,7058800,Specialist Equip for Svce Prov,Adults & Health,Bexley Care
04/04/2023,849285,0,2703.75,ADVOCACY FOR ALL,7178800,PEI Grants - BBA PrvStrt,Adults & Health,Bexley Care
04/04/2023,849291,0,43775,AGE CONCERN BEXLEY,9400,PEI Grants - Age Concern,Adults & Health,Bexley Care
04/04/2023,849335,0,4318,ALLEN LANE RECRUITMENT,8579400,Staff Recruitment Costs,Finance & Corporate,Finance & Property
04/04/2023,849360,0,48410,ALZHEIMER'S SOCIETY,4919000,PEI Grants - Alzheimers,Adults & Health,Bexley Care
04/04/2023,849669,0,2308.64,ATTENTI CONSULTING,10065500,Adult Contract Pymt - General,Adults & Health,Bexley Care
04/04/2023,849879,0,26284.28,AVIVA LIFE & PENSIONS UK LIMITED (WP),2000024800,Rents Payable,Place,Neighbourhoods
04/04/2023,849880,0,26284.28,AVIVA LIFE & PENSIONS UK LIMITED (WP),2000024800,Rents Payable,Place,Neighbourhoods
04/04/2023,849932,0,615.36,BALTIMORE CONSULTING LTD,8774900,Agency Staff,Children's Services,Children Social Care & Safegua
04/04/2023,849933,0,615.36,BALTIMORE CONSULTING LTD,8774900,Agency Staff,Children's Services,Children Social Care & Safegua
04/04/2023,849934,0,615.36,BALTIMORE CONSULTING LTD,8774900,Agency Staff,Children's Services,Children Social Care & Safegua
04/04/2023,849949,0,615.39,BALTIMORE CONSULTING LTD,8774900,Agency Staff,Children's Services,Children Social Care & Safegua
04/04/2023,849950,0,615.39,BALTIMORE CONSULTING LTD,8774900,Agency Staff,Children's Services,Children Social Care & Safegua
04/04/2023,849951,0,615.39,BALTIMORE CONSULTING LTD,8774900,Agency Staff,Children's Services,Children Social Care & Safegua
04/04/2023,849972,0,3000,BALTIMORE CONSULTING LTD,8774900,Agency Staff,Children's Services,Education Services
04/04/2023,849983,0,11800,BALTIMORE CONSULTING LTD,8774900,Agency Staff,Children's Services,Children Social Care & Safegua
04/04/2023,849986,0,1520,BALTIMORE CONSULTING LTD,8774900,Salaries Gross,Children's Services,Education Services
04/04/2023,850000,0,7371.8,BALTIMORE CONSULTING LTD,8774900,Salaries Gross,Children's Services,Children Social Care & Safegua
04/04/2023,850005,0,644,BANNER GROUP LTD,8472901,Stationery,Finance & Corporate,Finance & Property
04/04/2023,850250,0,54075,BEXLEY BOROUGH CITIZENS ADVICE BUREAUX L,73500,Citizens Advice Bureau,Adults & Health,Bexley Care
04/04/2023,850253,0,14162.5,BEXLEY DEAF GROUP,76400,PEI Grants - Deaf Cntr PrvStrt,Adults & Health,Bexley Care
04/04/2023,850260,0,624.99,BEXLEY HEALTH NEIGHBOURHOOD CARE CIC,8676400,Public Health Payments,Adults & Health,Health & Wellbeing
04/04/2023,850267,0,25750,BEXLEY MENCAP,8400001700,PEI Grants - Mencap PrvStrt,Adults & Health,Bexley Care
04/04/2023,850275,0,61800,BEXLEY VOLUNTARY SERVICE COUNCIL,78500,BVSC Core Grant,Adults & Health,Bexley Care
04/04/2023,850396,0,2500,BOXGROVE PRIMARY SCHOOL,8717000,MS top-up funding Primary,Children's Services,Schools
04/04/2023,850499,0,205000,BROMLEY HEALTHCARE,8134500,Public Health Payments,Adults & Health,Health & Wellbeing
04/04/2023,850500,0,743750,BROMLEY HEALTHCARE,8134500,Public Health Payments,Adults & Health,Health & Wellbeing
04/04/2023,850780,0,3440.64,CAPITA BUSINESS SERVICES LIMITED,2086200,Private Contractors - General,Finance & Corporate,Finance & Property
04/04/2023,850833,0,2915,CAPITAL STAFFING SERVICES LTD,10098500,Nursing support non comm–Child,Children's Services,Children Social Care & Safegua
04/04/2023,851073,0,56392.5,CARERS' SUPPORT(BEXLEY),3943000,PEI Grants - Care Supp PrvStrt,Adults & Health,Bexley Care
04/04/2023,851175,0,511.97,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851179,0,530,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851182,0,542.65,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851186,0,564.88,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851198,0,750.04,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851202,0,820.65,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851203,0,936.41,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851205,0,967.16,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851207,0,993.15,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851209,0,1046.16,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851210,0,1054.59,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
