1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,DECEMBER,21/11/23,07/12/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 2,465.00 "
2023/24,DECEMBER,01/11/23,05/12/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,000.00 "
2023/24,DECEMBER,11/10/23,27/12/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,000.00 "
2023/24,DECEMBER,27/09/23,13/12/23,1GC FAMILY LAW,824376,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 3,000.00 "
2023/24,DECEMBER,13/09/23,18/12/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,DECEMBER,11/12/23,22/12/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 25,700.00 "
2023/24,DECEMBER,21/12/23,29/12/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 18,180.00 "
2023/24,DECEMBER,14/11/23,04/12/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 18,650.00 "
2023/24,DECEMBER,15/09/23,07/12/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 3,300.00 "
2023/24,DECEMBER,27/07/23,07/12/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 10,950.00 "
2023/24,DECEMBER,05/10/23,07/12/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 21,400.00 "
2023/24,DECEMBER,05/07/23,07/12/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 3,000.00 "
2023/24,DECEMBER,30/05/23,07/12/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 3,450.00 "
2023/24,DECEMBER,30/11/23,07/12/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 2,750.00 "
2023/24,DECEMBER,06/12/23,13/12/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
