Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,Housing Revenue Account,Management Fee ,03-Jan-23,2577708.37,£0.00,South Tyneside Homes,709090,Revenue,JAN22-002
South Tyneside Council,00CL,Business & Resources Group,Housing Revenue Account,Homelessness Fee ,03-Jan-23,56375,£0.00,South Tyneside Homes,236540,Revenue,JAN22-003
South Tyneside Council,00CL,Business & Resources Group,Housing and Planning For Growth,Handy Estates,03-Jan-23,771336.08,£0.00,South Tyneside Homes,226885,Revenue,JAN22-004
South Tyneside Council,00CL,Business & Resources Group,Capital Financing,Funding From Revenue For Capital Expenditure,03-Jan-23,61023.24,£0.00,Salix Finance,860005,Capital,JAN22-005
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Travel & Expenses,ILAC General,03-Jan-23,500,£0.00,Redacted - personal info,213300,Revenue,STC158654
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Special Guardianship Allowances (former foster carers),Special Guardianship Allowances,03-Jan-23,502,£0.00,Redacted - personal info,213901,Revenue,STC158676
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Property Reactive / General Repairs,Hebburn Lakes Primary School Kitchen,03-Jan-23,502.51,£0.00,Upnorth Engineering Services Limited,217553,Revenue,STC158680
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,503.76,£0.00,Redacted - personal info,221004,Revenue,STC158682
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,510.2,£0.00,Redacted - personal info,221001,Revenue,STC158694
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,512,£0.00,Redacted - personal info,213800,Revenue,STC158698
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,512.12,£0.00,Redacted - personal info,221001,Revenue,STC158701
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,514.76,£0.00,Redacted - personal info,221001,Revenue,STC158707
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Support with Memory and Cognition,03-Jan-23,516,£0.00,Redacted - personal info,221003,Revenue,STC158717
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,516,£0.00,Redacted - personal info,221001,Revenue,STC158718
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Mental Health Support,03-Jan-23,516.12,£0.00,Redacted - personal info,221005,Revenue,STC158725
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Contributions - Fairer Charging,Physical Support,03-Jan-23,518.54,£0.00,Redacted - personal info,221001,Revenue,STC158732
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Mental Health Support,03-Jan-23,524.28,£0.00,Redacted - personal info,221005,Revenue,STC158752
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,530.52,£0.00,Redacted - personal info,221001,Revenue,STC158764
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,540.72,£0.00,Redacted - personal info,221004,Revenue,STC158782
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,541.8,£0.00,Redacted - personal info,221001,Revenue,STC158786
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,543.2,£0.00,Redacted - personal info,221004,Revenue,STC158790
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,543.88,£0.00,Redacted - personal info,221004,Revenue,STC158794
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,543.88,£0.00,Redacted - personal info,221004,Revenue,STC158795
