Body Name,Transaction Number,Account Code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath and North East Somerset Council,81194849,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,2348.78
Bath and North East Somerset Council,81194771,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,3084.90
Bath and North East Somerset Council,81194893,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,1751.49
Bath and North East Somerset Council,81194858,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,3407.43
Bath and North East Somerset Council,81194869,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,2739.69
Bath and North East Somerset Council,81194770,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",ATELIER NURSERY LTD,03/04/2023,31723.06
Bath and North East Somerset Council,81194840,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",BATH & WELLS DIOCESAN ACADEMIES TRUST ST SAV INF,03/04/2023,15620.70
Bath and North East Somerset Council,81194749,PC1,Precepts,Z99,Outside Revenue Accounts,BATHFORD PARISH COUNCIL,03/04/2023,15787.50
Bath and North East Somerset Council,81194879,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,3834.09
Bath and North East Somerset Council,81194878,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",BUTTERCUP BARN NURSERY,03/04/2023,45874.92
Bath and North East Somerset Council,11041310,LA1,Equipment Purchase,P26,Economic Development & Resources,BATH CONTRACT FLOORING LTD,03/04/2023,450.00
Bath and North East Somerset Council,11041314,LA1,Equipment Purchase,P26,Economic Development & Resources,BATH CONTRACT FLOORING LTD,03/04/2023,475.00
Bath and North East Somerset Council,11041309,LA1,Equipment Purchase,P26,Economic Development & Resources,BATH CONTRACT FLOORING LTD,03/04/2023,537.50
Bath and North East Somerset Council,11041316,LA1,Equipment Purchase,P26,Economic Development & Resources,BATH CONTRACT FLOORING LTD,03/04/2023,558.33
Bath and North East Somerset Council,81194852,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,749.19
Bath and North East Somerset Council,81194881,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,2203.50
Bath and North East Somerset Council,81194752,PC1,Precepts,Z99,Outside Revenue Accounts,ST CATHERINE PARISH COUNCIL,03/04/2023,750.00
Bath and North East Somerset Council,81194891,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,1057.68
Bath and North East Somerset Council,81194874,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",HELEN LEAR,03/04/2023,1057.68
Bath and North East Somerset Council,81194725,PC1,Precepts,Z99,Outside Revenue Accounts,EAST HARPTREE PARISH COUNCIL,03/04/2023,7576.00
Bath and North East Somerset Council,81194888,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,15030.34
Bath and North East Somerset Council,81194795,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",REDACTED,03/04/2023,896.09
Bath and North East Somerset Council,81194801,LK4,Nursery/Childcare Vouchers,P29,"Children & Young People, Communities & Culture",FIRST STEPS NURSERY,03/04/2023,10340.46
