BODY,LOCAL AUTHORITY DEPARTMENT,DESCRIPTION 1,DESCRIPTION 2,DATE,AMOUNT,BENEFICIARY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£13.52,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£15.60,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£11.44,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£50.96,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£90.48,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£20.80,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£64.48,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£2.08,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£6.24,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£9.36,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£17.68,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£21.84,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£9.36,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£17.68,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£7.28,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£8.32,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£3.12,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£2.08,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£9.36,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
