Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,804709,247 Careservices Ltd,M44D,Adult Social Care Operations,Supplies and Services,"11,160.00",Apr-23
Slough Borough Council,806901,4way Consulting Ltd,P240,Capital,Supplies and Services,"4,000.00",Apr-23
Slough Borough Council,806901,4way Consulting Ltd,P209,Capital,Capital Charges,653.88,Apr-23
Slough Borough Council,806901,4way Consulting Ltd,P212,Capital,Capital Charges,"1,895.36",Apr-23
Slough Borough Council,806901,4way Consulting Ltd,P240,Capital,Capital Charges,"4,000.00",Apr-23
Slough Borough Council,806901,4way Consulting Ltd,P240,Capital,Capital Charges,"5,500.00",Apr-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,Supplies and Services,"1,612.00",Apr-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,Supplies and Services,"2,046.00",Apr-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,Supplies and Services,"1,116.00",Apr-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,Supplies and Services,"3,887.00",Apr-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,Supplies and Services,"1,184.50",Apr-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,Supplies and Services,"3,887.00",Apr-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,Supplies and Services,"1,827.00",Apr-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,Supplies and Services,"81,125.92",Apr-23
Slough Borough Council,1055,A J Chapman,M50A,Place Operations,Transport,"2,507.00",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,283.57",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,681.44",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,967.08",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,615.10",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,844.21",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,166.99",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,862.28",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,835.72",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,261.53",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,816.09",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,752.50",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,532.71",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,010.66",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,585.50",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,788.84",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,945.89",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,576.64",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,585.29",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,023.04",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,412.22",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,490.51",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,219.96",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,912.20",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,968.73",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,670.66",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,350.66",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,730.48",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,776.71",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,234.04",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,518.95",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,072.41",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,384.38",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,895.29",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,852.71",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,682.39",Apr-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,561.29",Apr-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"2,354.72",Apr-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"1,738.39",Apr-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"1,997.04",Apr-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"1,924.65",Apr-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"2,203.76",Apr-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"2,439.88",Apr-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"1,803.77",Apr-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"2,126.84",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M26E,Adult Social Care Operations,Supplies and Services,"7,278.43",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M26E,Adult Social Care Operations,Supplies and Services,"6,147.17",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,066.23",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,387.70",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,162.44",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"6,562.71",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"6,786.99",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,040.04",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"6,347.57",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M44D,Adult Social Care Operations,Supplies and Services,"4,684.71",Apr-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M44E,Adult Social Care Operations,Supplies and Services,"5,630.79",Apr-23
Slough Borough Council,3292,Achieving For Children,F416,Education & Inclusion,Supplies and Services,"68,860.00",Apr-23
Slough Borough Council,808703,Adam Haigh,C322,Community,Supplies and Services,750.00,Apr-23
Slough Borough Council,807832,Adaptec Mobility Ltd,P006,Capital,Capital Charges,"5,976.50",Apr-23
Slough Borough Council,2135,Adventure Learning Childcare Limited,F909,Children & Families,Supplies and Services,"11,657.00",Apr-23
Slough Borough Council,1603,Advision Security Ltd,A07M,Mental Health Services,Premises,"4,040.00",Apr-23
Slough Borough Council,805178,AFM Transport Limited,D750,Place Operations,Supplies and Services,"1,042.85",Apr-23
Slough Borough Council,805178,AFM Transport Limited,D880,Place Operations,Supplies and Services,"4,096.80",Apr-23
Slough Borough Council,805178,AFM Transport Limited,D880,Place Operations,Supplies and Services,"2,911.82",Apr-23
Slough Borough Council,805178,AFM Transport Limited,D880,Place Operations,Supplies and Services,525.85,Apr-23
Slough Borough Council,805178,AFM Transport Limited,D880,Place Operations,Supplies and Services,"3,491.98",Apr-23
Slough Borough Council,2301,Aik Saath,F382,Children & Families,Supplies and Services,"6,950.00",Apr-23
Slough Borough Council,806268,Allied Publicity Services (Manchester) Limited,A120,Customer,Supplies and Services,985.97,Apr-23
Slough Borough Council,803273,Altia Solutions Ltd,B282,Digital and Strategic IT,Supplies and Services,"10,085.00",Apr-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,825.00,Apr-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,"1,240.00",Apr-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,675.00,Apr-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,"1,798.00",Apr-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,825.00,Apr-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,825.00,Apr-23
