Payment Date,Supplier,Category,Cost Centre,Cost Centre Description,Cost Centre Parent,Cost Centre Parent,Cost Centre Parent,Nominal Description,Gross,Vat
01-Sep-23,Active Recruitment SEN Limited,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,902.52,150.42
01-Sep-23,Active Recruitment SEN Limited,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,722.02,120.34
01-Sep-23,Active Recruitment SEN Limited,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,722.02,120.34
01-Sep-23,Advanced Building And Maintenance Ltd_f,Commercial,F11460,EQUIPMENT & MINOR ADAPTIONS,PEOPLE & RESILIENCE 10A,COMMISSIONING - CARE & SUPPORT 10AC,ADULTS COMMISSIONING 10ACA,651780 PRIVATE CONTRACTORS PAY,456,76
01-Sep-23,AECOM Infrastructure & Environment UK Li,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,3840,640
01-Sep-23,Alliance Leisure Services Limited,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,15193.24,2532.21
01-Sep-23,Aurora Childrens Therapy,Other Entities and Individuals,D60040,HIGH NEEDS TOP UPS - OB,DSG - OTHER 40,DSG - HIGH NEEDS 40G,DSG - PLACEMNTS & HN TOP UP OB 40GE,641640 PROFESSIONAL SERVCES -,1044.7,0
01-Sep-23,Avison Young (UK) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,5250,875
01-Sep-23,BD Management Services Limited,Commercial,F50500,QUALITY AND COMPLIANCE,MY PLACE 10G,HOMES AND ASSETS 10GB,COMPLIANCE 10GBF,651780 PRIVATE CONTRACTORS PAY,755.04,125.84
01-Sep-23,Boleyn Transport Ltd t/a Boleyn Service,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631100 OTHER VEHICLE COSTS,499.5,83.25
01-Sep-23,Boleyn Transport Ltd t/a Boleyn Service,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631100 OTHER VEHICLE COSTS,279,46.5
01-Sep-23,Buxtons Ltd,Commercial,F27600,STREET CARE HIWAYS REACTIVE MT,PUBLIC REALM 10GC,HIGHWAYS 10GCH,HIGHWAYS-REACTIVE 10GCHB,641140 PURCHASE - EQUIP FURN &,311.14,51.86
01-Sep-23,Capita Business Services Ltd,Commercial,F28200,ON STREET PARKING & ENFORCEMNT,ENFORCEMENT 10CC,PARKING & ROAD SAFETY 10CCF,PARKING 10CCFB,641480 DEBT COLLECT & RECOVERY,2082,347
01-Sep-23,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,1118.6,186.43
01-Sep-23,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,609.71,101.62
01-Sep-23,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,609.71,101.62
01-Sep-23,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,609.71,101.62
01-Sep-23,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,340.38,56.73
01-Sep-23,Cave Creative Ltd,Commercial,F14870,PEN TO PRINT,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,CULTURE AND HERITAGE 10EBH,641500 DESIGN AND PHOTOGRAPHIC,822,137
01-Sep-23,Central & North West London NHS Foundati,NHS/Medical Bodies,F13300,SEXUAL HEALTH,PUBLIC HEALTH 10AD,PUBLIC HEALTH 10ADB,PUBLIC HEALTH SERVICES 10ADBB,651100 PAYMENT TO HEALTH AUTHO,1967.89,0
01-Sep-23,Central & North West London NHS Foundati,NHS/Medical Bodies,F13300,SEXUAL HEALTH,PUBLIC HEALTH 10AD,PUBLIC HEALTH 10ADB,PUBLIC HEALTH SERVICES 10ADBB,651100 PAYMENT TO HEALTH AUTHO,1286.03,0
01-Sep-23,Civica Election Services Ltd,Commercial,F25080,ELECTORAL REGISTRATION,LAW AND GOVERNANCE 10C,LEGAL 10CB,DEMOCRATIC SERVICES 10CBC,642300 POSTAGE AND COURIER SER,34437.42,5739.57
01-Sep-23,Currie & Brown Group Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,2280,380
01-Sep-23,Daisy Corporate Services Trading Limited,Commercial,F23410,IT TELEPHONY SERVICE,FINANCE 10BB,IT 10BBE,IT - OPERATIONS 10BBEB,642220 MOBILE PHONE COSTS,13181.97,2229.31
01-Sep-23,Dawsonrentals Bus & Coach Ltd,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,2242.15,373.69
01-Sep-23,Focus Care Link,Commercial,F10380,PHYSICAL SUPPORT,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651420 HOME CARE - PRIVATE CON,26416.71,0
01-Sep-23,Focus Care Link,Commercial,F10380,PHYSICAL SUPPORT,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651420 HOME CARE - PRIVATE CON,24967.52,0
01-Sep-23,Ford Motor Company Limited,Commercial,F25270,FILM OFFICE - TRADING UNIT,INCLUSIVE GROWTH 10E,COMMERCIAL 10EA,COMMERCIAL 10EAA,651800 PAYMENT TO PRIVATE SECT,7785.6,1297.6
01-Sep-23,GEM Environmental Building Services Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,48222,8037
01-Sep-23,H E Services (Plant Hire) Ltd,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,772.8,128.8
01-Sep-23,H E Services (Plant Hire) Ltd,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,496.8,82.8
01-Sep-23,Habitat for Humanity GB Homes,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,18331.71,0
01-Sep-23,Haus Block Management,Commercial,H50310,STREET PURCHASES,HRA 2,HRA I&E 20,PROPERTY MANAGEMENT 20B,621000 FACILITIES MANAGEMENT,279.58,0
01-Sep-23,Huws Gray Ltd,Commercial,F27560,HIGHWAYS & HRA GROUND MTCE,PUBLIC REALM 10GC,PARKS AND ENVIRONMENT 10GCB,GROUNDS MAINTENANCE 10GCBC,621540 GROUNDS MAINTENANCE,527.83,87.97
01-Sep-23,Redacted,Other Entities and Individuals,F15880,INTERNAL FOSTERING PLACEMENT,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651380 FOSTERNG AGCY PLCMNTS P,1326,0
01-Sep-23,London Borough of Havering,Other Local Authorities,F11220,LEARNING DISABILITIES SUPPORT,PEOPLE & RESILIENCE 10A,ADULTS DISABILITY 10AA,DISABILITIES CARE PACKAGES 10AAB,651420 HOME CARE - PRIVATE CON,1120,0
01-Sep-23,Marlborough Surfacing Ltd_f,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,8042.57,1340.43
01-Sep-23,Moore Stephens Insight Limited,Commercial,F25400,ERP IMPLEMENTATION,FINANCE 10BB,IT 10BBE,IT - TRANSFORMATION PROGRAMME 10BBED,641440 CONSULTANCY FEES,26754,4459
