Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations - Jan 2024",,,,,,
Effective Date,01/01/2024 - 31/01/2024,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
02.01.2024,789.6,AJH PUMP SUPPLY & REPAIR LIMITED,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"1,091.18",BARNSLEY CATERING SERVICES LTD,Public Health & Communities,Cookers & Fridges,404003,N,N/A
02.01.2024,"9,196.92",BARNSLEY HOSPITAL NHS TRUST,Public Health & Communities,Payments to Health Authorities,503001,N,N/A
02.01.2024,"2,428.80",CLEE HILL PLANT HIRE LTD,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"1,038.53",DOYLE SECURITY LTD,Corporate Budgets,Security Hire,424009,N,N/A
02.01.2024,"3,594.24",DOYLE SECURITY LTD,Corporate Budgets,Security Hire,424009,N,N/A
02.01.2024,"1,534.96",C P DAVIDSON & SONS LTD,Growth & Sustainability,Transport Stores,300008,N,N/A
02.01.2024,"1,828.80",ZODION LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,"3,164.40",INSTARMAC GROUP PLC,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,"5,009.40",MANCHESTER SAFETY SERVICES LTD,Growth & Sustainability,Miscellaneous Materials,402009,N,N/A
02.01.2024,513.28,NETWORK COMMUNICATION SYSTEMS LTD,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"7,186.12",TARMAC TRADING LTD,Growth & Sustainability,Direct - Highway Materials,403012,N,N/A
02.01.2024,"4,427.71",TARMAC TRADING LTD,Growth & Sustainability,Direct - Highway Materials,403012,N,N/A
02.01.2024,527.36,TARMAC TRADING LTD,Growth & Sustainability,Direct - Highway Materials,403012,N,N/A
02.01.2024,"1,363.69",TARMAC TRADING LTD,Growth & Sustainability,Direct - Highway Materials,403012,N,N/A
02.01.2024,"2,130.68",TARMAC TRADING LTD,Growth & Sustainability,Direct - Highway Materials,403012,N,N/A
02.01.2024,"2,772.55",TARMAC TRADING LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,"2,080.54",TARMAC TRADING LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,"1,425.60",REDDI-LIGHT LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,"1,962.00",REDDI-LIGHT LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,801.55,BRADY CORP LTD T/A SETON,Core Services ,Computer Hardware - Purchase,426006,N,N/A
02.01.2024,"1,887.77",HARSCO METALS GROUP LTD,Growth & Sustainability,Direct - Highway Materials,403012,N,N/A
02.01.2024,"1,386.00",LEEDS COMMERCIAL LTD,Growth & Sustainability,Vehicle Hire,300006,N,N/A
02.01.2024,882,LEEDS COMMERCIAL LTD,Growth & Sustainability,Vehicle Hire,300006,N,N/A
02.01.2024,630,LEEDS COMMERCIAL LTD,Growth & Sustainability,Vehicle Hire,300006,N,N/A
02.01.2024,882,LEEDS COMMERCIAL LTD,Growth & Sustainability,Vehicle Hire,300006,N,N/A
02.01.2024,"4,536.00",LEEDS COMMERCIAL LTD,Growth & Sustainability,Vehicle Hire,300006,N,N/A
02.01.2024,882,LEEDS COMMERCIAL LTD,Growth & Sustainability,Vehicle Hire,300006,N,N/A
02.01.2024,882,LEEDS COMMERCIAL LTD,Growth & Sustainability,Vehicle Hire,300006,N,N/A
02.01.2024,882,LEEDS COMMERCIAL LTD,Growth & Sustainability,Vehicle Hire,300006,N,N/A
02.01.2024,882,LEEDS COMMERCIAL LTD,Growth & Sustainability,Vehicle Hire,300006,N,N/A
02.01.2024,"4,497.74",TERBERG MATEC U K,Growth & Sustainability,Transport Stores,300008,N,N/A
02.01.2024,864,AA TAXIS,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"1,382.40",AA TAXIS,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"1,962.72",AA TAXIS,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"3,264.00",AA TAXIS,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"2,880.00",AA TAXIS,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"1,324.80",AA TAXIS,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"3,264.00",AA TAXIS,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"2,520.00",AA TAXIS,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"2,520.00",AA TAXIS,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
