Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations -May 2023",,,,,,
Effective Date,01/05/2023 - 31/05/2023,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
02.05.2023,"16,991.75",AGE UK BARNSLEY,Public Health & Communities,Other Transfer payments,556001,Y,1144123
02.05.2023,"3,233.50",BARNSLEY YMCA INC,Public Health & Communities,Miscellaneous Materials,402009,Y,250190
02.05.2023,"2,100.00",CAPITA BUSINESS SERVICES LTD,Core Services ,Computer Software -  Maintenance,426009,N,N/A
02.05.2023,720.19,DENNIS EAGLE LTD,Growth & Sustainability,Transport Stores,300008,N,N/A
02.05.2023,"1,341.04",REDACTED PERSONAL DATA,Growth & Sustainability,Miscellaneous Materials,402009,N,N/A
02.05.2023,"1,800.00",MARKMARK PRODUCTIONS,Growth & Sustainability,Professional fees,424006,N,N/A
02.05.2023,600,REDACTED PERSONAL DATA,Public Health & Communities,Property Rents,211002,N,N/A
02.05.2023,774,ROBERT ACTON PRODUCTS,Growth & Sustainability,Stock Materials,,N,N/A
02.05.2023,785.33,CHUBB FIRE & SECURITY LIMITED,Core Services ,Security Hire,424009,N,N/A
02.05.2023,950,ROBERT TAYLOR TAXIS,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.05.2023,"5,549.39",BIBLIOTHECA LTD,Core Services ,Computer Software -  Maintenance,426009,N,N/A
02.05.2023,"4,500.00",BARNSLEY CIVIC ENTERPRISE LTD,Corporate Budgets,Unascertained Material Group,400008,N,N/A
02.05.2023,"7,364.89",OXFORD COMPUTER CONSULTANTS LTD,Core Services ,Computer Hardware - Maintenance,426007,N,N/A
02.05.2023,"3,343.67",OXFORD COMPUTER CONSULTANTS LTD,Core Services ,Computer Hardware - Maintenance,426007,N,N/A
02.05.2023,"1,276.55",OXFORD COMPUTER CONSULTANTS LTD,Core Services ,Computer Hardware - Maintenance,426007,N,N/A
02.05.2023,"21,231.52",OXFORD COMPUTER CONSULTANTS LTD,Core Services ,Computer Hardware - Maintenance,426007,N,N/A
02.05.2023,"8,639.42",ROSEHILL POLYMERS LTD,Growth & Sustainability,Miscellaneous Materials,402009,N,N/A
02.05.2023,720,BIOGREEN SOLUTIONS LTD,Growth & Sustainability,Direct - Building Items,403013,N,N/A
02.05.2023,"10,500.69",DONCASTER CHAMBER,Growth & Sustainability,Business Coaching,424051,N,N/A
02.05.2023,"14,322.88",DONCASTER CHAMBER,Growth & Sustainability,Business Coaching,424051,N,N/A
02.05.2023,530.88,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Community: Other Shared Lives,506050,N,N/A
02.05.2023,"62,328.00",CERTERO LTD,Core Services ,Computer Software -  Licenses,426010,N,N/A
02.05.2023,"32,844.00",CADLINE LTD,Core Services ,Computer Software -  Licenses,426010,N,N/A
02.05.2023,530.88,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Community: Other Shared Lives,506050,N,N/A
02.05.2023,501.55,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Community: Other Shared Lives,506050,N,N/A
02.05.2023,969.3,Churches Fire Security Limited,Growth & Sustainability,Security Hire,424009,N,N/A
02.05.2023,850.4,Churches Fire Security Limited,Growth & Sustainability,Security Hire,424009,N,N/A
02.05.2023,"1,034.89",CERTAS ENERGY UK LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.05.2023,505,REDACTED PERSONAL DATA,Public Health & Communities,Property Rents,211002,N,N/A
02.05.2023,535,REDACTED PERSONAL DATA,Public Health & Communities,Property Rents,211002,N,N/A
02.05.2023,"1,700.30",CHEVRON TRAFFIC MANAGEMENT LTD,Growth & Sustainability,Main contractor,506011,N,N/A
