Body Name,Transaction Number,Account Code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath and North East Somerset Council,81246263,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,02/01/2024,7328.10
Bath and North East Somerset Council,81246573,LL3,Supported Living,P28,Adult Services & Council House Building,ACCOMPLISH GROUP LTD,02/01/2024,4548.60
Bath and North East Somerset Council,81246474,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,02/01/2024,2588.84
Bath and North East Somerset Council,81246543,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,02/01/2024,3932.88
Bath and North East Somerset Council,81246567,LL3,Supported Living,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,02/01/2024,4027.38
Bath and North East Somerset Council,81246543,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,02/01/2024,5338.12
Bath and North East Somerset Council,81246032,LM6,Nursing Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,02/01/2024,5999.48
Bath and North East Somerset Council,81246474,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,02/01/2024,7078.30
Bath and North East Somerset Council,81246567,LL3,Supported Living,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,02/01/2024,9512.34
Bath and North East Somerset Council,81246227,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,02/01/2024,2906.10
Bath and North East Somerset Council,81246423,LM3,Residential Care,P28,Adult Services & Council House Building,ALEXANDRA HOMES (BRISTOL) LTD,02/01/2024,2206.38
Bath and North East Somerset Council,81246423,LM3,Residential Care,P28,Adult Services & Council House Building,ALEXANDRA HOMES (BRISTOL) LTD,02/01/2024,2206.38
Bath and North East Somerset Council,81246343,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,02/01/2024,3590.16
Bath and North East Somerset Council,81246490,LM6,Nursing Care,P28,Adult Services & Council House Building,ALLIANCE CARE (DALES) LIMITED RE REDACTED,02/01/2024,2351.62
Bath and North East Somerset Council,11068526,LK1,Fees,P29,Children and Young People & Communities,REDACTED,02/01/2024,507.00
Bath and North East Somerset Council,81246289,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,02/01/2024,703.50
Bath and North East Somerset Council,81246351,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,02/01/2024,881.64
Bath and North East Somerset Council,11068671,LK1,Fees,P26,Economic Development & Resources,MG CARE EXECUTIVE LTD T/A UCHECK,02/01/2024,106.00
Bath and North East Somerset Council,81246204,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,02/01/2024,726.78
Bath and North East Somerset Council,81246106,LL8,Individualised Budget,P29,Children and Young People & Communities,REDACTED,02/01/2024,1020.88
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,21.05
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,21.05
Bath and North East Somerset Council,81246569,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,42.10
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,42.10
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,42.10
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,42.10
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,42.10
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,42.10
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,42.10
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,63.15
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,63.15
Bath and North East Somerset Council,81246569,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,63.15
Bath and North East Somerset Council,81246569,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,84.20
Bath and North East Somerset Council,81246569,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,84.20
Bath and North East Somerset Council,81246569,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,02/01/2024,84.20
