Body Name,Transaction Number,Account Code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath and North East Somerset Council,11087333,LJ4,Contracts,P21,Childrens Services,1ST AVENUE TRAVEL,01/07/2024,794.88
Bath and North East Somerset Council,11087333,LJ4,Contracts,P21,Childrens Services,1ST AVENUE TRAVEL,01/07/2024,1225.02
Bath and North East Somerset Council,81281732,LL8,Individualised Budget,P20,Adult Services,REDACTED,01/07/2024,7328.1
Bath and North East Somerset Council,11087333,LJ4,Contracts,P21,Childrens Services,1ST AVENUE TRAVEL,01/07/2024,78412.79
Bath and North East Somerset Council,81281544,LM3,Residential Care,P20,Adult Services,ACHIEVE TOGETHER LIMITED,01/07/2024,2588.84
Bath and North East Somerset Council,81281615,LM3,Residential Care,P20,Adult Services,ACHIEVE TOGETHER LIMITED,01/07/2024,3932.88
Bath and North East Somerset Council,81281885,LL3,Supported Living,P20,Adult Services,ACHIEVE TOGETHER LIMITED,01/07/2024,4027.38
Bath and North East Somerset Council,81281615,LM3,Residential Care,P20,Adult Services,ACHIEVE TOGETHER LIMITED,01/07/2024,5338.12
Bath and North East Somerset Council,81281544,LM3,Residential Care,P20,Adult Services,ACHIEVE TOGETHER LIMITED,01/07/2024,7078.3
Bath and North East Somerset Council,81281703,LL8,Individualised Budget,P20,Adult Services,REDACTED,01/07/2024,2906.1
Bath and North East Somerset Council,81281503,LM3,Residential Care,P20,Adult Services,ALEXANDRA HOMES (BRISTOL) LTD,01/07/2024,2206.38
Bath and North East Somerset Council,81281503,LM3,Residential Care,P20,Adult Services,ALEXANDRA HOMES (BRISTOL) LTD,01/07/2024,2206.38
Bath and North East Somerset Council,81281558,LM6,Nursing Care,P20,Adult Services,ALLIANCE CARE (DALES) LIMITED RE REDACTED,01/07/2024,2351.62
Bath and North East Somerset Council,11087611,HA1,Responsive Maintenance,P33,Economic & Cultural Sustainable Development,ADT FIRE & SECURITY PLC,01/07/2024,446.17
Bath and North East Somerset Council,81281633,LL8,Individualised Budget,P20,Adult Services,REDACTED,01/07/2024,757.8
