Directorate(T),Supplier,Supplier(T),TransNo,Amount,Trans.date,Expense Area(T),Expense Type(T)
ADULTS,10000063,Orchard Lodge Care Home,20705089,3600,2024-09-17 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000063,Orchard Lodge Care Home,20705090,3600,2024-09-17 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10926107,300,2024-08-31 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10926978,300,2024-09-09 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10927247,600,2024-09-11 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10927482,600,2024-09-15 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10928119,300,2024-09-20 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10928182,300,2024-09-23 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10928329,300,2024-09-25 00:00:00,Supplies,Professional Fees
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20705116,4796,2024-09-17 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20705117,-2226.71,2024-09-17 00:00:00,Contractual costs,Nursing Home Payments
ADULTS,10000365,Barbara Grell Consultancy Ltd,10926672,800,2024-09-05 00:00:00,Supplies,Professional Fees
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703900,437.47,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703902,4326,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703903,1767.14,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703904,1338.39,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703905,389.66,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703906,1728.05,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703907,2321.62,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703908,4975.88,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703909,559.07,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703910,1297.59,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703911,4309.52,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20703912,4975.88,2024-09-16 00:00:00,Contractual costs,Home Care
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10926177,300,2024-09-02 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10926216,300,2024-09-02 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10926220,300,2024-09-02 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10926222,300,2024-09-02 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10927333,300,2024-09-12 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10927338,300,2024-09-12 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10927341,300,2024-09-12 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10927343,300,2024-09-12 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10927344,300,2024-09-12 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10927345,300,2024-09-12 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10928101,300,2024-09-20 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10928145,300,2024-09-20 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10928607,300,2024-09-27 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10928623,300,2024-09-27 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10928667,300,2024-09-27 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10928692,300,2024-09-27 00:00:00,Supplies,Professional Fees
ADULTS,10000517,Line of Sight Care Limited,20701983,2002.56,2024-08-29 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20701984,2670.08,2024-08-29 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20701985,2670.08,2024-08-29 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703958,1501.92,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703959,2169.44,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703960,810.56,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703961,1501.92,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703962,643.68,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703963,1335.04,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703964,2503.2,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703965,339.72,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703966,2169.44,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703967,1096.64,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703968,1501.92,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703970,1287.36,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703971,1335.04,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703972,584.08,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703973,619.84,2024-09-08 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20703974,1001.28,2024-09-08 00:00:00,Contractual costs,Home Care
