Directorate(T),Supplier,Supplier(T),TransNo,Amount,Trans.date,Expense Area(T),Expense Type(T)
ADULTS,10000063,Orchard Lodge Care Home,20724808,3600,2024-12-10 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10934779,600,2024-11-29 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10935531,600,2024-12-03 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10936544,600,2024-12-11 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10937001,600,2024-12-16 00:00:00,Supplies,Professional Fees
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20724853,4796,2024-12-10 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000365,Barbara Grell Consultancy Ltd,10936074,1800,2024-12-08 00:00:00,Supplies,Professional Fees
ADULTS,10000365,Barbara Grell Consultancy Ltd,10936940,1800,2024-12-08 00:00:00,Supplies,Professional Fees
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725405,428.88,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725407,4326,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725408,1737.84,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725409,383.6,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725410,2269.68,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725411,4975.88,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725412,550.48,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725413,363.48,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725414,4309.52,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725415,4975.88,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725416,1188.52,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725417,934.08,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725418,1701.28,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725419,-1317.68,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725420,-1701.28,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725421,934.08,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20725422,1701.28,2024-12-10 00:00:00,Contractual costs,Home Care
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10935037,300,2024-12-02 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10935043,300,2024-12-02 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10936913,300,2024-12-16 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10936914,300,2024-12-16 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10936917,300,2024-12-16 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10936926,300,2024-12-16 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10936933,300,2024-12-16 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10936949,300,2024-12-16 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10936950,300,2024-12-16 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10937021,300,2024-12-17 00:00:00,Supplies,Professional Fees
ADULTS,10000517,Line of Sight Care Limited,20721933,1398.6,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20721935,982.35,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20721936,466.2,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20721937,1398.6,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20721938,932.4,2024-11-06 00:00:00,Contractual costs,Home Care
