Body Name,,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,Blackpool & The Fylde College,1000004,166857,23/01/2024,"11,640.00",0,Household Support Fund,10465,63701,Grants,Children's Services,,CHISER,Children's Services,EHOTH,Early Help Other,EHOTH2,Early Help Other
Blackpool Council,Blackpool & The Fylde College,1000004,167214,17/01/2024,"9,000.00",0,Corporate Training,64004,60911,Training Expenses,Chief Executive,,CEXTOT,Chief Executive,OWD,Organisation & Workforce Dev,OWD2,Organisation & Workforce Dev
Blackpool Council,Blackpool & The Fylde College,1000004,167215,17/01/2024,"6,175.00",0,Corporate Training,64004,60911,Training Expenses,Chief Executive,,CEXTOT,Chief Executive,OWD,Organisation & Workforce Dev,OWD2,Organisation & Workforce Dev
Blackpool Council,Blackpool & The Fylde College,1000004,174924,29/01/2024,"72,771.22",0,Post-16,10436,64403,Special Needs - Children,Children's Services,,CHISER,Children's Services,JCJA,Post-16,JCJA2,Post-16
Blackpool Council,Blackpool & The Fylde College,1000004,174926,29/01/2024,"71,635.51",0,Post-16,10436,64403,Special Needs - Children,Children's Services,,CHISER,Children's Services,JCJA,Post-16,JCJA2,Post-16
Blackpool Council,Blackpool & The Fylde College,1000004,174929,29/01/2024,"52,478.43",0,Post-16,10436,64403,Special Needs - Children,Children's Services,,CHISER,Children's Services,JCJA,Post-16,JCJA2,Post-16
Blackpool Council,Read & Errington Ltd,1000012,157761,04/01/2024,"1,323.79",220.63,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet,,ZCONBS,Consolidated Balance Sheet,ZCASUM1,capital,ZCASUM3,Capital
Blackpool Council,Read & Errington Ltd,1000012,169302,22/01/2024,"1,932.94",322.16,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet,,ZCONBS,Consolidated Balance Sheet,ZCASUM1,capital,ZCASUM3,Capital
Blackpool Council,Carleton Green Community Primary School,1000016,169326,22/01/2024,450,0,Looked after Children - Pupil Premium,10398,65101,Transfer Payments - General,Children's Services,,CHISER,Children's Services,VIRTUL,Virtual Hub,VIRTUL2,Virtual Hub
Blackpool Council,Renaissance Uk Limited,1000017,158078,04/01/2024,"46,123.00",0,"Renaissance, Incl Condoms",62040,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
Blackpool Council,Renaissance Uk Limited,1000017,158084,04/01/2024,"29,344.00",0,SSMTRG,62045,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
Blackpool Council,F Parkinson Ltd,1000018,167240,17/01/2024,"33,594.00","5,599.00",Abingdon St Market,50081,62002,Repairs and Maintenance,Communication & Regeneration,,AMCPI,Communication & Regeneration,HJ,Growth & Prosperity Team,HJA1,Growth
Blackpool Council,Blackpool Pleasure Beach Ltd,1000019,170869,24/01/2024,"11,006.40","1,834.40",Tourism Partnerships,50190,63401,General Services,Communication & Regeneration,,AMCPI,Communication & Regeneration,VB,Visit Blackpool/Marketing Co,PRG1,Tourism General
Blackpool Council,Blackpool Transport Services Limited,1000020,160207,05/01/2024,"120,579.60","20,096.60",Senior Management Staffing,30040,63313,General Expenses,Community & Env Services,,BPLSER,Community & Env Services,BUSSER,Business Services,DIRCTR1,Directorate
Blackpool Council,Blackpool Transport Services Limited,1000020,160212,05/01/2024,"28,534.50","4,755.75",General Overheads,30151,63801,Other Expenses,Community & Env Services,,BPLSER,Community & Env Services,HIGENG,Highways & Engineering,TRAMWAY,Tramway
Blackpool Council,Blackpool Transport Services Limited,1000020,161291,08/01/2024,"2,208.00",0,School Transport,10413,62301,Bus and Tram Fares,Children's Services,,CHISER,Children's Services,OTHL,Other Learning,OTHL2,Other Learning
Blackpool Council,Blackpool Transport Services Limited,1000020,161385,09/01/2024,"3,087.00",0,Staff travel scheme,90081,99636,Bus Travel Ticket Scheme,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
Blackpool Council,Blackpool Transport Services Limited,1000020,161842,10/01/2024,"2,000.00",0,Transport  Costs,30085,62001,Purchases,Community & Env Services,,BPLSER,Community & Env Services,TRANSP,Transport Services,INTRAD1,Integrated Tran
Blackpool Council,Blackpool Transport Services Limited,1000020,162019,10/01/2024,"21,264.00",0,School Transport,10413,62301,Bus and Tram Fares,Children's Services,,CHISER,Children's Services,OTHL,Other Learning,OTHL2,Other Learning
Blackpool Council,Blackpool Transport Services Limited,1000020,162373,16/01/2024,"6,765.60",0,General Overheads,10491,65552,Bus Pass,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Blackpool Transport Services Limited,1000020,166878,16/01/2024,440,0,Restart,50176,63313,General Expenses,Communication & Regeneration,,AMCPI,Communication & Regeneration,DC,Economic Development Division,PVA1,Other External Funding
Blackpool Council,Blackpool Transport Services Limited,1000020,170906,29/01/2024,"1,698.63",0,Public Transport Contracts,30138,63401,General Services,Communication & Regeneration,,AMCPI,Communication & Regeneration,HP,Planning Services,HP2,Planning Services
