*,Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
LIST,Blackpool Council,Blackpool & The Fylde College,1000004,093850,19/09/2023,"7,040.00",0.00,Children'S Training,10498,60911,Training Expenses,Children's Services,,CHISER,Children's Services,CHSAFE1,Children's Safeguarding,CHSAFE3,Children'S Safeguarding
LIST,Blackpool Council,Blackpool & The Fylde College,1000004,102546,29/09/2023,"1,800.00",0.00,Multiply,50188,63426,Course Fees,Communication & Regeneration,,AMCPI,Communication & Regeneration,LL,Lifelong Learning,EK0197,EK0197
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000005,087011,5/09/2023,250.00,0.00,Staying Put,10535,65551,Rent and Rent Bonds,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
LIST,Blackpool Council,Read & Errington Ltd,1000012,099409,25/09/2023,"5,732.44",955.41,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet,,ZCONBS,Consolidated Balance Sheet,ZCASUM1,capital,ZCASUM3,Capital
LIST,Blackpool Council,Read & Errington Ltd,1000012,099421,26/09/2023,614.16,102.36,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet,,ZCONBS,Consolidated Balance Sheet,ZCASUM1,capital,ZCASUM3,Capital
LIST,Blackpool Council,Read & Errington Ltd,1000012,101231,29/09/2023,"5,435.84",905.97,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet,,ZCONBS,Consolidated Balance Sheet,ZCASUM1,capital,ZCASUM3,Capital
LIST,Blackpool Council,Read & Errington Ltd,1000012,101233,29/09/2023,"5,397.37",899.56,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet,,ZCONBS,Consolidated Balance Sheet,ZCASUM1,capital,ZCASUM3,Capital
LIST,Blackpool Council,Renaissance Uk Limited,1000017,087014,5/09/2023,"46,123.00",0.00,"Renaissance, Incl Condoms",62040,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
LIST,Blackpool Council,Renaissance Uk Limited,1000017,087017,5/09/2023,"29,344.00",0.00,SSMTRG,62045,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
LIST,Blackpool Council,Renaissance Uk Limited,1000017,095122,21/09/2023,"20,216.00",0.00,"Renaissance, Incl Condoms",62040,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
LIST,Blackpool Council,Blackpool Pleasure Beach Ltd,1000019,086202,1/09/2023,437.40,72.90,"Tourism,Promotions & Conferen.",90013,99687,Tourism Sale Of Tickets,Communication & Regeneration BS,,ZAMCPI,Communication & Regeneration BS,ZAMCPI2,Balance Sheet Places,ZAMCPI4,Balance Sheet Places
LIST,Blackpool Council,Blackpool Pleasure Beach Ltd,1000019,086378,4/09/2023,"1,456.00",242.67,Supporting Our Children,10510,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBT,Looked After Children,JBT2,Looked After Children
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,101145,27/09/2023,"2,029.00",0.00,Staff travel scheme,90081,99636,Bus Travel Ticket Scheme,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,087191,12/09/2023,"1,056.00",0.00,Youth Hub,50175,66518,Miscellaneous - Capital,Communication & Regeneration,,AMCPI,Communication & Regeneration,DC,Economic Development Division,PVA1,Other External Funding
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,095299,26/09/2023,"4,243.20",0.00,Supporting & Strengthening Families Admin,10505,65552,Bus Pass,Children's Services,,CHISER,Children's Services,JAB,Locality,JAB2,Locality
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,086276,5/09/2023,"1,698.63",0.00,Public Transport Contracts,30138,63401,General Services,Communication & Regeneration,,AMCPI,Communication & Regeneration,HP,Planning Services,HP2,Planning Services
LIST,Blackpool Council,Blackpool Transport Services Limited,1000020,085104,5/09/2023,487.80,0.00,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
LIST,Blackpool Council,Blackpool Airport Operations Limited,1000022,082432,4/09/2023,600.00,100.00,Corporate Training,64004,60911,Training Expenses,Chief Executive,,CEXTOT,Chief Executive,OWD,Organisation & Workforce Dev,OWD2,Organisation & Workforce Dev
LIST,Blackpool Council,Blackpool Airport Operations Limited,1000022,082434,4/09/2023,600.00,100.00,Corporate Training,64004,60911,Training Expenses,Chief Executive,,CEXTOT,Chief Executive,OWD,Organisation & Workforce Dev,OWD2,Organisation & Workforce Dev
LIST,Blackpool Council,REDACTED PERSONAL DATA,1000024,087446,5/09/2023,913.29,0.00,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
LIST,Blackpool Council,Autism Initiatives Uk,1000025,088689,7/09/2023,479.75,0.00,Homecare,20256,64507,Domiciliary Care,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,089271,8/09/2023,"5,856.44",0.00,Complex Cases,20136,64201,Joint Authorities,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
LIST,Blackpool Council,Autism Initiatives Uk,1000025,089376,8/09/2023,"2,476.92",0.00,Complex Cases,20136,64201,Joint Authorities,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
