FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference
LIST,Blackpool Council,Fylde Care Group Ltd,097571,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,612126I
LIST,Blackpool Council,Fylde Care Group Ltd,107247,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,616573I
LIST,Blackpool Council,REDACTED PERSONAL DATA,112575,1007661,23/04/2024,500.00,0.00,Homes For Ukraine Scheme,40091,63801,Other Expenses,Resources - 1,TRSTOT,FCAC1,Benefits - Admin - 3,FCAC3,Benefits - Admin - 5,UKRAINIAN SPONSOR PAYMENT
LIST,Blackpool Council,Fylde Care Group Ltd,115453,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,621156I
LIST,Blackpool Council,Fylde Care Group Ltd,125279,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,625662I
LIST,Blackpool Council,Fylde Care Group Ltd,133084,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,628752I
LIST,Blackpool Council,JOHN PAUL STREET T/A MARDI GRAS HOTEL,137648,1141072,12/04/2024,350.00,58.33,Senior Management Staffing,30040,63313,General Expenses,Community & Env Services - 1,BPLSER,BUSSER,Business Services - 3,DIRCTR1,Directorate - 5,100
LIST,Blackpool Council,Fylde Care Group Ltd,142531,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,633285I
LIST,Blackpool Council,Fylde Care Group Ltd,150552,1006368,2/04/2024,"3,509.72",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,637752I
LIST,Blackpool Council,Dwf Law Llp,160916,1003830,3/04/2024,"1,069.20",178.20,Planning Development Management,50137,63807,Legal and Court Costs,Communication & Regeneration - 1,AMCPI,HP,Planning Services - 3,HP2,Planning Services - 5,157-0471501
LIST,Blackpool Council,Fylde Care Group Ltd,164843,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,644630I
LIST,Blackpool Council,Stannah Lift Services Ltd,171382,1000811,12/04/2024,"2,333.74",388.96,Csdp,20443,65401,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,1085573275
LIST,Blackpool Council,Fylde Care Group Ltd,173423,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,647904I
LIST,Blackpool Council,Fylde Care Group Ltd,182265,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,652392I
LIST,Blackpool Council,Fylde Care Group Ltd,191069,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,656058I
LIST,Blackpool Council,Rossall School,192360,1000565,5/04/2024,"12,143.00",0.00,Out of Borough - Non-Behaviour Education,10434,64403,Special Needs - Children,Children's Services - 1,CHISER,JCGA,Out Of Borough - Non Behav - 3,JCGA2,Out Of Borough - Non Behav - 5,0081709/01
LIST,Blackpool Council,Dac Beachcroft Llp,195260,1001560,5/04/2024,340.80,56.80,Abingdon St Market,50081,63807,Legal and Court Costs,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,HJA1,Growth - 5,01-10234883
LIST,Blackpool Council,Rms Ltd,195446,1002448,3/04/2024,"1,117.20",186.20,,,65401,Aids To Daily Living,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,SIN-00034038
LIST,Blackpool Council,North Star Environmental Ltd,195731,1002631,3/04/2024,336.00,56.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-30775
LIST,Blackpool Council,North Star Environmental Ltd,195732,1002631,3/04/2024,"1,044.00",174.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-30774
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),195751,1003477,3/04/2024,831.31,138.55,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130793
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),195753,1003477,3/04/2024,"2,601.50",433.58,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130795
LIST,Blackpool Council,Siemens Financial Services Ltd,195825,1000123,3/04/2024,"3,300.00",550.00,Kincraig - General,10135,63004,Operating Lease,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED101,Kincraig Primary - 5,244/24/0107961
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),195876,1003477,3/04/2024,"7,672.80","1,278.80",HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130788
LIST,Blackpool Council,GB MERCHANDISE LTD,195916,1141040,2/04/2024,642.00,107.00,Print Blackpool - Production,50033,63408,Services to Clients,Communication & Regeneration - 1,AMCPI,PRINTS,Print Blackpool - 3,PRINTS2,Print Blackpool - 5,18866
LIST,Blackpool Council,Helloprint United Kingdom B.V.,195947,1003550,2/04/2024,365.99,61.00,Print Blackpool - Production,50033,63408,Services to Clients,Communication & Regeneration - 1,AMCPI,PRINTS,Print Blackpool - 3,PRINTS2,Print Blackpool - 5,3892481
LIST,Blackpool Council,Vickers Business Systems Ltd,195989,1000052,3/04/2024,331.88,55.31,Holy Family -Office,10084,63305,Photocopying Charges,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED091,Holy Family Rc - 5,414870
