Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,Wrps Ltd,209461,1003665,05/11/2024,"2,598.00",433,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,11386,1.00367E+17
Blackpool Council,REDACTED PERSONAL DATA,254638,1141551,18/11/2024,624.44,0,Ongoing Direct Payment,20249,65604,Direct Payments,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,687903,1.14155E+18
Blackpool Council,Wentworth Rest Home Ltd,261911,1000043,15/11/2024,"1,213.60",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,690794,1.00004E+18
Blackpool Council,CID Trading Ltd,262833,1005316,07/11/2024,"1,556.64",259.44,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services - 1,ZBPLSER,ZBPLSER2,Balance Sheet Blackpool Services - 3,ZBPLSER4,Balance Sheet Blackpool Services - 5,586295,1.00532E+22
Blackpool Council,Wentworth Rest Home Ltd,270393,1000043,15/11/2024,"1,213.60",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,695086,1.00004E+18
Blackpool Council,REDACTED PERSONAL DATA,272135,1141551,18/11/2024,624.44,0,Ongoing Direct Payment,20249,65604,Direct Payments,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,696883,1.14155E+18
Blackpool Council,Wentworth Rest Home Ltd,279932,1000043,15/11/2024,"1,213.60",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,699581,1.00004E+18
Blackpool Council,Inicio Group Ltd,284867,1003627,05/11/2024,712.5,0,Leaving Care,10530,64501,Private Contractors,Children's Services - 1,CHISER,CSCARE1,Children's social care,JEA11,Senior Management JEA11 - 5,AALMUTLEB004,1003627284867AALMUTLEB004
Blackpool Council,Wentworth Rest Home Ltd,287792,1000043,15/11/2024,"1,213.60",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,703348,1.00004E+18
Blackpool Council,REDACTED PERSONAL DATA,289607,1141551,18/11/2024,624.44,0,Ongoing Direct Payment,20249,65604,Direct Payments,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,704683,1.14155E+18
Blackpool Council,Wentworth Rest Home Ltd,298077,1000043,15/11/2024,"1,213.60",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,709127,1.00004E+18
Blackpool Council,Wentworth Rest Home Ltd,305726,1000043,15/11/2024,"1,213.60",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,712057,1.00004E+18
Blackpool Council,REDACTED PERSONAL DATA,307778,1141551,18/11/2024,624.44,0,Ongoing Direct Payment,20249,65604,Direct Payments,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,713684,1.14155E+18
Blackpool Council,Curo Care - Delaheys Care Home,313883,1006747,29/11/2024,"1,683.74",0,Nursing Placements,20455,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,717094I,1006747313883717094I
Blackpool Council,Wentworth Rest Home Ltd,314107,1000043,15/11/2024,"1,213.60",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,716986,1.00004E+18
Blackpool Council,North Liverpool Construction Ltd (Fac067),319779,1003477,04/11/2024,"4,406.09",734.35,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,131071,1.00348E+18
