Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,Stannah Lift Services Ltd,277140,1000811,02/10/2024,814.36,135.73,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,1085683898,1.00081E+22
Blackpool Council,Sandstone Care N.W. Ltd - Fleetwood Hall C.H.,280250,1004132,04/10/2024,"1,077.14",0,Residential Placements,20391,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,699817,1.00413E+18
Blackpool Council,Sandstone Care N.W. Ltd - Fleetwood Hall C.H.,280791,1004132,04/10/2024,807.22,0,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,700092,1.00413E+18
Blackpool Council,Sandstone Care N.W. Ltd - Fleetwood Hall C.H.,287961,1004132,04/10/2024,"1,077.14",0,Residential Placements,20391,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,703401,1.00413E+18
Blackpool Council,Sandstone Care N.W. Ltd - Fleetwood Hall C.H.,288630,1004132,04/10/2024,807.22,0,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,703866,1.00413E+18
Blackpool Council,The Yachtsman Ltd,288682,1001418,18/10/2024,"5,035.72",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,704081I,1001418288682704081I
Blackpool Council,The Yachtsman Ltd,297909,1001418,18/10/2024,"1,500.00",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,709938I,1001418297909709938I
Blackpool Council,Sandstone Care N.W. Ltd - Fleetwood Hall C.H.,298145,1004132,04/10/2024,"1,077.14",0,Residential Placements,20391,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,709181,1.00413E+18
Blackpool Council,Sandstone Care N.W. Ltd - Fleetwood Hall C.H.,298641,1004132,04/10/2024,807.22,0,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,709585,1.00413E+18
Blackpool Council,Sandstone Care N.W. Ltd - Fleetwood Hall C.H.,298737,1004132,04/10/2024,"4,587.90",0,Short Term Care,20467,47107,Ola-Stc With Carers-Resident,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,709665I,1004132298737709665I
Blackpool Council,P&A Medical Ltd,299234,1001229,18/10/2024,708,118,Corporate Health,64003,65588,"Education, training and support",Chief Executive - 1,CEXTOT,OCHEALT,Doesn?t Exist - 3,OCHEALT2,Doesn?t Exist - 5,51813,1.00123E+17
