Authority,Service Area,Description,Payment,Amount,Supplier
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£587.20,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£1,174.40",24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£880.80,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£587.20,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£587.20,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£587.20,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£1,174.40",24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£880.80,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£587.20,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£587.20,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£634.00,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£634.00,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£1,268.00",24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£951.00,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£634.00,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£507.20,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£634.00,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,04-Jun-23,£634.00,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,04-Jun-23,£634.00,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,04-Jun-23,"£1,268.00",24 Albert Road
Bolton BMC,Adult Services,Contracted Services,04-Jun-23,£951.00,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,04-Jun-23,£634.00,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,04-Jun-23,£507.20,24 Albert Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£675.28,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£587.20,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£880.80,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£675.28,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£587.20,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£587.20,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£880.80,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£729.10,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£634.00,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£634.00,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£951.00,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,04-Jun-23,£729.10,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,04-Jun-23,£634.00,28 Wigan Road
Bolton BMC,Adult Services,Contracted Services,04-Jun-23,£951.00,28 Wigan Road
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£19,834.65",62 Wright Street#Mencap
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£6,530.00",Abafields Residential Home
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£14,560.00",Abbey Healthcare (Farnworth) Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£6,905.00",Abbey Healthcare (Farnworth) Limited
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£4,877.50",Access UK Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,"£1,890.00",Aidapt Bathrooms Ltd
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,"£1,200.00",Aidapt Bathrooms Ltd
Bolton BMC,Adult Services,Clients Aids & Adaptations,05-Jun-23,£608.00,Aidapt Bathrooms Ltd
Bolton BMC,Adult Services,Clients Aids & Adaptations,23-Jun-23,"£1,360.00",Aidapt Bathrooms Ltd
Bolton BMC,Adult Services,Clients Aids & Adaptations,23-Jun-23,£800.00,Aidapt Bathrooms Ltd
Bolton BMC,Adult Services,Clients Aids & Adaptations,23-Jun-23,"£1,200.00",Aidapt Bathrooms Ltd
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£4,704.76",Alternative Futures Group
Bolton BMC,Adult Services,Contracted Services,15-Jun-23,"£8,235.75",Ansar Projects
Bolton BMC,Adult Services,Contracted Services,28-Jun-23,"£8,040.26",Ansar Projects
Bolton BMC,Adult Services,Clients Aids & Adaptations,19-Jun-23,£956.75,Arjo UK Ltd
Bolton BMC,Adult Services,Deep Cleans - One Offs,22-Jun-23,£825.00,Ash Cleaning Services Limited
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£3,690.00",Astley Grange Homes Limited
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£7,990.00",Astley Grange Homes Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£34,926.70",Bannister Farm Cottage
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,265.00",Beechville Care Home
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£3,340.00",Belong Atherton#EPH
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,595.00",Belong Wigan#2
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£47,492.00",Berkeley House
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£50,074.28",Berkeley House
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£1,399.29",Blackrod House Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£6,689.00",Blackrod House Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£7,771.50",Bluebell Cottage Veedale
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£2,091.04",Bluebird Care Bury
Bolton BMC,Adult Services,Contracted Services,09-Jun-23,"£107,383.17",Bolton NHS Foundation Trust#1
Bolton BMC,Adult Services,Partnerships - Other,23-Jun-23,"£506,000.00",Bolton NHS Foundation Trust#1
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£16,056.00",Bright Meadows Care Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,265.00",Bright Meadows Care Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£7,151.75",Brookfield Residential Care Home Ltd
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£17,139.05",Brookvale
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,163.50",Browfield Residential Home
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,£675.00,Buddi Ltd
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£7,255.00",Burrswood House
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£2,865.00",Carders Court Care Home
Bolton BMC,Adult Services,Contracted Services,25-Jun-23,"£1,246.62",Caring Alternatives Limited
Bolton BMC,Adult Services,Contracted Services,26-Jun-23,"£1,222.88",Caring Alternatives Limited
Bolton BMC,Adult Services,Contracted Services,25-Jun-23,"£11,999.99",Caring Alternatives Limited
