Authority,Service Area,Description,Payment, Amount ,Supplier
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £5,139.60 ",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £4,184.10 ",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £634.00 ,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £634.00 ,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £1,268.00 ",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £634.00 ,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £507.20 ,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,22-Oct-23, £634.00 ,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,22-Oct-23, £634.00 ,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,22-Oct-23," £1,268.00 ",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,22-Oct-23, £634.00 ,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,22-Oct-23," £1,189.60 ",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £729.10 ,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £634.00 ,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £887.60 ,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £951.00 ,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,22-Oct-23, £729.10 ,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,22-Oct-23, £634.00 ,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,22-Oct-23, £887.60 ,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,22-Oct-23, £951.00 ,28 Wigan Road
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £17,088.52 ",62 Wright Street#Mencap
Bolton MBC,Adult Services,Legal Fees,26-Oct-23, £850.00 ,9 St Johns St Chambers
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,612.00 ",Abafields Residential Home
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £8,209.15 ",Abafields Residential Home
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £3,112.00 ",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £11,648.00 ",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £5,524.00 ",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Contracted Services,10-Oct-23," £4,772.00 ",Access UK Limited
Bolton MBC,Adult Services,Computer Software Licences,01-Oct-23," £2,025.00 ",Access UK Limited
Bolton MBC,Adult Services,Computer Software Licences,01-Oct-23," £2,025.00 ",Access UK Limited
Bolton MBC,Adult Services,Office Furniture Purchase,01-Oct-23," £3,611.00 ",Alpha Furniture Limited#Alpha Furnishings Limited
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £660.16 ,Alternative Futures Group
Bolton MBC,Adult Services,Contracted Services,04-Oct-23," £7,727.36 ",Ansar Projects
Bolton MBC,Adult Services,Contracted Services,20-Oct-23," £7,727.36 ",Ansar Projects
Bolton MBC,Adult Services,Other Agency/Contracted Services,19-Oct-23," £6,750.00 ",ARCC#ARCC HR Limited
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £2,952.00 ",Astley Grange Homes Limited
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £6,392.00 ",Astley Grange Homes Limited
Bolton MBC,Adult Services,Vol Assoc Grants - General,01-Oct-23," £4,026.00 ",Autistic Society Greater Manchester Area
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £27,941.36 ",Bannister Farm Cottage
Bolton MBC,Adult Services,Client Support Costs,31-Oct-23," £1,440.00 ",Barkingham Kennels
Bolton MBC,Adult Services,Client Support Costs,31-Oct-23, £630.00 ,Barkingham Kennels
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,612.00 ",Beechville Care Home
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,876.00 ",Belong Wigan#2
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £40,091.68 ",Berkeley House
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £10,698.56 ",Berkeley House
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,612.00 ",BH Residential Care Home
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £5,224.00 ",Blackrod House Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £6,217.20 ",Bluebell Cottage Veedale
Bolton MBC,Adult Services,Contracted Services,16-Oct-23," £1,016.60 ",Bolton New Care Limited T/A Home Instead Senior Care
Bolton MBC,Adult Services,Partnership Staff,05-Oct-23," £44,525.00 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,01-Oct-23," £2,897.34 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,04-Oct-23," £55,125.00 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,09-Oct-23," £2,929.74 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,09-Oct-23," £2,494.89 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £122,514.03 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,09-Oct-23," £113,392.01 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,09-Oct-23," £113,447.85 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,01-Oct-23," £4,792.48 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,05-Oct-23," £19,811.00 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnerships - Other,18-Oct-23," £362,060.00 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,05-Oct-23," £26,189.00 ",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £12,624.00 ",Bright Meadows Care Home
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £5,508.00 ",Bright Meadows Care Home
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £5,721.40 ",Brookfield Residential Care Home Ltd
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £13,711.24 ",Brookvale
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,530.80 ",Browfield Residential Home
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £5,804.00 ",Burrswood House
Bolton MBC,Adult Services,Contracted Services,05-Oct-23," £1,543.43 ",Caring Alternatives Limited
Bolton MBC,Adult Services,Contracted Services,05-Oct-23," £12,035.61 ",Caring Alternatives Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,530.80 ",Carr Bank House
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Oct-23," £1,365.60 ",Cefndy Healthcare#Cefndy Enterprises
Bolton MBC,Adult Services,Clients Aids & Adaptations,05-Oct-23," £1,707.00 ",Cefndy Healthcare#Cefndy Enterprises
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £3,228.51 ",Chatterton Hey
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £18,874.56 ",Chorley House
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £9,437.28 ",Chorley House
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £6,212.56 ",Church View
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £16,291.60 ",Church Walk Health Care Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £9,103.04 ",Clarence House
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £29,420.00 ",Comer Wall Way
Bolton MBC,Adult Services,Contracted Services,12-Oct-23," £4,212.63 ",Community Care Options#3
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £12,962.88 ",Companion Support Services Limited
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £12,962.88 ",Companion Support Services Limited
Bolton MBC,Adult Services,Contracted Services,23-Oct-23, £899.56 ,Complete Care 4 U Limited
Bolton MBC,Adult Services,Contracted Services,23-Oct-23, £585.76 ,Complete Care 4 U Limited
Bolton MBC,Adult Services,Contracted Services,18-Oct-23," £2,940.00 ",Creative Support Limited#3
Bolton MBC,Adult Services,Nursing Provision,02-Oct-23," £4,135.80 ",Crystal Hall Care Home
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £1,697.00 ",Dagmar Hartshorn Psychological Services
Bolton MBC,Adult Services,Contracted Services,01-Oct-23, £595.00 ,Dagmar Hartshorn Psychological Services
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £7,150.01 ",Daisy Fieldz Care Services Limited
Bolton MBC,Adult Services,Op Equip Health and Safety,16-Oct-23, £514.00 ,Denward Manufacturing Limited
Bolton MBC,Adult Services,Contracted Services,03-Oct-23," £2,266.33 ",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23," £1,594.10 ",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23, £612.26 ,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23," £2,521.56 ",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23," £1,190.70 ",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23, £709.19 ,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23, £954.65 ,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23," £1,082.61 ",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23," £2,786.20 ",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23, £563.45 ,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23," £3,528.86 ",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23," £1,087.49 ",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23, £671.53 ,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23, £626.55 ,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,03-Oct-23," £3,995.72 ",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £7,835.68 ",DIL House
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £24,433.51 ",DIL Place
Bolton MBC,Adult Services,Clients Aids & Adaptations,20-Oct-23," £5,450.00 ",Doro Care (UK) Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,06-Oct-23, £700.35 ,Drive Devilbiss Healthcare Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,10-Oct-23," £1,400.70 ",Drive Devilbiss Healthcare Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,16-Oct-23," £1,458.00 ",Drive Devilbiss Healthcare Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,18-Oct-23," £1,400.00 ",Drive Devilbiss Healthcare Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,18-Oct-23, £701.08 ,Easylink UK#Medpage Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,18-Oct-23, £934.92 ,Easylink UK#Medpage Limited
Bolton MBC,Adult Services,Contracted Services,02-Oct-23, £617.14 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,02-Oct-23," £1,004.16 ",Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,02-Oct-23," £1,840.96 ",Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,02-Oct-23, £976.28 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,02-Oct-23, £877.64 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,02-Oct-23, £536.94 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,16-Oct-23," £1,004.16 ",Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,16-Oct-23," £1,840.96 ",Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,16-Oct-23, £976.28 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,16-Oct-23, £575.30 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,16-Oct-23, £536.94 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,29-Oct-23," £1,004.16 ",Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,29-Oct-23," £1,840.96 ",Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,29-Oct-23, £976.28 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,29-Oct-23, £899.56 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,29-Oct-23, £536.94 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Contracted Services,29-Oct-23, £523.00 ,Eden Care Support Services Ltd
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,467.84 ",Elizabeth House#1
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £9,720.84 ",Ellershaw House Ltd
Bolton MBC,Adult Services,Contracted Services,24-Oct-23," £1,008.00 ",Enhancing Lives Community Care Limited
Bolton MBC,Adult Services,Contracted Services,02-Oct-23," £1,008.00 ",Enhancing Lives Community Care Limited
Bolton MBC,Adult Services,Contracted Services,02-Oct-23," £1,036.00 ",Enhancing Lives Community Care Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,530.80 ",Epworth Grange
Bolton MBC,Adult Services,Contracted Services,13-Oct-23," £3,353.88 ",Equilibrium Healthcare Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £5,929.08 ",Fosse Bank
Bolton MBC,Adult Services,Clients Aids & Adaptations,16-Oct-23," £1,315.60 ",Frontier Therapeutics
Bolton MBC,Adult Services,Clients Aids & Adaptations,16-Oct-23," £4,106.40 ",Frontier Therapeutics
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,612.00 ",Glenbank Care Home Ltd
Bolton MBC,Adult Services,Operational Equipment Purchase,02-Oct-23," £1,800.00 ",GNS Inspire Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,612.00 ",Grange Lea Residential Care Home Limited
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £5,984.59 ",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,26-Oct-23, £814.68 ,Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,26-Oct-23," £2,553.79 ",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,26-Oct-23," £6,034.23 ",Greater Manchester Mental Health NHS Foundation Trust
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £4,944.14 ",Greenlands Residential Home Limited
Bolton MBC,Adult Services,Other Fees,01-Oct-23," £2,100.00 ",Griffin Care Limited
Bolton MBC,Adult Services,Other Fees,12-Oct-23," £1,800.00 ",Griffin Care Limited
Bolton MBC,Adult Services,Contracted Services,24-Oct-23," £3,897.26 ",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,24-Oct-23," £2,931.30 ",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Contracted Services,24-Oct-23," £35,165.66 ",Guardian Homecare UK Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £17,240.80 ",Hartington House
Bolton MBC,Adult Services,Clients Aids & Adaptations,11-Oct-23, £675.00 ,Harvest Healthcare Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,11-Oct-23," £3,852.64 ",Harvest Healthcare Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,24-Oct-23," £1,350.00 ",Harvest Healthcare Limited
Bolton MBC,Adult Services,Clients - Taxi Fares,01-Oct-23," £1,440.00 ",Hastings Cars NW Limited
Bolton MBC,Adult Services,Clients - Taxi Fares,01-Oct-23, £660.00 ,Hastings Cars NW Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £8,136.00 ",Hazelbrook Christian Nursing Home
Bolton MBC,Adult Services,Contracted Services,06-Oct-23," £4,724.84 ",Hearten House
Bolton MBC,Adult Services,Contracted Services,25-Oct-23," £4,724.84 ",Hearten House
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £23,169.68 ",Heaton Vale
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Oct-23, £586.00 ,Helping Hand Company (Ledbury) Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,19-Oct-23, £729.00 ,Helping Hand Company (Ledbury) Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,19-Oct-23, £646.20 ,Helping Hand Company (Ledbury) Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £9,471.92 ",HF Trust Limited Honeysuckle House
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £7,711.59 ",Hollands Nursing Home
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £2,896.00 ",Hollands Nursing Home
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £23,168.00 ",Hollands Nursing Home
Bolton MBC,Adult Services,Contracted Services,24-Oct-23," £9,128.27 ",Homecare For You Ltd#BLACKBURN
Bolton MBC,Adult Services,Contracted Services,24-Oct-23," £6,983.79 ",Homecare For You Ltd#BLACKBURN
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £2,175.68 ",Homecare Haven Limited
Bolton MBC,Adult Services,Contracted Services,23-Oct-23," £2,887.90 ",Homecare Team Limited
Bolton MBC,Adult Services,Contracted Services,25-Oct-23, £721.98 ,Homecare Team Limited
Bolton MBC,Adult Services,Contracted Services,23-Oct-23," £4,781.30 ",Homecare Team Limited
Bolton MBC,Adult Services,Contracted Services,25-Oct-23," £5,408.24 ",Homecare Team Limited
Bolton MBC,Adult Services,Residential Provision,02-Oct-23," £5,508.00 ",Hyde Lea
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £1,295.89 ",ICRIT Healthcare#Limited
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £1,996.57 ",ICRIT Healthcare#Limited
Bolton MBC,Adult Services,Contracted Services,16-Oct-23," £1,285.75 ",ICRIT Healthcare#Limited
Bolton MBC,Adult Services,Contracted Services,16-Oct-23," £1,997.58 ",ICRIT Healthcare#Limited
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £1,965.13 ",ICRIT Healthcare#Limited
Bolton MBC,Adult Services,Contracted Services,16-Oct-23," £1,961.08 ",ICRIT Healthcare#Limited
Bolton MBC,Adult Services,Contracted Services,01-Oct-23," £1,277.64 ",ICRIT Healthcare#Limited
