Body Name,Body,Service Label,Service Code,Service Division Label,Service Division Code,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,CC 43 TBM Section,CCN 43 TBM Section,CC 02 Council or Non Council,Net Amount,Capital and Revenue,Creditor Name
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Mental Health Support,MHP,Third Party Payments,F,Other Establishments,FH,15/12/2023,PAY01739528,MENH,Mental Health Support,COUN,4628.4,Revenue,17CARE UK LTD T/A CARE SPECTRUM
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Environmental Health,EVH,Supplies and Services,E,Equip't Furniture n Materials,EA,21/12/2023,PAY01741085,SCOM,Safer Communties,COUN,221,Revenue,1env Solutions Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Child Srvcs Leaving Care,FAL,Transfer Payments,G,Other Transfer Payments,GD,11/12/2023,PAY01737621,CHPL,Children`s Placements,COUN,320,Revenue,1st Choice Electrical Solutions
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Supplies and Services,E,Services,EF,15/12/2023,PAY01739398,ESTM,Estates Management,COUN,5000,Revenue,3J`s Surveyors & Valuers Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Mgmnt and Suppt Services,4PT,Plant Machinery n Equipment,PE2,Plant Machinery n Equipment,PE2L5,15/12/2023,PAY01739578,ICTA,ICT,COUN,4250,Capital,4C Strategies Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Highways and Transportation,BVAHRT,Traffic Mgmnt and Road Safety,TMR,Supplies and Services,E,Miscellaneous Expenses,EM,11/12/2023,PAY01737537,HIGH,Traffic Management,COUN,4875.8,Revenue,6-10 Traffic Management Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Mgmnt and Suppt Services,4PT,Plant Machinery n Equipment,PE2,Plant Machinery n Equipment,PE2L5,04/12/2023,PAY01735150,VENU,Venues,COUN,5850,Capital,A G M Floors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Agricultural and Fisheries,AGF,Third Party Payments,F,Private Contractors,FJ,18/12/2023,PAY01739710,ESTM,Estates Management,COUN,287.5,Revenue,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Environment & Regulatory Serv,BVAERS,Agricultural and Fisheries,AGF,Third Party Payments,F,Private Contractors,FJ,19/12/2023,PAY01739985,ESTM,Estates Management,COUN,2105,Revenue,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing General Fund,BVAHOG,Homelessness,HML,Third Party Payments,F,Other Establishments,FH,22/12/2023,PAY01741481,TAAS,Temp Accom and Allocations,COUN,1181.95,Revenue,A&R Lettings
