Body Name,Body,Service Label,Service Code,Service Division Label,Service Division Code,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,CC 43 TBM Section,CCN 43 TBM Section,CC 02 Council or Non Council,Net Amount,Capital and Revenue,Creditor Name
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Housing Del & Regeneration HRA,HGD,Supplies and Services,E,Services,EF,21/06/2023,PAY01685158,HDAR,Head of City Dev Regeneration,COUN,1680.00,Revenue,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Sport and Recreation,4RC,New Construction n Conversion,PB,New Construction n Conversion,PBL5,29/06/2023,PAY01688620,SPLE,Sport and Leisure,COUN,62003.65,Capital,A J Taylor Electrical Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,New Construction n Conversion,PB,New Construction n Conversion,PBL5,09/06/2023,PAY01682313,PSHG,Private Sector Housing,COUN,19422.00,Capital,A1 Glass & Glazing (Brighton) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Customer n Client Receipts,M,Fees n Charges,MB,02/06/2023,PAY01680635,LDCC,Learning Disability Comm Care,COUN,-483.20,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,02/06/2023,PAY01680635,LDCC,Learning Disability Comm Care,COUN,6674.32,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Customer n Client Receipts,M,Fees n Charges,MB,30/06/2023,PAY01689581,LDCC,Learning Disability Comm Care,COUN,-483.20,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,30/06/2023,PAY01689581,LDCC,Learning Disability Comm Care,COUN,6674.32,Revenue,Abi House
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,21/06/2023,PAY01685339,HHSS,Head of Strategy & Supply,COUN,11799.00,Capital,ABIR Architects Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,30/06/2023,PAY01689584,HHIA,Housing Invt & Asset Mngmnt,COUN,5209.33,Capital,ABIR Architects Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,09/06/2023,PAY01682664,HHIA,Housing Invt & Asset Mngmnt,COUN,1817.14,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,16/06/2023,PAY01684585,HHIA,Housing Invt & Asset Mngmnt,COUN,2017.89,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,27/06/2023,PAY01687953,HHIA,Housing Invt & Asset Mngmnt,COUN,4637.21,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Repair Maint n Alterations,CA,02/06/2023,PAY01681034,FABS,Facilities & Building Services,COUN,666.55,Revenue,ABS Electrical Supplies Ltd t/a SELS
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Repair Maint n Alterations,CA,21/06/2023,PAY01685562,FABS,Facilities & Building Services,COUN,388.00,Revenue,ABS Electrical Supplies Ltd t/a SELS
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Child Srvcs - Other Fam Supp,FFX,Transfer Payments,G,Other Transfer Payments,GD,30/06/2023,PAY01689628,PREV,Preventive (S17),COUN,208.48,Revenue,Absolute Translations Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,Capital Grants,PF,Capital Grants,PFL5,21/06/2023,PAY01685398,PSHG,Private Sector Housing,COUN,8770.00,Capital,Access & Automation Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Highways and Transportation,BVAHRT,Parking Services,PRK,Supplies and Services,E,Services,EF,27/06/2023,PAY01687818,PARK,Parking Services,COUN,1200.00,Revenue,Access Independent Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,Commission & Service Delivery,CMM,Supplies and Services,E,Communications n Computing,EH,21/06/2023,PAY01685473,CONT,Contracts,COUN,762.05,Revenue,Access UK Limited 
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Supplies and Services,E,Communications n Computing,EH,21/06/2023,PAY01685393,HOME,Home Care,COUN,3369.96,Revenue,Access UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,29/06/2023,PAY01689019,PHYS,Physical Support,COUN,8286.76,Revenue,Accomplish Group
