Auth,Proclass,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45156,Health and Adult Care (formerly OCO),Community Care - Rapid Response,537.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45156,Health and Adult Care (formerly OCO),Community Care - Rapid Response,523.3
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,607.32
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,1722.02
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,1927.15
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,852.75
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2373.27
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,586.37
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,516.65
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,1364.96
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,677.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,539.62
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,541.23
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,4419.3
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,1059.49
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3167.98
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,843.48
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,519.87
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,847.11
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,587.57
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2073.03
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3061.59
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Bury East INT,532.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Rapid Response,4453.96
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,1443.14
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45162,Health and Adult Care (formerly OCO),Community Care - Rapid Response,1458.86
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45154,Health and Adult Care (formerly OCO),Community Care - North INT,1502.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,3one3 Group,45152,Children & Young People,Youth Service,1109.98
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,4 Pure Heart Limited,45140,Children & Young People,Childrens Residential,15714.38
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,4 Pure Heart Limited,45140,Children & Young People,Childrens Residential,22142.85
Bury Metropolitan Borough Council,Non Proclass Spend,Aaron Mitchell Wall,45160,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,573.72
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45154,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45154,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45154,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45154,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45154,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45154,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45154,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45154,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45154,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2651.4
