Authority,Pro Class,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,1021
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Rapid Response,735.48
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,1177.97
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,851.34
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,1403.65
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,555.33
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,1767.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,4520.85
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,1341.79
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2096.61
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,687.52
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3583.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,570.45
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,918.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,519.87
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,834.01
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,909.97
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2462.33
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,795.32
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,880.56
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,676.64
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,1114.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,1829.22
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,528.33
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),110 UK Ltd T/A Alternative Systems Protection,45320,Department of Operations,Radcliffe,1895
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45294,Children & Young People,Safeguarding Team - External Legal,830
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45294,Children & Young People,Safeguarding Team - External Legal,650
