Auth,Proclass,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Art & Leisure Services,Fairways Lodge & Leisure Club,45182,"Business, Growth & Infrastructure",Homelessness & Housing Needs Teams,500
Bury Metropolitan Borough Council,Art & Leisure Services,Fairways Lodge & Leisure Club,45182,"Business, Growth & Infrastructure",Homelessness & Housing Needs Teams,500
Bury Metropolitan Borough Council,Art & Leisure Services,Fairways Lodge & Leisure Club,45182,"Business, Growth & Infrastructure",Homelessness & Housing Needs Teams,500
Bury Metropolitan Borough Council,Art & Leisure Services,Fairways Lodge & Leisure Club,45181,"Business, Growth & Infrastructure",Homelessness & Housing Needs Teams,500
Bury Metropolitan Borough Council,Art & Leisure Services,Fairways Lodge & Leisure Club,45181,"Business, Growth & Infrastructure",Homelessness & Housing Needs Teams,500
Bury Metropolitan Borough Council,Building Construction Materials and Services,Bury Property Solutions,45195,Health and Adult Care (formerly OCO),CHOICES FOR LIVING WELL,500
Bury Metropolitan Borough Council,Education,AC Education Limited,45191,Children & Young People,Fostering Services,500
Bury Metropolitan Borough Council,Legal Services,Redacted,45175,Children & Young People,Safeguarding Team - External Legal,500
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Premier Care Limited,45189,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,500.3
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Premier Care Limited,45189,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,500.3
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,501.07
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Lifeways Community Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,501.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,I Care GB Limited,45189,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,501.33
Bury Metropolitan Borough Council,Housing Management,Right - Step Limited,45184,Children & Young People,Through Care Support Costs,501.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Care Connect Bury Ltd T/A Care Connect,45189,Health and Adult Care (formerly OCO),Community Care - Disability,501.74
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,KV Care Limited,45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,502
Bury Metropolitan Borough Council,Utilities,Integrated Water Services Ltd,45180,Department of Operations,Property Maintenance (Fees-Variable Oncost),502.09
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,I Care GB Limited,45189,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,502.54
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,I Care GB Limited,45189,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,505.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,"Next Stage ""A Way Forward"" Ltd",45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,506.12
