Service Label,Service Code,Service division,Service division code,Organisational unit,Expenditure Category,Expenditure code,Date,Transaction number,Net Amount,Capital or Revenue,Supplier name,Supplier ID
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,02/07/2024,1900141638,385.42,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,02/07/2024,1900141639,741.27,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,02/07/2024,1900141640,1306.73,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141641,435.55,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141643,416.04,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141645,477.2,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141647,464.52,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141648,674.86,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,11/07/2024,1900141649,475.45,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141650,563.93,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141653,588.02,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141654,353.77,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141655,695.62,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141656,721.21,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141657,744.05,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,18/07/2024,1900141659,346.12,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141660,522.05,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,04/07/2024,1900141663,529.79,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,11/07/2024,1900141664,516.43,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,09/07/2024,1900141666,1153.11,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
PLACE AND COMMUNITIES,600,LIBRARIES,6815,Book Fund,Furniture Equipment and Materials,6140000,11/07/2024,1900141668,392.43,Revenue,ASKEWS LIBRARY SERVICES LTD,0000103588
