Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Type

IOL,Subscriptions,02-Apr-24,£310.00,,Direct Debit

GCI NETWORK SOLUTI,Telecoms,02-Apr-24,£331.87,,Direct Debit

DOWNHAM VILLAGE HALL MANAGEMENT COMMITTEE,Election Services,03-Apr-24,£250.00,PO00040441,Purchase order

WOODHAM FERRERS VILLAGE HALL,Election Services,03-Apr-24,£250.00,PO00040451,Purchase order

SANDON VILLAGE HALL,Election Services,03-Apr-24,£255.00,PO00040490,Purchase order

DIAL A JET DRAINAGE LTD,Building Repairs,03-Apr-24,£264.00,PO00040375,Purchase order

CHELMSFORD BOYS CLUB,Election Services,03-Apr-24,£265.00,PO00040462,Purchase order

CHELMSFORD AUTO ELECTRIC LTD,Vehicles Parts,03-Apr-24,£276.00,PO00040342,Purchase order

REDACTED,Temporary Staff,03-Apr-24,£278.00,PO00040416,Purchase order

HEAVYHAUL (CHELMSFORD) LTD,Vehicle Recovery,03-Apr-24,£280.00,PO00040365,Purchase order

BRIDGE ACADEMY TRUST,Election Services,03-Apr-24,£280.00,PO00040460,Purchase order

SOUTH HANNINGFIELD VILLAGE HALL REGISTERED CHARITY,Election Services,03-Apr-24,£300.00,PO00040486,Purchase order

SOUTH WOODHAM VILLAGE HALL TRUST,Election Services,03-Apr-24,£305.25,PO00040489,Purchase order

SOUTH WOODHAM FERRERS TOWN COUNCIL,Election Services,03-Apr-24,£306.72,PO00040445,Purchase order

CHELMSFORD AUTO ELECTRIC LTD,Vehicles Parts,03-Apr-24,£310.02,PO00040341,Purchase order

SPRINGFIELD PARISH COUNCIL (HALL HIRE ONLY),Election Services,03-Apr-24,£312.50,PO00040456,Purchase order

CHELMSFORD VAN HIRE,Homelessness Provision,03-Apr-24,£315.00,PO00040436,Purchase order

WESTLANDS COMMUNITY PRIMARY SCHOOL,Election Services,03-Apr-24,£350.00,PO00040471,Purchase order

CATHOLIC CHURCH CHELMSFORD OUR LADY IMMACULATE,Election Services,03-Apr-24,£350.00,PO00040483,Purchase order

CHANDLER MATERIAL SUPPLIES LTD,Stones & Rocks (decorative),03-Apr-24,£361.33,PO00040405,Purchase order

DIAL A JET DRAINAGE LTD,Building Repairs,03-Apr-24,£380.00,PO00040334,Purchase order

Larkrise Primary School C/O The Eveleigh LINK Academy Trust,Election Services,03-Apr-24,£399.00,PO00040449,Purchase order

SPRINGFIELD PARK BAPTIST CHURCH,Election Services,03-Apr-24,£400.00,PO00040442,Purchase order

GREAT WALTHAM WITH FORD END PAROCHIAL CHURCH COUNCIL,Election Services,03-Apr-24,£400.00,PO00040463,Purchase order

CHANNELS GOLF CLUB LTD,Election Services,03-Apr-24,£416.67,PO00040468,Purchase order

New Hope Rentals,Homelessness Provision,03-Apr-24,£420.00,PO00040432,Purchase order

New Hope Rentals,Homelessness Provision,03-Apr-24,£420.00,PO00040433,Purchase order

New Hope Rentals,Homelessness Provision,03-Apr-24,£420.00,PO00040434,Purchase order

DMG OFFICE  LTD,Cleaning Supplies,03-Apr-24,£421.60,PO00040425,Purchase order

MOULSHAM LODGE METHODIST CHURCH,Election Services,03-Apr-24,£424.00,PO00040470,Purchase order

DENNIS EAGLE LTD,Vehicles Parts,03-Apr-24,£426.07,PO00040358,Purchase order

LITTLE WALTHAM MEMORIAL HALL MANAGEMENT COMMITEE,Election Services,03-Apr-24,£430.00,PO00040478,Purchase order

KEENE HALL CHARITY,Election Services,03-Apr-24,£433.50,PO00040479,Purchase order

BROOMFIELD VILLAGE HALL CHARITY,Election Services,03-Apr-24,£435.57,PO00040447,Purchase order

LEIGHS VILLAGE HALL,Election Services,03-Apr-24,£450.00,PO00040446,Purchase order

Life Church,Election Services,03-Apr-24,£450.00,PO00040464,Purchase order

THE ANGLIA SIGN CASTING LTD,Crematorium Equipment,03-Apr-24,£465.08,PO00040380,Purchase order

MARGARETTING  VILLAGE HALL,Election Services,03-Apr-24,£475.00,PO00040467,Purchase order

HEAVYHAUL (CHELMSFORD) LTD,Vehicle Recovery,03-Apr-24,£485.00,PO00040367,Purchase order

ST ANDREW'S CHURCH CHELMSFORD PCC,Election Services,03-Apr-24,£495.00,PO00040439,Purchase order

LASER ELECTRICAL SERVICES LTD,Building Repairs,03-Apr-24,£499.05,PO00040371,Purchase order

GALLEYWOOD INFANTS SCHOOL,Election Services,03-Apr-24,£500.00,PO00040452,Purchase order

Chelmsford County High School for Girls,Election Services,03-Apr-24,£500.00,PO00040455,Purchase order

CHRIST CHURCH (UNITED REFORMED CHURCH),Election Services,03-Apr-24,£540.00,PO00040481,Purchase order

GREAT BADDOW PCC MEADGATE ACCOUNT,Election Services,03-Apr-24,£551.25,PO00040499,Purchase order

BADDOW ROAD SUPPLIES LTD,Vehicles Parts,03-Apr-24,£573.78,PO00040400,Purchase order

ST JOHN PAYNE CATHOLIC SCHOOL,Election Services,03-Apr-24,£595.00,PO00040457,Purchase order

THE CHELMERS VILLAGE HALL MANAGEMENT COMMITTEE,Election Services,03-Apr-24,£600.00,PO00040438,Purchase order

CHELMSFORD SPIRITUALIST SOCIETY LTD,Election Services,03-Apr-24,£600.00,PO00040448,Purchase order

SPRINGFIELD PRIMARY SCHOOL,Election Services,03-Apr-24,£600.00,PO00040458,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,03-Apr-24,£629.01,PO00040379,Purchase order

7 2 7 TRUCK & VAN PARTS SPECIALIST,Vehicles Parts,03-Apr-24,£661.92,PO00040347,Purchase order

BEAULIEU COMMUNITY TRUST,Election Services,03-Apr-24,£687.50,PO00040461,Purchase order

11TH CHELMSFORD (ST LUKE'S) SCOUT GROUP,Election Services,03-Apr-24,£750.00,PO00040488,Purchase order

REDACTED,Burial & Cremation,03-Apr-24,£795.50,PO00040398,Purchase order

S B SKIP HIRE,Waste Disposal Services,03-Apr-24,£810.00,PO00040406,Purchase order

CHANDLER MATERIAL SUPPLIES LTD,Timber,03-Apr-24,£831.30,PO00040402,Purchase order

HIGHWOOD VILLAGE HALL,Election Services,03-Apr-24,£850.00,PO00040440,Purchase order

HOLY TRINITY SPRINGFIELD,Election Services,03-Apr-24,£850.00,PO00040493,Purchase order

LEXISNEXIS BUTTERWORTHS,Publications,03-Apr-24,£855.00,PO00040437,Purchase order

H SMITH PLASTICS LTD,Seeds & Plants,03-Apr-24,£991.50,PO00040340,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,03-Apr-24,"£1,068.79",PO00040388,Purchase order

DENNIS EAGLE LTD,Vehicles Parts,03-Apr-24,"£1,121.42",PO00040361,Purchase order

AUTO JET,Vehicle Maintenance,03-Apr-24,"£1,205.00",PO00040348,Purchase order

DENNIS EAGLE LTD,Vehicles Parts,03-Apr-24,"£1,276.03",PO00040362,Purchase order

Adam & Greenwood Funeral Home,Burial & Cremation,03-Apr-24,"£1,564.00",PO00040408,Purchase order

AUTO JET,Vehicle Maintenance,03-Apr-24,"£1,625.00",PO00040346,Purchase order

REDACTED,Burial & Cremation,03-Apr-24,"£1,935.00",PO00040397,Purchase order

