Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

ESSEX COUNTY COUNCIL,Legal Advice,03 March 2025,£280.00,PO00051419,LEGAL4,Purchase order

PARK AVENUE RECRUITMENT LIMITED,Temporary Staff,03 March 2025,"£1,575.00",PO00051420,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,03 March 2025,£780.35,PO00051421,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,03 March 2025,£780.35,PO00051422,HR2,Purchase order

TOMRA SORTING LTD,Recycling Services,03 March 2025,£683.58,PO00051427,RECYCL1,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,03 March 2025,£402.75,PO00051429,CAT2,Purchase order

PEST DEFENCE LTD,Pest Control,03 March 2025,"£1,272.00",PO00051430,PEST,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,03 March 2025,£262.50,PO00051431,CAT2,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,03 March 2025,£626.50,PO00051436,CAT2,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,03 March 2025,"£9,344.76",PO00051437,CLEAN2,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,03 March 2025,"£1,355.00",PO00051438,CLEAN2,Purchase order

Architectural Acoustic Products Ltd,Doors,03 March 2025,£556.15,PO00051441,BUILD04,Purchase order

HYDRAHOSE SERVICE LTD,Vehicle Tools and Equipment,03 March 2025,£573.10,PO00051443,VEHIC10,Purchase order

REDACTED,Promotional Advertising,03 March 2025,"£2,200.00",PO00051446,ADVRT1,Purchase order

PALL MALL PREMIER CARS,Vehicles - Private Motor,03 March 2025,"£1,106.00",PO00051447,VEHIC1,Purchase order

FENN WRIGHT,Property Management,03 March 2025,"£1,295.00",PO00051448,PROP4,Purchase order

CORNERSTONE BARRISTERS,Consultancy,03 March 2025,"£10,000.00",PO00051449,CONSULT,Purchase order

TMP (UK) LTD,Statutory Advertising,03 March 2025,£405.70,PO00051451,ADVRT2,Purchase order

BRIGHT INTERACTIVE LIMITED,Software,03 March 2025,"£7,145.88",PO00051452,DIGIT7,Purchase order

Forfront ltd.,Software,03 March 2025,"£16,000.00",PO00051453,DIGIT7,Purchase order

BLUE SKY PRINTING LIMITED,Museums & Galleries,03 March 2025,"£1,222.00",PO00051454,MUSEUM,Purchase order

ESSEX COUNTY COUNCIL,Legal Advice,04 March 2025,£364.00,PO00051456,LEGAL4,Purchase order

NEWMARK GERALD EVE LLP,Consultancy,04 March 2025,"£13,875.00",PO00051457,CONSULT,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Supplies,04 March 2025,£274.25,PO00051458,CLEAN1,Purchase order

W20 LIMITED T/AS  CCFC EVENTS LIMITED,Catering Supplies - Food & Drink,04 March 2025,£640.00,PO00051459,CAT2,Purchase order

BALM & DAVIES LTD,Engineering Services,04 March 2025,"£16,863.95",PO00051462,ENGINEER,Purchase order

M J FENCING LTD,Construction - Permanent Structures,04 March 2025,"£3,000.00",PO00051463,BUILD06,Purchase order

M J FENCING LTD,Waste Collection Services,04 March 2025,£360.00,PO00051464,WASTE1,Purchase order

ESSEX RECLAMATION,Recycling Services,04 March 2025,"£18,574.50",PO00051465,RECYCL1,Purchase order

ASHE GREEN CIVIL ENGINEERS LTD,Bitumen & Roadsurface Dressing,04 March 2025,"£13,935.40",PO00051466,ROAD,Purchase order

OMEGA CITYLIFTS SERVICES LTD,Building Repairs,04 March 2025,£537.42,PO00051473,BUILD07,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,04 March 2025,"£2,960.00",PO00051474,CLEAN2,Purchase order

VIP SECURITY (ESSEX) LTD,Temporary Staff,04 March 2025,£275.25,PO00051477,HR2,Purchase order

EXPERIAN LTD,Homelessness Provision,04 March 2025,"£4,100.00",PO00051478,HOMEPROV,Purchase order

