Cost Centre,Supplier,Date,Account,Amount
Administration Services,ADECCO UK LTD,31/01/2024,Agency / Temp Staff,569.13
Administration Services,ADECCO UK LTD,31/01/2024,Agency / Temp Staff,569.13
Administration Services,ADECCO UK LTD,31/01/2024,Agency / Temp Staff,113.83
Administration Services,ADECCO UK LTD,31/01/2024,Agency / Temp Staff,455.30
Administration Services,ADECCO UK LTD,31/01/2024,Agency / Temp Staff,569.12
Administration Services,ADECCO UK LTD,14/02/2024,Agency / Temp Staff,569.13
Administration Services,ADECCO UK LTD,14/02/2024,Agency / Temp Staff,21.60
Administration Services,ADECCO UK LTD,21/02/2024,Agency / Temp Staff,569.13
Administration Services,ADECCO UK LTD,28/02/2024,Agency / Temp Staff,569.13
Administration Services,ADECCO UK LTD,28/02/2024,Agency / Temp Staff,569.13
Administration Services,ADECCO UK LTD,13/03/2024,Agency / Temp Staff,569.13
Administration Services,ADECCO UK LTD,26/03/2024,Agency / Temp Staff,471.00
Administration Services,ADECCO UK LTD,26/03/2024,Agency / Temp Staff,54.00
Annual Vehicle Replacement,CAR AND COMMERCIAL SOLUTIONS LTD,03/01/2024,Vehicles - Road,3925.00
Annual Vehicle Replacement,CAR AND COMMERCIAL SOLUTIONS LTD,03/01/2024,Vehicles - Road,3925.00
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,03/01/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,03/01/2024,Vehicles - Road,28314.38
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,28/02/2024,Vehicles - Road,43397.52
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,28/02/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,06/03/2024,Vehicles - Road,43397.52
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,06/03/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,26/03/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,FORD MOTOR COMPANY LTD,26/03/2024,Vehicles - Road,43397.52
Annual Vehicle Replacement,FP PLASTICS (ENGINEERING) T/A FORMATION PLASTICS,06/03/2024,Vehicles - Road,1700.00
Annual Vehicle Replacement,INTOMOVE LTD,19/01/2024,Vehicles - Road,6879.71
Annual Vehicle Replacement,MOTOROLA SOLUTIONS UK LTD,21/02/2024,Vehicles - Road,5750.93
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,12/01/2024,Vehicles - Road,14953.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,12/01/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,12/01/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,12/01/2024,Vehicles - Road,14953.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,12/01/2024,Vehicles - Road,14953.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,12/01/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,31/01/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,31/01/2024,Vehicles - Road,22305.63
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,31/01/2024,Vehicles - Road,22305.63
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,31/01/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,14/02/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,14/02/2024,Vehicles - Road,18141.38
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,14/02/2024,Vehicles - Road,14953.00
Annual Vehicle Replacement,MOTUS GROUP (UK) LTD,14/02/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,SFL MOBILE RADIO HOLDINGS LTD,12/01/2024,Vehicles - Road,17873.50
Annual Vehicle Replacement,VANS NORTHWEST LTD,31/01/2024,Vehicles - Road,55.00
Annual Vehicle Replacement,VANS NORTHWEST LTD,31/01/2024,Vehicles - Road,25192.17
Annual Vehicle Replacement,VOLKSWAGEN GROUP (UK) LTD,06/03/2024,Vehicles - Road,25258.93
