Organisation Name,Organisation Code,Organisational Structure Tier 1(T),Cost Centre(T),Cost Centre,Supplier ID(T),Supplier ID,Pay Date,Trans Number,Net Amount,Account(T),Account,Proclass Level 1,Proclass Level 1 - code,Proclass Level 2,Proclass Level 2 - code,Proclass Level 3,Proclass Level 3 - code
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,ERP Review,R401501,Cheshire East Council,12515024,45019,12300163220,1807323,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing Revenue Account,R304462,Forhousing,12508695,45019,12300163990,743932.99,TPP - Private Contractors,R5700,Housing Management,P1017,Stock Management,P2151,Stock Management,P3209
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Qwest Building Maint,R304430,Cowest Services Limted T/A Qwest Services,12505847,45019,12300163951,347087.60000000003,TPP - Private Contractors,R5700,Facilities & Management Services,P1010,Property Management,P2091,Property Management,P3137
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,PPP Unitary Payment Charges,R304451,Cobco 450 Ltd,12503046,45019,12300164130,197925.86,Services - Fees and Charges,R4401,Financial Services,P1011,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,HRA,C300012,Forhousing,12508695,45019,12300164127,184455.48,"Conversion, Renovation & Improvement",C1101,Housing Management,P1017,Stock Management,P2151,Stock Management,P3209
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Childrens,C200003,Cowest Services Limted T/A Qwest Services,12505847,45019,12300162732,127571.6,"Conversion, Renovation & Improvement",C1101,Facilities & Management Services,P1010,Property Management,P2091,Property Management,P3137
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Manager Total Environment,R308600,N W Inshore Fisheries & Conservation Authority,12503396,45019,12300163728,105622,TPP - Other Establishments,R5600,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Flood Risk Management,R300705,United Utilities Water Ltd,12527762,45019,12300163834,90000,Services - Fees and Charges,R4401,Utilities,P1029,Water,P2222,Water,P3385
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing Strategy (Rough Sleepers),R304458,Forhousing,12508695,45019,12300164038,78098.45,Services - Fees and Charges,R4401,Housing Management,P1017,Stock Management,P2151,Stock Management,P3209
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing Strategy (Rough Sleepers),R304458,Forhousing,12508695,45019,12300164040,78093.17,Services - Fees and Charges,R4401,Housing Management,P1017,Stock Management,P2151,Stock Management,P3209
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Inter Authority Wales,R161068,Wrexham County Borough Council,12500785,45019,12300163537,72971.02,TPP -Other LA's,R5200,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Highways,C300003,Cheshire West Recycling,12523080,45019,12300161794,46786.31,"Conversion, Renovation & Improvement",C1101,Environmental Services,P1009,Waste Management,P2079,Waste Management,P3114
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,eCWIP Holding Account,R162082,Cheshire East Council,12515024,45019,12300163343,41157.82,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Highways,C300003,Cheshire West Recycling,12523080,45019,12300161793,40796.03,"Conversion, Renovation & Improvement",C1101,Environmental Services,P1009,Waste Management,P2079,Waste Management,P3114
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Community Safety Partnership,R302711,The Police And Crime Commissioner For Cheshire,12503677,45019,12300164088,32796,Grant Payments,R4700,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing Solutions,R306005,O P H Property Holdings Limited (Quarterz Ltd),12523472,45019,12300163822,28800,Accommodation Costs,R4900,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Indep Non-Maint Spec Sch,R161069,St John Vianney School,12533104,45019,12300163254,26666.64,Services - Fees and Charges,R4401,Education,P1008,Statutory Education Services,P2067,Curriculum,P3090
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Homelessness Reduction Act,R306010,Hospice of Good Shepherd,12527985,45019,12300163965,24500,Services - Professional Fees,R4400,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Intelligence Performance,R307116,Chawrec,12507772,45019,12300163881,23132.5,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing Solutions,R306005,Lloyds Of Chester,12500428,45019,12300163415,22020,Accommodation Costs,R4900,Social Community Care Supplies & Services - Adult,P1024,Homeless Support,P2190,Homeless Support,P3283
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Transport,C300007,Canal & River Trust,12514099,45019,12300163829,19005.7,Internal Professional Fees,C6001,Catering,P1002,Food & Beverages,P2028,Food & Beverages,P3033
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing Solutions,R306005,OPH Property Holdings Ltd,12524934,45019,12300163817,18400,Accommodation Costs,R4900,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing Solutions,R306005,OPH Property Holdings Ltd,12524934,45019,12300163819,17250,Accommodation Costs,R4900,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Highways,C300003,Cheshire West Recycling,12523080,45019,12300161792,15595.02,"Conversion, Renovation & Improvement",C1101,Environmental Services,P1009,Waste Management,P2079,Waste Management,P3114
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Highways,C300003,Cheshire West Recycling,12523080,45019,12300161797,15491.09,"Conversion, Renovation & Improvement",C1101,Environmental Services,P1009,Waste Management,P2079,Waste Management,P3114
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Committee Services,R402030,Civica UK Ltd,12503398,45019,12300160637,13508.77,Services - Fees and Charges,R4401,Information Communication Technology,P1019,Software,P2164,Software,P3241
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Waste Collection Contract,R304453,IPL PLastics (UK) Ltd,12524394,45019,12300163625,13290,Services - Fees and Charges,R4401,Environmental Services,P1009,Waste Management,P2079,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Chester HQ Building,R309124,Premier Estates Ltd,12513376,45019,12300163825,12877.2,Service Charges,R2205,Consultancy,P1006,Property,P2051,Property,P3073
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Home to School Transport Mainstream Primary,R162101,Lakeside Coaches Ltd,12502308,45019,129000405253,12600,Vehicle Operating Lease,R3204,Passenger Transport,P1022,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Operation Best,R302272,Adkirk Law (Part Of Lawyers Incorporated Limited),12518671,45019,12300163848,11090.8,Services - Professional Fees,R4400,Legal Services,P1020,General Support,P2168,General Support,P3251
