Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45170,74007003244920000580834,628.8,Tate Enterprises
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45170,74045443244920005813869,691.2,Www.Dacs.Org.Uk
City of London,National Lead Force,Transport,Public Transport,City of London Police,45170,74106263243008122311477,740.28,Hotel Emperador
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45170,74106263243008122311477,20.36,Foreign Exchange Fee
City of London,Barbican Own Events,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45170,74208473244000002506277,-899.96,Www.Gsproducts.Co.Uk
City of London,Barbican Own Events,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45170,74208473244000002514875,-1499.94,Www.Gsproducts.Co.Uk
City of London,Barbican Own Events,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45170,74208473244000002526093,-999.96,Www.Gsproducts.Co.Uk
City of London,Asylum Seekers Services,Supplies  and  Services,Expenses,DCCS Fam & Young People,45170,RT2529525,350,REDACTED PERSONAL DATA
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2544999,5003.51,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2544999,1001,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2544999,200.2,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2545021,2002,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2545021,500.5,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2545021,500.5,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2545021,500.5,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2545021,400.4,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2545021,400.4,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2545021,400.4,Havas Entertainment Limited 
City of London,Audience's Division,Supplies  and  Services,Advertising/Miscellaneous expenses,Barbican Centre,45170,RT2545021,300.3,Havas Entertainment Limited 
City of London,Isledon House Estate,Premises,Rates,DCCS Housing,45170,RT2545227,206,London Borough of Islington
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545403,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545407,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545409,128,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545413,128,London Borough of Lewisham
City of London,Housing HRA Direct,Premises,Rates,DCCS Housing,45170,RT2545416,824,London Borough of Lambeth
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545419,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545422,300,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545427,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545432,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545439,349,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545442,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2545444,361,London Borough of Lewisham
City of London,William Blake Estate,Premises,Rates,DCCS Housing,45170,RT2545456,157,London Borough of Lambeth
City of London,Southwark Estate,Premises,Rates,DCCS Housing,45170,RT2545524,399,London Borough of Southwark 
City of London,Southwark Estate,Premises,Water Services,DCCS Housing,45170,RT2545528,60,London Borough of Southwark 
City of London,Southwark Estate,Premises,Rates,DCCS Housing,45170,RT2545535,127,London Borough of Southwark 
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2546397,385,London Borough of Lewisham
City of London,Sydenham Hill Estate,Premises,Rates,DCCS Housing,45170,RT2546398,361,London Borough of Lewisham
