query agr_getbrowser 'Monthly Spend Report (SE)',,,,,,,,,
sort,,,,,,,,,
columns,text apar_id,text xapar_id,amount,text account,text xaccount,text pay_date__1,text voucher_no,text xstr20dim_1,text xdim_1
,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
"subtotal,outline ",,,,,,,,,
INSERTED DETAIL,700044,Access To Business,"17,250.00",R5501,TPP - Social Care Support Services,16/05/2023,130389066,Enterprise,Access to Business
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,715.52,R2076,Grounds Maintenance - Non Contract,17/05/2023,130387968,Environmental Services,Arbor Scheme
INSERTED DETAIL,700264,Acorn Environmental Mgt Group Limited,599.94,R2076,Grounds Maintenance - Non Contract,30/05/2023,130390610,Environmental Services,Arbor Scheme
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),59.97,R4308,Stationery,22/05/2023,130389883,Specialist Support,Safeguarding Children
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),65.45,R4308,Stationery,03/05/2023,130387860,Inclusion Support,Education Inclusion and Attendance Service
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),69.99,R4308,Stationery,16/05/2023,130388080,Local Economy,Global Budgets
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),37.36,R4308,Stationery,10/05/2023,130387350,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),11.97,R4308,Stationery,10/05/2023,130387350,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),24.66,R4308,Stationery,04/05/2023,130385956,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),0.90,R4308,Stationery,04/05/2023,130385956,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),8.34,R4308,Stationery,26/05/2023,130390450,Strengthening Families,CP Area 5-Whitemore Reans
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),39.98,R4308,Stationery,26/05/2023,130390450,Strengthening Families,CP Area 5-Whitemore Reans
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),12.99,R4308,Stationery,26/05/2023,130390450,Strengthening Families,CP Area 5-Whitemore Reans
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),159.60,R4308,Stationery,04/05/2023,130388083,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),6.15,R4308,Stationery,09/05/2023,130388541,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),10.50,R4308,Stationery,09/05/2023,130388541,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),4.60,R4308,Stationery,09/05/2023,130388541,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),6.18,R4308,Stationery,09/05/2023,130388541,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),4.08,R4308,Stationery,09/05/2023,130388541,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),14.98,R4308,Stationery,09/05/2023,130388541,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),29.98,R4308,Stationery,09/05/2023,130388541,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),151.05,R4308,Stationery,12/05/2023,130383546,Governance Services,Local Government Elections
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),115.94,R4308,Stationery,03/05/2023,130385954,Waste Services,Waste Collection and Recycling Service  General
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),149.90,R4308,Stationery,31/05/2023,130390319,Strengthening Families,MASH
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),2.54,R4308,Stationery,31/05/2023,130390448,Community Financial Support,Welfare Rights
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),24.95,R4308,Stationery,11/05/2023,130386800,Customer Services,City Direct
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),664.05,R4308,Stationery,12/05/2023,130385950,Governance Services,Local Government Elections
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),68.99,R4308,Stationery,25/05/2023,130390318,Local Economy,Global Budgets
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),59.88,R4308,Stationery,17/05/2023,130389422,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),184.95,R4308,Stationery,30/05/2023,130390172,Public Protection,"Food and Health and Safety			"
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),309.70,R4308,Stationery,03/05/2023,130388082,Governance Services,Local Government Elections
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),72.50,R4308,Stationery,31/05/2023,130390790,Organisational Development,Newly Qualified Social Workers
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),361.90,R4308,Stationery,31/05/2023,130390316,Arts and Culture,Art Gallery Shop
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),3.81,R4308,Stationery,25/05/2023,130384047,Support Services,Business Support Unit
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),199.95,R4308,Stationery,10/05/2023,130388711,Digital and IT,Digital Print Solutions
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),3.46,R4308,Stationery,31/05/2023,130390320,Community Financial Support,Welfare Rights
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),3.90,R4308,Stationery,31/05/2023,130390320,Community Financial Support,Welfare Rights
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),4.08,R4308,Stationery,31/05/2023,130390320,Community Financial Support,Welfare Rights
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),137.94,R4308,Stationery,31/05/2023,130390320,Community Financial Support,Welfare Rights
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),24.95,R4308,Stationery,31/05/2023,130390320,Community Financial Support,Welfare Rights
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),289.90,R4308,Stationery,11/05/2023,130388081,Governance Services,Democratic Support
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),69.96,R4308,Stationery,31/05/2023,130388084,Waste Services,Waste Collection and Recycling Service  General
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),89.99,R4308,Stationery,11/05/2023,130388540,Arts and Culture,Archives
INSERTED DETAIL,700341,ACS Technology Group (Business Supplies),69.98,R4308,Stationery,09/05/2023,130380436,Governance Services,Local Government Elections
INSERTED DETAIL,700693,Adept Security Systems Limited,368.00,R2001,R&M - Departmental planned (external),19/05/2023,191146408,Schools,The King's Church of England School
INSERTED DETAIL,700693,Adept Security Systems Limited,"1,378.82",R2001,R&M - Departmental planned (external),17/05/2023,130389423,School Business and Support Services,Education Sites Asset Management
INSERTED DETAIL,700693,Adept Security Systems Limited,"3,346.06",R2001,R&M - Departmental planned (external),17/05/2023,130389424,School Business and Support Services,Education Sites Asset Management
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"2,868.98",R4101,Provisions (Not for resale),10/05/2023,130387351,Leisure Services,WV Active Catering
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,705.27,R4101,Provisions (Not for resale),22/05/2023,130387353,Arts and Culture,Bantock  Tea Rooms
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,529.37,R4101,Provisions (Not for resale),22/05/2023,130387353,Arts and Culture,Bantock  Tea Rooms
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"63,431.28",R4101,Provisions (Not for resale),10/05/2023,130387356,Catering,Education Catering  General Overheads
INSERTED DETAIL,700979,Af Blakemore/Blakemore Foodservice,"1,655.16",R4101,Provisions (Not for resale),10/05/2023,130387253,Catering,Meals on Wheels
