Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Subjective Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,21201,R&M - Buildings - Reactive,Wright Construction,44761.041666666664,605,726,605
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44763.041666666664,2013.76,2416.52,2013.76
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44763.041666666664,2126.26,2551.52,2126.26
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44763.041666666664,2126.26,2551.52,2126.26
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,44763.041666666664,2013.76,2416.52,2013.76
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,43532,Professional Fees - Other,KK Controls & Equipment Ltd,44747.041666666664,555,666,555
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600001,Corporate Properties,45217,Annual Licence Software Fees,Trackplan,44761.041666666664,2460,2460,2460
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,,44761.041666666664,-75,775,775
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,,44761.041666666664,75,775,775
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,,44761.041666666664,775,775,775
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,,44768.041666666664,750,750,750
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,,44754.041666666664,796.25,796.25,796.25
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,Greenlaws Guesthouse,44754.041666666664,910,910,910
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,41304,Cleaning & Domestic Materials,The Consortium,44747.041666666664,1292,1550.4,1292
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600002,Public Conveniences,49369,Pest Control,Scillonian Trading Ltd,44747.041666666664,30,588,490
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600003,Commercial Property,22002,Electricity,Edf Energy Plc,44750.041666666664,958.29,1149.95,958.29
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600003,Commercial Property,43505,Professional Services,Vickery Holman Ltd,44761.041666666664,1500,1800,1500
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600005,AONB,47013,Grants & Conts to Other Bodies - Discretionary,Ios Wildlife Trust Ltd,44770.041666666664,142575,142575,142575
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets,600006,Adaptive Scillies,49002,Miscellaneous Expenditure,RSK Environmental Ltd,44747.041666666664,6500,7800,6500
