Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Subjective Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,21101,R&M - Buildings - Planned,Davey & Gilbert Ltd,45202.041666666664,6595.63,7914.76,6595.63
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,21101,R&M - Buildings - Planned,Davey & Gilbert Ltd,45230,623.11,747.73,623.11
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,21101,R&M - Buildings - Planned,P & P Lifts Ltd,45216.041666666664,760,912,760
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45225.041666666664,3000,3600,3000
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,22002,Electricity,Community Venture (Smart Islands Project),45211.041666666664,1868.23,2241.87,1868.23
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,22002,Electricity,Edf Energy Plc,45219.041666666664,-384.43,807.29,672.74
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,22002,Electricity,Edf Energy Plc,45219.041666666664,384.43,807.29,672.74
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,22002,Electricity,Edf Energy Plc,45219.041666666664,672.74,807.29,672.74
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,25003,Fire Equipment,Advanced Fire and Security South West Ltd,45209.041666666664,1306,1567.2,1306
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,25003,Fire Equipment,Advanced Fire and Security South West Ltd,45211.041666666664,476.5,571.8,476.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,25003,Fire Equipment,Advanced Fire and Security South West Ltd,45218.041666666664,1808,2169.6,1808
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45204.041666666664,1794,2152.8,1794
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45204.041666666664,1897.5,2277,1897.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45216.041666666664,1897.5,2277,1897.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45216.041666666664,1897.5,2277,1897.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45216.041666666664,1897.5,2277,1897.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,,45216.041666666664,796.25,796.25,796.25
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,21101,R&M - Buildings - Planned,SWAN Maintenance,45204.041666666664,648,648,648
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45230,1523.75,1828.5,1523.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,27001,Contract Cleaning,,45216.041666666664,750,750,750
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600003,Commercial Property,21101,R&M - Buildings - Planned,SWAN Maintenance,45204.041666666664,557,557,557
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600003,Commercial Property,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45230,702.5,843,702.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600003,Commercial Property,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45230,1178.75,1414.5,1178.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600003,Commercial Property,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45230,770,924,770
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600003,Commercial Property,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45230,920,1104,920
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600003,Commercial Property,22002,Electricity,Edf Energy Plc,45205.041666666664,1789.98,2147.97,1789.98
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600005,AONB,31601,Rail,,45230,11.29,822.48,822.48
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600005,AONB,31601,Rail,,45230,16,822.48,822.48
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600005,AONB,31601,Rail,,45230,100.99,822.48,822.48
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600005,AONB,31601,Rail,,45230,156.5,822.48,822.48
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600005,AONB,31601,Rail,,45230,169.7,822.48,822.48
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600005,AONB,31601,Rail,,45230,368,822.48,822.48
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,49002,Miscellaneous Expenditure,,45204.041666666664,11467,13760.4,11467
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Scillonian Trading Ltd,45223.041666666664,3495,4194,3495
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Scillonian Trading Ltd,45223.041666666664,5372.71,6447.25,5372.71
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Scillonian Trading Ltd,45223.041666666664,-1392,2318.4,1932
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Scillonian Trading Ltd,45223.041666666664,1392,2318.4,1932
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Scillonian Trading Ltd,45223.041666666664,1932,2318.4,1932
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Marine Management Organisation,45209.041666666664,945.5,945.5,945.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Highway and Environmental Assets,600012,Highways,31501,Vehicle & Plant Contract Hire,Tolman & Longstone Farms,45216.041666666664,850,850,850
51 Council of the Isles of Scilly,"Place, Economy and Environment",Planning and Development.,600023,Planning Enforcement,43505,Professional Services,Bloom Procurement Services Ltd,45211.041666666664,4725,5670,4725
51 Council of the Isles of Scilly,People and Communities,Fire and Rescue.,600030,Fire & Rescue,21124,R&M - Planned Fire equip servicing,Max Fire Services Ltd,45218.041666666664,1035,1242,1035
51 Council of the Isles of Scilly,People and Communities,Fire and Rescue.,600030,Fire & Rescue,25003,Fire Equipment,Le Maitre Ltd,45223.041666666664,617.6,741.12,617.6
51 Council of the Isles of Scilly,People and Communities,Fire and Rescue.,600030,Fire & Rescue,42503,Uniforms / Clothing,Bristol Uniforms Ltd,45204.041666666664,1178.22,1413.86,1178.22
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,Weightron Bilanciai Ltd,45216.041666666664,6245,7494,6245
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46118,Freight Costs,Wheal Alfred Metals Recycling Ltd,45230,800,960,800
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45216.041666666664,3829.87,4595.83,3829.87
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Isles Of Scilly Steamship Co,45216.041666666664,2529.78,3035.74,2529.78
