Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,21210,R&M - Electrical - Reactive,Natural Generation Ltd,45302,543.25,651.9,543.25
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45293,23,1642.2,1368.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45293,34.5,1642.2,1368.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45293,51.75,1642.2,1368.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45293,57.5,1642.2,1368.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45293,69,1642.2,1368.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45293,103.5,1642.2,1368.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45293,138,1642.2,1368.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45293,172.5,1642.2,1368.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45293,212.75,1642.2,1368.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45293,414,1642.2,1368.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45295,11.5,1311,1092.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45295,23,1311,1092.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45295,34.5,1311,1092.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45295,69,1311,1092.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45295,103.5,1311,1092.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45295,115,1311,1092.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45295,138,1311,1092.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45295,161,1311,1092.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45295,345,1311,1092.5
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,5.75,745.2,621
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,11.5,745.2,621
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,46,745.2,621
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,69,745.2,621
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,86.25,745.2,621
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,92,745.2,621
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,241.5,745.2,621
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,23,1276.5,1063.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,34.5,1276.5,1063.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,46,1276.5,1063.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,69,1276.5,1063.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,103.5,1276.5,1063.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,138,1276.5,1063.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,143.75,1276.5,1063.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45302,379.5,1276.5,1063.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45309,23,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45309,34.5,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45309,57.5,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45309,69,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45309,103.5,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45309,138,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45309,161,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45309,189.75,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45309,379.5,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45321,23,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45321,34.5,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45321,57.5,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45321,69,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45321,103.5,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45321,138,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45321,161,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45321,189.75,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45321,379.5,1497.3,1247.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27009,Confidential Waste,Island Carriers,45302,-490,5159.54,4299.63
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27009,Confidential Waste,Island Carriers,45302,490,5159.54,4299.63
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27009,Confidential Waste,Richard Hand Haulage,45300,475,570,475
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,31501,Vehicle & Plant Contract Hire,Community Venture (Smart Islands Project),45302,450,540,450
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,43532,Professional Fees - Other,Sumo Services Ltd,45293,7500,9000,7500
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,45210,IT Communications,Appletree Technology,45300,546.65,655.98,546.65
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,46103,Hotel Expenses,Mincarlo Guest House,45316,-520,520,433.33
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,46103,Hotel Expenses,Mincarlo Guest House,45316,-86.67,520,433.33
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,46103,Hotel Expenses,Mincarlo Guest House,45316,-65,520,433.33
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,46103,Hotel Expenses,Mincarlo Guest House,45316,65,520,433.33
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,46103,Hotel Expenses,Mincarlo Guest House,45316,86.67,520,433.33
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,46103,Hotel Expenses,Mincarlo Guest House,45316,433.33,520,433.33
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,46103,Hotel Expenses,Mincarlo Guest House,45316,520,520,433.33
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,49328,Fire Appliance Testing & Maintenance,Advanced Fire and Security South West Ltd,45307,518.47,622.16,518.47
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,27001,Contract Cleaning,,45307,813.75,813.75,813.75
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600003,Commercial Property,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45321,5045,6054,5045
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600005,AONB,47013,Grants & Conts to Other Bodies - Discretionary,,45295,1618.17,1618.17,1618.17
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Scillonian Trading Ltd,45314,600,14909.96,12424.97
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Scillonian Trading Ltd,45314,633.47,14909.96,12424.97
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Scillonian Trading Ltd,45314,781.5,14909.96,12424.97
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Scillonian Trading Ltd,45314,1200,14909.96,12424.97
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Scillonian Trading Ltd,45314,9210,14909.96,12424.97
51 Council of the Isles of Scilly,"Place, Economy and Environment",Highway and Environmental Assets,600011,Cemeteries,43505,Professional Services,J R Stideford & Son,45307,4775,5730,4775
51 Council of the Isles of Scilly,"Place, Economy and Environment",Planning and Development.,600023,Planning Enforcement,43505,Professional Services,Bloom Procurement Services Ltd,45307,2668.05,3201.66,2668.05
51 Council of the Isles of Scilly,People and Communities,Fire and Rescue.,600030,Fire & Rescue,43532,Professional Fees - Other,Medigold Health Consultancy Ltd,45321,5980,7176,5980
51 Council of the Isles of Scilly,People and Communities,Fire and Rescue.,600033,2015 Fire Pension Scheme,11423,Pension Lump Sum Payments - Firefighters,One Off Payments,45317,3104.12,3104.12,3104.12
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,22002,Electricity,Edf Energy Plc,45295,432,518.4,432
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,22002,Electricity,Edf Energy Plc,45316,432,518.4,432
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,Griffitti Ltd,45300,106.56,1771.62,1476.35
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,Griffitti Ltd,45300,499.71,1771.62,1476.35
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,Griffitti Ltd,45300,870.08,1771.62,1476.35
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45302,4299.63,5159.54,4299.63
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Isles Of Scilly Steamship Co,45307,7654.99,9185.98,7654.99
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Isles Of Scilly Steamship Co,45307,4963.42,5956.12,4963.42
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Sibleys Fuel & Marine Services,45302,-6219.83,6898.81,6219.83
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Sibleys Fuel & Marine Services,45302,2453.2,6898.81,6219.83
