Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Adult and Health Services,Central/Other,Supplies and Services,336005,Advertising E336,03/07/2023,4151958-96394,œ591.00,ALLWAG PROMOTIONS LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,336005,Advertising E336,03/07/2023,4152362-42916924,œ824.99,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,336005,Advertising E336,03/07/2023,4152547-034480,œ689.00,WE ARE SUNDAY LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152164-413962735,"œ1,150.00",GAP GROUP LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152164-413962736,"œ1,150.00",GAP GROUP LTD.
Neighbourhoods and Climate Change,Community Protection,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152164-7135724,œ640.00,GAP GROUP LTD.
Neighbourhoods and Climate Change,Community Protection,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152164-7135725,œ640.00,GAP GROUP LTD.
Neighbourhoods and Climate Change,Community Protection,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152164-7135726,œ640.00,GAP GROUP LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152549-230057320,œ680.80,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152549-230057322,œ680.80,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152549-230057326,œ594.73,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Environmental Services,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152549-230057366,œ680.80,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Environmental Services,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152549-230057367,œ680.80,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,03/07/2023,4152549-230062650,œ821.80,WERNICK HIRE LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,03/07/2023,4152182-06/227076,œ740.10,GREENHAM TRADING LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,328041,Clothing uniforms and laundry E328,03/07/2023,4151935-39693,"œ14,218.20",1ST COVERALL COMPANY LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,328041,Clothing uniforms and laundry E328,03/07/2023,4151935-39694,œ710.91,1ST COVERALL COMPANY LTD.
Resources BK0010,Digital Services,Supplies and Services,342053,Computers and Communications,03/07/2023,4152180-163289,"œ237,415.00",GRANICUS-FIRMSTEP LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,342033,Computers and Communications,03/07/2023,4152220-2100626124,"œ1,685.28",INSIGHT DIRECT (UK) LTD.
Resources BK0010,Digital Services,Supplies and Services,342225,Computers and Communications,03/07/2023,4152464-INVUK896523,"œ80,800.00",SOFTCAT PLC.
Resources BK0010,Digital Services,Supplies and Services,342051,Computers and Communications,03/07/2023,4152467-OP/N390698,"œ9,727.19",SPECIALIST COMPUTER CENTRES PLC.
