Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Non-Service Specific,Non Service Specific-Financing,Long Term Debtors,924001,Car loans,02/05/2023,4128541-120613,£583.00,ARRIVA NORTHUMBRIA LTD.
Regeneration Economy and Growth,Corporate Property and Land,Premises,106082,Centrally Controlled Rep and Maint,02/05/2023,4128523-21041,£556.04,ACEDA LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,106082,Centrally Controlled Rep and Maint,02/05/2023,4128681-7081020676,£820.81,HONEYWELL NOVAR SYSTEMS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Premises,106080,Centrally Controlled Rep and Maint,02/05/2023,4128700-28234,"£3,010.50",JC MAINTENANCE SERVICES LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Premises,106083,Centrally Controlled Rep and Maint,02/05/2023,4128700-28289,"£19,129.15",JC MAINTENANCE SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,02/05/2023,4128668-06/219618,£733.95,GREENHAM TRADING LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,342033,Computers and Communications,02/05/2023,4128690-2100577684,"£2,527.92",INSIGHT DIRECT (UK) LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,342051,Computers and Communications,02/05/2023,4128814-INVUK812977,"£3,673.26",SOFTCAT PLC.
Dedicated Schools Grant BG0015,DSG High Needs Block,Supplies and Services,352001,Conference Expenses,02/05/2023,4128658-3133,"£2,475.00",FUTURE STEPS CONSULTANCY SERVICE LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128533-E055MAR23,"£3,194.61",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,02/05/2023,4128665-TT-HK2303,"£2,031.01",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,02/05/2023,4128687-F877/03,"£1,665.26",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128738-N038-MAR23,"£4,320.09",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,02/05/2023,4128739-51/2023,"£3,328.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230035,Contract Hire,02/05/2023,4128742-113,"£1,304.79",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,02/05/2023,4128766-F741-MAR23,"£4,064.05",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,02/05/2023,4128822-5290/03,"£1,721.55",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,02/05/2023,4128823-6973,"£8,560.71",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230034,Contract Hire,02/05/2023,4128513-32310,"£3,418.50",24/7 TAXI SERVICES (PETERLEE) LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128563-N079/03,"£4,680.00",BON VOYAGE TAXIS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128578-CW39,"£1,960.58",CHIPPERS TAXIS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128592-1-REPROVIDED,"£4,140.00",CONSETT CONTRACTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128592-10-REPROVIDED,"£3,329.72",CONSETT CONTRACTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128592-11-MAR23-REPROVIDED,"£3,568.00",CONSETT CONTRACTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128592-12-REPROVIDED,"£3,791.55",CONSETT CONTRACTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128592-13-REPROVIDED,"£3,220.00",CONSETT CONTRACTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,02/05/2023,4128592-16/2023,"£2,700.00",CONSETT CONTRACTS LTD.
Dedicated Schools Grant BG0015,DSG High Needs Block,Transport,230009,Contract Hire,02/05/2023,4128592-17-MAR23-REPROVIDED,"£6,600.00",CONSETT CONTRACTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128592-6-REPROVIDED,"£3,836.80",CONSETT CONTRACTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128592-7-REPROVIDED,"£2,452.95",CONSETT CONTRACTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128592-8-MAR23-REPROVIDED,"£4,620.09",CONSETT CONTRACTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128592-9-REPROVIDED,"£3,675.93",CONSETT CONTRACTS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,02/05/2023,4128604-115540,"£5,032.98",CROFT BUSINESS SERVICES LTD T/A CROFT TRAVEL.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,02/05/2023,4128604-115547,"£5,191.92",CROFT BUSINESS SERVICES LTD T/A CROFT TRAVEL.
Children and Young Peoples Services,Head of Education and Skills,Transport,230034,Contract Hire,02/05/2023,4128630-INV0218,"£3,381.67",EC UK TRANSPORT LTD T/A EMPIRE CARS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230010,Contract Hire,02/05/2023,4128649-PB004-003,"£2,238.65",FERRYHILL VILLAGE TRAVEL & BROOM ROAD GARAGE LIMITED.
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,02/05/2023,4128659-103365,"£2,148.52",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128659-103387,"£3,295.44",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.
Children and Young Peoples Services,Head of Education and Skills,Transport,230003,Contract Hire,02/05/2023,4128661-24474/3005,"£7,747.32",GARNETTS LTD (COACHES).
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,02/05/2023,4128671-007/2023,"£1,039.53",GUY`S TAXIS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230016,Contract Hire,02/05/2023,4128676-HT705,"£1,763.28",HARRY`S TAXI`S.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128686-1140,£892.23,I & R EXECUTIVE TRAVEL.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,02/05/2023,4128713-3203,"£2,124.95",KINGSWAY CABS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230009,Contract Hire,02/05/2023,4128713-3234,"£3,360.28",KINGSWAY CABS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128728-5395,"£3,020.00",LOCAL TRANSPORT LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230012,Contract Hire,02/05/2023,4128728-5396,"£1,836.09",LOCAL TRANSPORT LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128728-5397,"£2,207.77",LOCAL TRANSPORT LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128728-5398,"£2,014.34",LOCAL TRANSPORT LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,02/05/2023,4128768-1170-3039,"£3,937.33",PBS TRAVEL LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,02/05/2023,4128771-811,"£2,943.54",PETERLEE EXECUTIVE CARS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230034,Contract Hire,02/05/2023,4128773-54246,£600.00,PHOENIX TAXIS T/A PRATT`S TAXIS.
Children and Young Peoples Services,Head of Education and Skills,Transport,230016,Contract Hire,02/05/2023,4128785-SI-22143,£933.25,RAPID MINIBUSES.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,02/05/2023,4128864-7726,"£4,187.75",WEARDALE PRIVATE HIRE.
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,02/05/2023,4128512-INV-0071,"£1,000.00",23 LTD T/A SMOKE FREE.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/05/2023,4128510-VOUCHER22NB-CHES035,"£3,000.00",1507 (CHESTER LE STREET) SQUADRON.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/05/2023,4128551-VOUCHER22AB-TEES013,"£15,000.00",BARNARD CASTLE FOOTBALL CLUB (BOWES).
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/05/2023,4128597-VOUCHER21TVF-4TOG003,"£10,000.00",CORNFORTH PARISH COUNCIL.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/05/2023,4128648-VOUCHER22NB-4TOG013,"£4,984.00",FERRYHILL LADDER CENTRE LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/05/2023,4128653-VOUCHER21TVF-EDRC005,"£11,760.00",FISHBURN PARISH COUNCIL.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/05/2023,4128730-VOUCHER22NB-DCTY050,"£8,940.00",LOWES BARN COMMUNITY PROJECT CIO.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/05/2023,4128764-VOUCHER23NB-EDUR005,"£3,037.20",PARKSIDE & DISTRICT COMMUNITY ASSOCIATION.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/05/2023,4128840-VOUCHER22MTVF-TEES003,"£10,000.00",THE WITHAM HALL LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/05/2023,4128856-VOUCHER22AB-MDUR002,"£10,186.00",USHAW COLLEGE.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,120037,Energy Costs,02/05/2023,4128570-36076475,"£1,081.60",CALOR GAS LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,02/05/2023,4128553-18287,"£39,175.00",BEAMER LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/05/2023,4128539-SIN007131,£647.70,ARBOR TIMBER & BUILDERS MERCHANTS LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/05/2023,4128560-207R02603,£640.09,BIFFA WASTE SERVICES LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/05/2023,4128631-059-317290,"£2,632.00",EDMUNDSON ELECTRICAL LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/05/2023,4128631-059-317298,£687.45,EDMUNDSON ELECTRICAL LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/05/2023,4128631-059-317317,"£2,600.00",EDMUNDSON ELECTRICAL LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/05/2023,4128631-059-317328,£511.42,EDMUNDSON ELECTRICAL LTD.
Dedicated Schools Grant BG0015,DSG High Needs Block,Supplies and Services,304259,Equipment and Materials,02/05/2023,4128644-343275,"£2,838.00",ETAC LTD.
Resources BK0010,Digital Services,Supplies and Services,304303,Equipment and Materials,02/05/2023,4128672-INV0193037,"£7,086.33",GVAV LTD.
Resources BK0010,Digital Services,Supplies and Services,304303,Equipment and Materials,02/05/2023,4128672-INV0193038,"£3,258.85",GVAV LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/05/2023,4128763-BR696707,"£3,594.48",PARK ELECTRICAL DISTRIBUTORS LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,02/05/2023,4128790-00014891,"£1,850.00",ROBERT ACTON PRODUCT DEVELOPMENTS.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/05/2023,4128826-9046747118,"£1,350.59",TARMAC TRADING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/05/2023,4128853-245254,"£2,289.67",TYNEDALE ROADSTONE LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,02/05/2023,4128546-0000083473,£517.00,BADGEMASTER LTD.
Regeneration Economy and Growth,Business Durham CL0850,Supplies and Services,384199,Miscellaneous Expenses,02/05/2023,4128666-1067296,"£1,216.00",GLOBAL EXPERIENCE SPECIALISTS (GES) LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,02/05/2023,4128720-VOUCHERSHIA02-23,£950.00,"LEADGATE CAF (ARTS, CRAFTS & FRIENDSHIP GROUP)."
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,02/05/2023,4128818-VOUCHER23NB-WEAR001,"£4,000.00",STANHOPE SILVER BAND.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,02/05/2023,4128805-VOUCHER22NB-DCTY049,"£1,000.00",SHADFORTH COMMUNITY ASSOCIATION.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,02/05/2023,4128719-AONB-02-06/04/2023,"£1,000.00",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,02/05/2023,4128534-VOUCHERKCBELC01-23,£600.00,ANNFIELD PLAIN ASSOCIATED FOOTBALL CLUB (AFC).
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,384199,Miscellaneous Expenses,02/05/2023,4128544-23014777,"£1,250.00",ATKINS GLOBAL.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,02/05/2023,4128628-VOUCHER22NB-EDUR060,"£8,893.00",EASINGTON COLLIERY REGENERATION PARTNERSHIP.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384956,Miscellaneous Expenses,02/05/2023,4128641-Y00011485T,"£5,504.30",ENVIRONMENT AGENCY.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384956,Miscellaneous Expenses,02/05/2023,4128641-Y00011497T,"£5,504.30",ENVIRONMENT AGENCY.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384194,Miscellaneous Expenses,02/05/2023,4128795-7401,"£1,507.40",SAFE STRIP UK LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384194,Miscellaneous Expenses,02/05/2023,4128795-7402,£644.20,SAFE STRIP UK LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384194,Miscellaneous Expenses,02/05/2023,4128795-7403,£879.60,SAFE STRIP UK LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384194,Miscellaneous Expenses,02/05/2023,4128795-7407,£839.60,SAFE STRIP UK LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,312009,Newspapers books and periodicals E312,02/05/2023,4128543-6859770,£913.52,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,02/05/2023,4128543-6867494,£799.97,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,02/05/2023,4128543-6869719,£765.35,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,02/05/2023,4128625-15042023,£914.57,DURHAM CITY NEWSTORE.
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,440999,Other third party payments E440,02/05/2023,4128655-0000001320,"£14,000.00",FOUNDATION OF LIGHT.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,340001,Postages E340,02/05/2023,4128792-1802633330,£870.00,ROYAL MAIL GROUP PLC.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,324117,Provisions E324,02/05/2023,4128559-20801384,£759.11,BIDFOOD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,324117,Provisions E324,02/05/2023,4128559-20898477,£616.86,BIDFOOD.
Adult and Health Services,Head of Adults,Third Party Payments,479102,Purchase of Care,02/05/2023,4128778-INV-0138,"£7,679.56",POSITIVE CARE & SUPPORT LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Third Party Payments,410037,Rendered by Other Local Authorities,02/05/2023,4128607-6062,£560.00,DAISY CHAIN PROJECT TEESSIDE.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Third Party Payments,410037,Rendered by Other Local Authorities,02/05/2023,4128607-6095,£640.00,DAISY CHAIN PROJECT TEESSIDE.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Third Party Payments,410037,Rendered by Other Local Authorities,02/05/2023,4128607-6150,£960.00,DAISY CHAIN PROJECT TEESSIDE.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Third Party Payments,410037,Rendered by Other Local Authorities,02/05/2023,4128607-6198,£720.00,DAISY CHAIN PROJECT TEESSIDE.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Third Party Payments,410037,Rendered by Other Local Authorities,02/05/2023,4128753-INV-6949,"£1,129.80",NUDGE EDUCATION LTD.
