Proclass,Proclass(T),Supplier,Supplier(T) ,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
261200,Professional & Advisory Services,425198,1-2 Achieve Ltd,People,11901,SEN: Education other than at school,R4400,Services - Professional Fees,3681925,202301,27/03/2023,2250,
361600,Home to School,426118,24x7 Ltd - Warwickshire,People,10809,Transport Special Schools,R3204,Travel Costs - Non Employees,3681101,202301,31/03/2023,1980,
202000,Rents,422653,3 Win Investor Limited T/A 3 Win Property,People,10225,Housing - B&B Accommodation,R2200,Rent,3681221,202301,27/03/2023,19330,
201700,Grants,424126,3MS Gold Services Ltd,People,10104,E & TS Disabled Facility Grant team,C5000,Grants,3680306,202301,28/03/2023,5505,
271900,Airwave - Telecommunications,419448,8x8 UK Limited,People,11267,ICT Network Services,R4504,Comms - Telephone,3683567,202301,01/04/2023,39916.77,
271700,Fixed Telecommunications,419448,8x8 UK Limited,People,11267,ICT Network Services,R4504,Comms - Telephone,3680788,202301,30/03/2023,-3899.65,
261200,Professional & Advisory Services,426632,A Greener Festival Ltd T/A A Greener Future,Place,11600,Godiva Event,R4400,Services - Professional Fees,3682678,202301,04/04/2023,2900,
261200,Professional & Advisory Services,422933,A J Miller T/A Social Work Solutions (Midlands) Ltd,People,10103,Section17 Payments East,R4400,Services - Professional Fees,3680898,202301,22/03/2023,4000,
261600,Travel & Subsistence,400036,A Line Coaches Coventry Ltd,People,12106,Asylum Dispersal Scheme,R3204,Travel Costs - Non Employees,3681593,202301,29/03/2023,800,
291000,Events,426557,A M Coombes T/A Creative Workshops for Children,Place,11456,General Events,R4000,Equipment & Tools - Purchase,3683714,202301,10/04/2023,1050,
202000,Rents,425294,A S Grewal T/A Asgro Ltd,People,10225,Housing - B&B Accommodation,R2200,Rent,3681122,202301,31/03/2023,4650,
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20056874,202301,03/04/2023,1452.25,
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20056874,202301,03/04/2023,1452.25,
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20056874,202301,03/04/2023,1332,
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20056874,202301,03/04/2023,1452.25,
261100,Interpretation & Translation,414896,AA Global Language Services Ltd,People,10322,Interpreter Service,R4400,Services - Professional Fees,3685017,202301,05/04/2023,631.5,
131310,Cleaning Service,425673,aAFD Services Ltd,Place,10335,Public Conveniences,R2700,Cleaning and Supplies,3681595,202301,31/03/2023,4542.2,
171010,Adult & Further Education Services,423032,Aatom Recruitment Ltd,People,10025,Employer Hub,R5007,Private contractors,3685327,202301,27/04/2023,500,
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20054744,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20054744,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20054744,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20054701,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20054701,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20054701,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054777,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054827,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054827,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054723,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054981,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054805,202301,04/04/2023,543.25,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054759,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054759,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054967,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054967,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054967,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054981,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054723,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054723,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054943,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054827,202301,04/04/2023,769.46,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054827,202301,04/04/2023,549.61,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054943,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054716,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054827,202301,04/04/2023,769.46,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054716,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054894,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054777,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054894,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054894,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054998,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054827,202301,04/04/2023,769.46,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054819,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054827,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054819,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054993,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054832,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054805,202301,04/04/2023,543.25,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054805,202301,04/04/2023,543.25,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054819,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054777,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054981,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054759,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054943,202301,04/04/2023,507.21,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054832,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054832,202301,04/04/2023,543.26,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20054962,202301,04/04/2023,543.26,
