Proclass,Proclass(T),Supplier,Supplier(T) 2,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
321117,Childrens Residential Care,425198,1-2 Achieve Ltd,People,11901,SEN: Education other than at school,R5008,Other agencies,3746610,202310,15/12/2023,4050,
321117,Childrens Residential Care,425198,1-2 Achieve Ltd,People,11901,SEN: Education other than at school,R5008,Other agencies,3746609,202310,24/11/2023,2250,
321117,Childrens Residential Care,425198,1-2 Achieve Ltd,People,11901,SEN: Education other than at school,R5008,Other agencies,3746608,202310,15/11/2023,2250,
321117,Childrens Residential Care,425198,1-2 Achieve Ltd,People,11901,SEN: Education other than at school,R5008,Other agencies,3746607,202310,30/10/2023,3375,
321117,Childrens Residential Care,425198,1-2 Achieve Ltd,People,11901,SEN: Education other than at school,R5008,Other agencies,3746606,202310,06/10/2023,4275,
321117,Childrens Residential Care,425198,1-2 Achieve Ltd,People,11901,SEN: Education other than at school,R5008,Other agencies,3744260,202310,04/07/2023,7650,
321117,Childrens Residential Care,425198,1-2 Achieve Ltd,People,11901,SEN: Education other than at school,R5008,Other agencies,3746605,202310,26/05/2023,3375,
201700,Grants,427284,2 Hills Consultancy Ltd,Place,11503,Community Safety External Funding,R4701,External Funding (Grants) to external bodies,3741064,202310,10/11/2023,1842.5,
321050,"Temporary Accommodation, Short Stay",422653,3 Win Investor Limited T/A 3 Win Property,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3741468,202310,03/01/2024,45414,
271900,Airwave - Telecommunications,419448,8x8 UK Limited,People,11267,ICT Network Services,R4504,Comms - Telephone,3742843,202310,01/01/2024,39539.14,
240000,Horticultural,418355,A E Woodfield,Place,11515,Cemeteries,R2075,Grounds Maintenance,3743952,202310,05/01/2024,4211.2,
261200,Professional & Advisory Services,426632,A Greener Festival Ltd T/A A Greener Future,Place,11600,Godiva Event,R4400,Services - Professional Fees,3740824,202310,15/12/2023,2900,
321017,Residential Care,427615,A L A Care Ltd - Parkhouse Grange,People,11947,OP Residential Care Placements,R5008,Other agencies,20127620,202310,07/01/2024,850,
