Proclass,Proclass(T),Supplier,Supplier(T) ,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount
361510,Taxi Services - Non Staff,426118,24x7 Ltd - Warwickshire,People,10809,Transport Special Schools,R3204,Travel Costs - Non Employees,3701774,202304,31/05/2023,"1,683.00"
361510,Taxi Services - Non Staff,426118,24x7 Ltd - Warwickshire,People,10809,Transport Special Schools,R3204,Travel Costs - Non Employees,3701775,202304,30/06/2023,"1,980.00"
321050,"Temporary Accommodation, Short Stay",422653,3 Win Investor Limited T/A 3 Win Property,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3700917,202304,04/07/2023,"43,671.00"
201700,Grants,424126,3MS Gold Services Ltd,People,10104,E & TS Disabled Facility Grant team,C5000,Grants,3704927,202304,21/06/2023,"5,260.00"
291000,Events,427035,7video Ltd,Place,11600,Godiva Event,R4400,Services - Professional Fees,3703711,202304,10/07/2023,"2,500.00"
271900,Airwave - Telecommunications,419448,8x8 UK Limited,People,11267,ICT Network Services,R4504,Comms - Telephone,3700442,202304,27/06/2023,"-3,362.65"
271900,Airwave - Telecommunications,419448,8x8 UK Limited,People,11267,ICT Network Services,R4504,Comms - Telephone,3705516,202304,01/07/2023,"39,749.25"
191010,Promotional & Recruitment,421169,A & N Media Finance Services Ltd,People,10378,Children´s Services Management Team,R1700,Staff Advertising,3706545,202304,08/03/2023,"6,000.00"
191010,Promotional & Recruitment,421169,A & N Media Finance Services Ltd,People,10378,Children´s Services Management Team,R1700,Staff Advertising,3706683,202304,13/03/2023,"6,000.00"
131011,Janitorial,400026,A C D Plant,Place,11474,Building Cleaning,R4007,Materials,3703648,202304,14/06/2023,795.00
291000,Events,426685,A Event Hire Limited,Place,11456,General Events,R4001,Equipment & Tools - Hire,3704687,202304,20/06/2023,590.00
321117,Childrens Residential Care,426573,A J Penny T/A MW Impact,People,11709,SEN Personal Budgets,R5008,Other agencies,3704740,202304,07/07/2023,"2,920.00"
321050,"Temporary Accommodation, Short Stay",425294,A S Grewal T/A Asgro Ltd,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3702849,202304,01/07/2023,"4,008.00"
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20079863,202304,30/06/2023,"1,611.61"
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20078440,202304,30/06/2023,"1,611.61"
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20079863,202304,30/06/2023,"1,611.61"
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20078440,202304,30/06/2023,"1,611.61"
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20078440,202304,30/06/2023,"1,611.61"
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20078439,202304,12/06/2023,"1,709.12"
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20079863,202304,30/06/2023,"1,611.61"
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20079863,202304,30/06/2023,"1,611.61"
202000,Rents,426917,A1Place4U Ltd,People,11381,Homes for Ukraine,R6290,Client Support,3700789,202304,30/06/2023,500.00
202000,Rents,426917,A1Place4U Ltd,People,11381,Homes for Ukraine,R6290,Client Support,3700797,202304,30/06/2023,500.00
202000,Rents,426917,A1Place4U Ltd,People,11381,Homes for Ukraine,R2200,Rent,3706576,202304,10/07/2023,"2,010.00"
261100,Interpretation & Translation,414896,AA Global Language Services Ltd,People,10322,Interpreter Service,R4400,Services - Professional Fees,3705395,202304,30/06/2023,"2,770.50"
271400,Office & Reprographics Equipment,415532,AAC Systems Ltd,People,11282,Post and Fastprint,R4003,Equipment & Tools - R & M,3700548,202304,15/06/2023,"12,500.00"
131310,Cleaning Service,425673,aAFD Services Ltd,Place,10335,Public Conveniences,R2700,Cleaning and Supplies,3702050,202304,30/06/2023,"4,542.20"
171010,Adult & Further Education Services,423032,Aatom Recruitment Ltd,Place,10025,Employer Hub,R5007,Private contractors,3700593,202304,30/06/2023,500.00
171010,Adult & Further Education Services,423032,Aatom Recruitment Ltd,Place,10025,Employer Hub,R5007,Private contractors,3700592,202304,30/06/2023,500.00
171010,Adult & Further Education Services,423032,Aatom Recruitment Ltd,Place,10025,Employer Hub,R5007,Private contractors,3705921,202304,17/07/2023,500.00
