Proclass,Proclass(T),Supplier,Supplier(T) ,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
321117,Childrens Residential Care,425198,1-2 Achieve Ltd,People,11901,SEN: Education other than at school,R5008,Other agencies,3762042,202312,08/03/2024,"2,025.00",
321117,Childrens Residential Care,425198,1-2 Achieve Ltd,People,11901,SEN: Education other than at school,R5008,Other agencies,3759722,202312,16/02/2024,"2,250.00",
201700,Grants,427284,2 Hills Consultancy Ltd,Place,11503,Community Safety External Funding,R4701,External Funding (Grants) to external bodies,3762689,202312,14/03/2024,852.50,
201700,Grants,427284,2 Hills Consultancy Ltd,Place,11503,Community Safety External Funding,R4701,External Funding (Grants) to external bodies,3762686,202312,14/03/2024,"6,524.40",
321040,"Temporary Accommodation, Long Stay",422653,3 Win Investor Limited T/A 3 Win Property,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3762835,202312,26/03/2024,"46,764.00",
321040,"Temporary Accommodation, Long Stay",422653,3 Win Investor Limited T/A 3 Win Property,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3757118,202312,04/03/2024,"43,047.00",
201700,Grants,424126,3MS Gold Services Ltd,People,10104,E & TS Disabled Facility Grant team,C5000,Grants,3758063,202312,13/03/2024,"5,920.00",
271900,Airwave - Telecommunications,419448,8x8 UK Limited,People,11267,ICT Network Services,R4504,Comms - Telephone,3757411,202312,01/03/2024,"39,591.01",
271900,Airwave - Telecommunications,419448,8x8 UK Limited,People,11267,ICT Network Services,R4504,Comms - Telephone,3754709,202312,29/02/2024,"-3,470.65",
201700,Grants,425648,A Di Maria & Sons Ltd,Place,12750,UK Shared Prosperity Fund (UKSPF)-EDS-SME,C5000,Grants,3758668,202312,15/03/2024,"16,671.00",
201700,Grants,425648,A Di Maria & Sons Ltd,Place,12750,UK Shared Prosperity Fund (UKSPF)-EDS-SME,C5000,Grants,3755920,202312,06/03/2024,"7,524.41",
321017,Residential Care,427615,A L A Care Ltd - Parkhouse Grange,People,11947,OP Residential Care Placements,R5008,Other agencies,20145268,202312,02/03/2024,850.00,
321017,Residential Care,427615,A L A Care Ltd - Parkhouse Grange,People,11947,OP Residential Care Placements,R5008,Other agencies,20145268,202312,02/03/2024,850.00,
321017,Residential Care,427615,A L A Care Ltd - Parkhouse Grange,People,11947,OP Residential Care Placements,R5008,Other agencies,20145268,202312,02/03/2024,850.00,
321017,Residential Care,427615,A L A Care Ltd - Parkhouse Grange,People,11947,OP Residential Care Placements,R5008,Other agencies,20145268,202312,02/03/2024,850.00,
321050,"Temporary Accommodation, Short Stay",425294,A S Grewal T/A Asgro Ltd,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3757132,202312,01/03/2024,"3,417.00",
381400,Vehicle Maintenance,400051,A Wiley T/A BJ Forklift Services,Place,11277,Fleet Services,R3020,Vehicle R&M,3761838,202312,22/12/2023,"1,462.12",
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20148427,202312,02/03/2024,"1,611.61",
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20148427,202312,02/03/2024,"1,611.61",
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20148427,202312,02/03/2024,"1,611.61",
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20148427,202312,02/03/2024,"1,652.67",
201700,Grants,426917,A1Place4U Ltd,People,11381,Homes for Ukraine,R6290,Client Support,3756716,202312,29/02/2024,500.00,
261100,Interpretation & Translation,414896,AA Global Language Services Ltd,People,10322,Interpreter Service,R4400,Services - Professional Fees,3758768,202312,29/02/2024,"2,237.50",
131310,Cleaning Service,425673,aAFD Services Ltd,Place,10335,Public Conveniences,R2700,Cleaning and Supplies,3759980,202312,29/02/2024,"4,563.49",
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20145809,202312,02/03/2024,704.11,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20145802,202312,02/03/2024,675.22,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20145653,202312,02/03/2024,604.11,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20145593,202312,02/03/2024,715.31,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20145746,202312,02/03/2024,664.02,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20145746,202312,02/03/2024,664.02,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20145609,202312,02/03/2024,721.43,
