company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,PH4431,APPLEGARTH HEALTHCARE LTD,06/03/2025,587402,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,NURSING CARE SPOT,Revenue,1,"1,956.22"
CU,PH4431,APPLEGARTH HEALTHCARE LTD,06/03/2025,587402,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,NURSING CARE SPOT,Revenue,2,"1,956.22"
CU,PH4431,APPLEGARTH HEALTHCARE LTD,06/03/2025,587402,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,3,"4,275.64"
CU,PH4431,APPLEGARTH HEALTHCARE LTD,06/03/2025,587402,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,4,"2,366.74"
CU,PH4431,APPLEGARTH HEALTHCARE LTD,06/03/2025,587402,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,NURSING CARE SPOT,Revenue,5,"1,956.22"
CU,PH4431,APPLEGARTH HEALTHCARE LTD,06/03/2025,587402,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,6,"3,571.02"
CU,PH4431,APPLEGARTH HEALTHCARE LTD,06/03/2025,587402,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,NURSING CARE SPOT,Revenue,7,"1,956.22"
CU,PH4431,APPLEGARTH HEALTHCARE LTD,06/03/2025,587402,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,8,"1,700.86"
CU,PH4431,APPLEGARTH HEALTHCARE LTD,06/03/2025,587402,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,9,"2,172.62"
CU,PH4431,APPLEGARTH HEALTHCARE LTD,06/03/2025,587402,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,NURSING CARE SPOT,Revenue,10,"2,667.88"
CU,PH4431,APPLEGARTH HEALTHCARE LTD,20/03/2025,602920,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,NURSING CARE SPOT,Revenue,1,"1,117.84"
