company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DP12855,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521373,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,499.92"
CU,DP52167,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521374,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,108.80"
CU,DP130791,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521375,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,526.08
CU,DP136407,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521376,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,956.60
CU,DP149043,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521377,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,331.52"
CU,DP154659,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521378,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,958.60"
CU,DP219243,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521379,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,410.48
CU,DP272595,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521380,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,860.40"
CU,DP361047,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521381,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"5,123.76"
CU,DP366663,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521382,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,340.00
CU,DP415803,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521384,INDIVIDUAL SERVICE FUNDS,Revenue,1,"1,560.00"
CU,DP428439,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521385,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,111.88"
CU,DP464943,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521386,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,520.48"
CU,DP467751,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521387,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,380.84
CU,DP469155,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521388,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,843.20
CU,DP495831,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521389,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"8,990.00"
CU,DP497235,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521390,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,325.68
CU,DP509871,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521391,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,474.16"
CU,DP519699,03/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,502763,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"5,103.89"
