Company,Coded Supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DP12855,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446259,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,499.92"
CU,DP52167,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446260,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,108.80"
CU,DP130791,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446261,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,526.08
CU,DP136407,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446262,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,956.60
CU,DP149043,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446263,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,331.52"
CU,DP154659,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446264,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,958.60"
CU,DP219243,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446265,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,410.48
CU,DP272595,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446266,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,860.40"
CU,DP361047,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446267,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"5,123.76"
CU,DP366663,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446268,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,340
CU,DP415803,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446270,INDIVIDUAL SERVICE FUNDS,Revenue,1,"1,560"
CU,DP428439,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446271,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,111.88"
CU,DP464943,01/10/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,446272,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,520.48"
