company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DP12855,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570114,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,499.92"
CU,DP52167,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570115,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,108.80"
CU,DP130791,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570116,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,526.08
CU,DP136407,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570117,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,956.6
CU,DP149043,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570118,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,331.52"
CU,DP154659,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570119,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,958.60"
CU,DP219243,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570120,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,410.48
CU,DP272595,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570121,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,860.40"
CU,DP273999,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570122,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,300
CU,DP361047,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570123,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"5,123.76"
CU,DP366663,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570124,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,340
CU,DP415803,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570126,INDIVIDUAL SERVICE FUNDS,Revenue,1,"1,560.00"
CU,DP428439,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570127,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,111.88"
CU,DP464943,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570128,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,520.48"
CU,DP467751,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570129,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,380.84
CU,DP469155,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570130,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,843.2
CU,DP495831,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570131,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"8,990.00"
CU,DP497235,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570132,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,325.68
CU,DP509871,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570133,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,474.16"
CU,DP519699,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570134,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"6,874.60"
CU,DP549183,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570135,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,777.28"
CU,DP564627,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570136,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,108.76"
CU,DP587091,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570137,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,389.28"
CU,DP610959,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570138,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,500.00"
CU,DP669927,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570139,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,264.56
CU,DP692391,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570140,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"8,474.76"
CU,DP713451,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570141,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,226.76"
CU,DP735915,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570142,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,668.00"
CU,DP773823,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570143,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,546.12"
CU,DP785055,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570144,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,869.6
CU,DP815943,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570145,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,633.84"
CU,DP851043,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570146,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,822.96"
CU,DP852447,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570147,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,822.96"
CU,DP915627,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570148,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,811.2
CU,DP1074279,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570149,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"6,390.60"
CU,DP1110783,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570150,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,078.80"
CU,DP1117803,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570151,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,425.76"
CU,DP1145883,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570152,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,842.60"
CU,DP1203447,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570153,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,753.2
CU,DP1220295,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570154,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"8,863.52"
CU,DP1317171,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570156,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,189.28"
CU,DP1319979,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570157,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
CU,DP1319979,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570157,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"1,259.64"
CU,DP1319979,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570157,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"1,259.64"
CU,DP1319979,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570158,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-1,229.64"
CU,DP1343847,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570159,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,054.20"
CU,DP1370523,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570160,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,652.12
CU,DP1440723,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570161,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,200.00"
CU,DP1444935,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570162,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,719.80"
CU,DP1468803,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570163,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,346.24"
CU,DP1901235,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570165,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,000.00"
CU,DP1967223,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570166,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,660
CU,DP1968627,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570167,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,520.00"
CU,DP1986879,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570168,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,347.48
CU,DP2007939,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570169,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"11,814.40"
CU,DP2009343,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570170,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,175.72"
CU,DP2155359,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570171,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,464
CU,DP2288739,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570172,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,706.56
CU,DP2346303,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570173,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,598.48
CU,DP2379999,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570174,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,382.68"
CU,DP2496531,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570175,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,782.36
CU,DP2523207,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570176,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,420
CU,DP2551287,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570177,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,510.00"
CU,DP2673435,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570178,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,151.88"
CU,DP2688879,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570179,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,302.88"
CU,DP2752059,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570180,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,077.76"
CU,DP2752059,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570180,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"1,588.28"
CU,DP2752059,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570180,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"1,588.28"
CU,DP2752059,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570180,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"1,588.28"
CU,DP2752059,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570181,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-911.38
CU,DP2752059,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570181,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-1,343.08"
CU,DP2752059,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570181,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"-1,343.08"
CU,DP2847531,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570182,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,072.60"
CU,DP2872803,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570183,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,522
CU,DP2886843,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570184,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,553.28"
CU,DP2928963,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570185,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,607.16"
CU,DP2935983,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570186,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"5,544.08"
CU,DP2938791,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570187,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,581
CU,DP2938791,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570187,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,581
CU,DP2964063,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570189,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,686.4
CU,DP3041283,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570190,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,878.40"
CU,DP3087615,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570191,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,568
CU,DP3093231,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570192,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,807.00"
CU,DP3169047,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570193,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,389
CU,DP3355779,17/02/2025,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,568630,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,181.48"
CU,DP3534087,17/02/2025,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,568631,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,762.20"
CU,DP3826119,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570195,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,708.40"
CU,DP3851391,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570196,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,648.36
CU,DP3935631,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570197,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,407.64
CU,DP4014255,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570198,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,200.00"
CU,DP4014255,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570198,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,796.92
CU,DP4052163,17/02/2025,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,568632,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,505.92
CU,DP4269783,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570199,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,419.84
CU,DP4275399,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570200,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,354.44"
CU,DP4290843,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570201,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,365.72
CU,DP4316115,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570202,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,623.12"
CU,DP4442475,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570203,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,744
CU,DP4462131,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570204,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,755.08
CU,DP4490211,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570205,INDIVIDUAL SERVICE FUNDS,Revenue,1,"4,669.16"
CU,DP4490211,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570206,DIRECT PAYMENT INCOME,Revenue,1,-519.8
CU,DP4495827,18/02/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,570207,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,400.92"
