company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DF21279,16/01/2025,CARLISLE CAPITAL COST CENTRES,,541923,CAPITAL GRANTS OR FIN ASSISTAN,Capital,1,"1,612.00"
CU,DP12855,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544496,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,499.92"
CU,DP52167,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544497,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,108.80"
CU,DP130791,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544498,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,526.08
CU,DP136407,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544499,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,956.6
CU,DP149043,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544500,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,331.52"
CU,DP154659,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544501,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,958.60"
CU,DP219243,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544502,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,410.48
CU,DP272595,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544503,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,860.40"
CU,DP361047,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544504,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"5,123.76"
CU,DP366663,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544505,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,340
CU,DP415803,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544507,INDIVIDUAL SERVICE FUNDS,Revenue,1,"1,560.00"
CU,DP428439,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544508,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,111.88"
CU,DP464943,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544509,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,520.48"
CU,DP467751,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544510,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,380.84
CU,DP469155,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544511,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,843.2
CU,DP495831,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544512,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"8,990.00"
CU,DP497235,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544513,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,325.68
CU,DP509871,21/01/2025,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,544514,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,474.16"
