company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,NT9568479,01/07/2024,CHILDREN AND FAMILY WELLBEING,"EARLY HELP, PREV & YOUTH JUST ",368965,VOLUNTEER EXPENSES,Revenue,1,254.34
CU,FP6030399,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,370181,RELATIVES AS APPROVED CARERS,Revenue,1,190.75
CU,FP6030399,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,370181,RELATIVES AS APPROVED CARERS,Revenue,2,190.75
CU,FP5704671,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,370031,FOST ALLOW RESPITE CARE,Revenue,1,252
CU,FP5703267,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,370030,RELATIVES AS APPROVED CARERS,Revenue,1,265.44
CU,FP5995299,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,370168,RELATIVES AS APPROVED CARERS,Revenue,1,265.44
CU,FP6037419,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,370183,RELATIVES AS APPROVED CARERS,Revenue,1,265.44
CU,FP6069711,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,370199,STD FOSTERING ALLOWANCES,Revenue,1,320
CU,FP4988631,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,369956,CYP PREVENT&SUPP-S17 OTH PYMT,Revenue,1,350
CU,NT6189051,02/07/2024,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",370231,HOME TO SCHOOL GRANTS,Revenue,1,371.7
CU,FP5995299,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,370169,RELATIVES AS APPROVED CARERS,Revenue,1,379.2
CU,NT11410527,02/07/2024,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",370234,HOME TO SCHOOL GRANTS,Revenue,1,450
CU,FP3896319,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,369881,PWAY SERV UNIVERSITY/ FE COSTS,Revenue,1,500
CU,FP4911411,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,369953,PWAY SERV RENTS,Revenue,1,525
CU,FP6017763,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,370176,FOST PROFESSIONAL FEES ADD,Revenue,1,680.05
CU,FP4038123,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,369891,PWAY SERV UNIVERSITY/ FE COSTS,Revenue,1,"1,000.00"
CU,FP5670975,02/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,370004,PWAY SERV UNIVERSITY/ FE COSTS,Revenue,1,"1,416.52"
CU,DP13141659,02/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,369596,INDIVIDUAL SERVICE FUNDS,Revenue,1,"5,345.40"
CU,DF14259,05/07/2024,CARLISLE CAPITAL COST CENTRES,,373471,CAPITAL GRANTS OR FIN ASSISTAN,Capital,1,"5,864.50"
CU,NT11781183,05/07/2024,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",373382,EDUCSPECIAL NEEDS COSTS,Revenue,1,"6,695.00"
CU,FP5703267,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374654,RELATIVES AS APPROVED CARERS,Revenue,1,265.44
CU,FP5995299,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374788,RELATIVES AS APPROVED CARERS,Revenue,1,265.44
CU,FP6017763,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374800,STD FOSTERING ALLOWANCES,Revenue,1,265.44
CU,FP6037419,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374809,RELATIVES AS APPROVED CARERS,Revenue,1,265.44
CU,FP6079539,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374832,STD FOSTERING ALLOWANCES,Revenue,1,320
CU,NT11904735,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374861,TRAVEL CONTACT VISITS,Revenue,1,360
CU,FP3146583,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374467,PWAY SERV SET UP HOME ALL'CE,Revenue,1,380.24
CU,FP6076731,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374830,SPECIAL GUARDIANSHIP PAYMENTS,Revenue,1,446.5
CU,FP5704671,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374657,FOST PROFESSIONAL FEES ADD,Revenue,1,564.24
CU,FP6055671,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374815,RELATIVES AS APPROVED CARERS,Revenue,1,666.9
CU,FP6017763,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374797,FOST PROFESSIONAL FEES ADD,Revenue,1,680.05
CU,NT11776971,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374849,OTHR AGENCY SERVICES,Revenue,1,784.37
CU,FP6017763,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374795,FOST PROFESSIONAL FEES ADD,Revenue,1,"1,025.46"
CU,FP5425275,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374605,CYP PREVENT&SUPP-S17 OTH PYMT,Revenue,1,"1,219.05"
CU,FP6017763,08/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,374801,STD FOSTERING ALLOWANCES,Revenue,1,"3,071.52"
CU,DP11487747,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375983,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-4,023.52"
CU,DP11487747,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375983,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-4,023.52"
CU,DP11487747,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375983,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"-4,023.52"
CU,DP8688171,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375906,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-3,478.88"
CU,DP2673435,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375772,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-1,914.60"
CU,DP2673435,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375772,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-1,914.60"
CU,DP2673435,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375772,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"-1,914.60"
CU,DP8688171,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375906,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-1,863.69"
CU,DP12966159,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376094,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-1,445.68"
CU,DP12966159,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376094,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"-1,445.68"
CU,DP12801891,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376059,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-1,050.00"
CU,DP2472663,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375766,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-840
CU,DP12824355,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376064,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-754.5
CU,DP12801891,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376059,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-750
CU,DP2472663,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375766,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-720
CU,DP6735207,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375858,DIRECT PAYMENT INCOME,Revenue,1,-663.4
CU,DP6401055,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375850,INDIVIDUAL SERVICE FUNDS,Revenue,2,-630.92
CU,DP6401055,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375850,INDIVIDUAL SERVICE FUNDS,Revenue,3,-630.92
CU,DP6401055,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375850,INDIVIDUAL SERVICE FUNDS,Revenue,4,-630.92
CU,DP10858755,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375954,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-578.84
CU,DP4490211,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375803,DIRECT PAYMENT INCOME,Revenue,1,-519.8
CU,DP1203447,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375744,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-494.92
CU,DP6739419,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375860,DIRECT PAYMENT INCOME,Revenue,1,-487.4
CU,DP6401055,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375850,INDIVIDUAL SERVICE FUNDS,Revenue,1,-473.19
CU,DP5457567,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375832,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-434.64
CU,DP11400699,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375978,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-420.64
CU,DP7382451,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375878,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-380
CU,DP7382451,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375878,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,-380
CU,DP6624291,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375854,INDIVIDUAL SERVICE FUNDS,Revenue,1,-377.16
CU,DP6624291,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375854,INDIVIDUAL SERVICE FUNDS,Revenue,2,-377.16
CU,DP6624291,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375854,INDIVIDUAL SERVICE FUNDS,Revenue,4,-377.16
CU,DP1203447,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375744,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-371.19
CU,DP11044083,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375964,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-357.68
CU,DP11044083,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375964,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,-357.68
CU,DP2673435,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375772,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,-341.89
CU,DP11826111,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375997,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-340
CU,DP11826111,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375997,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-340
CU,DP11826111,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375997,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,-340
CU,DP11826111,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375997,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,-340
CU,DP11826111,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375997,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,-340
CU,DP11826111,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375997,DIRECT PAYMENTS TO SERVICE USE,Revenue,6,-340
CU,DP11826111,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375997,DIRECT PAYMENTS TO SERVICE USE,Revenue,8,-340
CU,DP11826111,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375997,DIRECT PAYMENTS TO SERVICE USE,Revenue,9,-340
CU,DP11826111,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375997,DIRECT PAYMENTS TO SERVICE USE,Revenue,10,-340
CU,DP8067603,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375893,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-339.17
CU,DP5126223,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375820,DIRECT PAYMENT INCOME,Revenue,1,-337.4
CU,DP11487747,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375983,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,-287.39
CU,DP6624291,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375854,INDIVIDUAL SERVICE FUNDS,Revenue,3,-282.87
