company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,FP5703267,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,344967,RELATIVES AS APPROVED CARERS,Revenue,1,265.44
CU,FP6037419,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,345127,RELATIVES AS APPROVED CARERS,Revenue,1,265.44
CU,FP6050055,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,345130,RELATIVES AS APPROVED CARERS,Revenue,1,271.7
CU,FP5704671,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,344968,FOST PROFESSIONAL FEES ADD,Revenue,1,329.14
CU,FP6050055,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,345132,RELATIVES AS APPROVED CARERS,Revenue,1,343.09
CU,FP4988631,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,344888,CYP PREVENT&SUPP-S17 OTH PYMT,Revenue,1,350
CU,FP4248723,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,344841,PWAY SERV UNIVERSITY/ FE COSTS,Revenue,1,500
CU,FP5649915,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,344933,FOST ALLOW SINGLE ADD OTHER,Revenue,1,500
CU,FP6038823,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,345128,FOST ALLOW SINGLE ADD OTHER,Revenue,1,500
CU,FP4911411,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,344884,PWAY SERV RENTS,Revenue,1,525
CU,FP5319975,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,344911,PWAY SERV SET UP HOME ALL'CE,Revenue,1,679.95
CU,FP6017763,03/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,345117,FOST PROFESSIONAL FEES ADD,Revenue,1,680.05
CU,DP428439,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351926,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-3,080.00"
CU,DP428439,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351926,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"-3,080.00"
CU,DP8203791,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352111,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-3,079.93"
CU,DP325947,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351919,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-2,601.28"
CU,DP325947,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351919,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"-2,601.28"
CU,DP325947,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351919,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"-2,601.28"
CU,DP4911411,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352022,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-2,264.32"
CU,DP4911411,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352022,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-2,264.32"
CU,DP12230463,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352233,INDIVIDUAL SERVICE FUNDS,Revenue,2,"-2,208.00"
CU,DP13147275,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352369,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-1,884.16"
CU,DP325947,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351919,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-1,858.06"
CU,DP12789255,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352278,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-1,775.00"
CU,DP2665011,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351979,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-1,572.84"
CU,DP2665011,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351979,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-1,572.84"
CU,DP2665011,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351979,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"-1,572.84"
CU,DP2665011,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351979,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,"-1,572.84"
CU,DP9530571,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352145,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-1,542.16"
CU,DP9530571,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352145,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"-1,542.16"
CU,DP4911411,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352022,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"-1,536.50"
CU,DP12230463,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352233,INDIVIDUAL SERVICE FUNDS,Revenue,1,"-1,340.57"
CU,DP13107963,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352351,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-1,253.57"
CU,DP9530571,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352145,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-1,156.62"
CU,DP13058823,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352338,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-1,150.00"
CU,DP13058823,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352338,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"-1,150.00"
CU,DP13058823,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352338,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"-1,150.00"
CU,DP13058823,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352338,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,"-1,150.00"
CU,DP13058823,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352338,DIRECT PAYMENTS TO SERVICE USE,Revenue,6,"-1,150.00"
CU,DP2665011,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351979,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,-898.77
CU,DP11751699,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352213,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-877.71
CU,DP13058823,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352338,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-821.43
CU,DP10997751,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352183,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-810
CU,DP9529167,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352143,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-777.16
CU,DP9529167,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352143,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,-777.16
CU,DP6735207,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352067,DIRECT PAYMENT INCOME,Revenue,1,-663.4
CU,DP12599715,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352260,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-645.68
CU,DP12599715,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352260,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-645.68
CU,DP12789255,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352278,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-633.93
CU,DP9529167,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352143,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-582.87
CU,DP8848227,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352127,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-572
CU,DP8848227,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352127,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,-572
CU,DP9081291,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352134,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-550
CU,DP4490211,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352012,DIRECT PAYMENT INCOME,Revenue,1,-519.8
CU,DP12886131,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352296,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-488
CU,DP6739419,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352069,DIRECT PAYMENT INCOME,Revenue,1,-487.4
CU,DP12599715,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352260,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,-484.26
CU,DP2872803,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351986,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-462.86
CU,DP12936675,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352309,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-412.55
CU,DP13147275,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352369,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-403.75
CU,DP12886131,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352296,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-348.57
CU,DP5126223,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352030,DIRECT PAYMENT INCOME,Revenue,1,-337.4
CU,DP8848227,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352127,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-326.86
CU,DP428439,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,351926,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-220
CU,DP12938079,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352311,INDIVIDUAL SERVICE FUNDS,Revenue,2,-214.72
CU,DP12938079,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352311,INDIVIDUAL SERVICE FUNDS,Revenue,3,-214.72
CU,DP12938079,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352311,INDIVIDUAL SERVICE FUNDS,Revenue,1,-161.04
CU,DP12599715,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352259,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,25
CU,DP12717651,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352267,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
CU,DP12723267,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352268,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,25
CU,DP8203791,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352110,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,25
CU,DP9529167,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352142,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,25
CU,DP9530571,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352144,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
CU,DP13131831,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352359,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,54.42
CU,DP11044083,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352185,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,75
CU,DP13133235,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352360,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,75
CU,DP13136043,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352362,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,75
CU,DP13155699,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352374,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,75
CU,FP5821203,11/06/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,351246,SPECIAL GUARDIANSHIP PAYMENTS,Revenue,2,88.62
CU,DP11044083,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352185,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,89.42
CU,DP11044083,11/06/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,352185,DIRECT PAYMENTS TO SERVICE USE,Revenue,7,89.42
