Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,SU11451,ADT FIRE AND SECURITY PLC,06/08/2024,400490,RESOURCES  ,ASSETS & FLEET                ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,957.65
CU,SU11451,ADT FIRE AND SECURITY PLC,12/08/2024,404956,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,ELECTRICAL TESTING,Revenue,1,306.02
CU,SU11451,ADT FIRE AND SECURITY PLC,13/08/2024,406130,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,SCHOOLS ONLY BLDING WK CAPITAL,Revenue,1,607.84
CU,SU11451,ADT FIRE AND SECURITY PLC,15/08/2024,408546,RESOURCES  ,ASSETS & FLEET                ,REPAIRS & MAINTENANCE,Revenue,1,"1,525.47"
CU,SU11451,ADT FIRE AND SECURITY PLC,15/08/2024,408547,RESOURCES  ,ASSETS & FLEET                ,REPAIRS & MAINTENANCE,Revenue,1,"2,929.46"
CU,SU11451,ADT FIRE AND SECURITY PLC,01/09/2024,418929,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,752.06
CU,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,12/08/2024,405002,"PLACE, SUST GROWTH & TRANSPORT",THRIVING PLACE AND INVESTMENT ,CAPITAL PAY TO CONTRACTORS,Capital,1,"74,641.52"
CU,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,12/08/2024,405005,"PLACE, SUST GROWTH & TRANSPORT",THRIVING PLACE AND INVESTMENT ,CAPITAL PAY TO CONTRACTORS,Capital,1,"187,685.09"
CU,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,16/08/2024,409479,"PLACE, SUST GROWTH & TRANSPORT",THRIVING PLACE AND INVESTMENT ,CAPITAL PAY TO CONTRACTORS,Capital,1,"103,744.88"
CU,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,28/08/2024,417656,"PLACE, SUST GROWTH & TRANSPORT",THRIVING PLACE AND INVESTMENT ,CAPITAL PAY TO CONTRACTORS,Capital,1,"216,891.29"
CU,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,29/08/2024,418480,COPELAND CAPITAL COST CENTRES,,CAPITAL PROFESSIONAL FEES,Capital,1,"54,714.50"
CU,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,30/08/2024,418796,CAPITAL PROGRAMME,CAPITAL PROG-ECONOMY&HIGHWAYS ,HIGHWAYS: CONTRACTOR,Capital,1,"24,153.75"
CU,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,30/08/2024,418841,RESOURCES  ,ASSETS & FLEET                ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,864.00
CU,SU71823,BELL DECORATING GROUP LIMITED,05/08/2024,398478,ADULT SOCIAL CARE & HOUSING,QUALITY & RESOURCES - ADULT   ,REPAIRS & MAINTENANCE,Revenue,1,"3,586.00"
CU,SU71823,BELL DECORATING GROUP LIMITED,08/08/2024,403635,RESOURCES  ,ASSETS & FLEET                ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,11.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/08/2024,403635,RESOURCES  ,ASSETS & FLEET                ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/08/2024,403635,ADULT SOCIAL CARE & HOUSING,SERVICE PROVISION             ,CONTRACTUAL PAYMENTS (MAIN),Revenue,3,32.00
