Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Transaction Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,SU11451,ADT FIRE AND SECURITY PLC,03/05/2024,322517,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,55008535,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,432.04
CU,SU11451,ADT FIRE AND SECURITY PLC,13/05/2024,326997,RESOURCES  ,ASSETS & FLEET                ,54866509,REPAIRS & MAINTENANCE,Revenue,1,804.06
CU,SU11451,ADT FIRE AND SECURITY PLC,13/05/2024,326999,RESOURCES  ,ASSETS & FLEET                ,54865373,REPAIRS & MAINTENANCE,Revenue,1,"1,195.55"
CU,SU11451,ADT FIRE AND SECURITY PLC,28/05/2024,340578,RESOURCES  ,ASSETS & FLEET                ,54862881,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,293.80
CU,SU11451,ADT FIRE AND SECURITY PLC,28/05/2024,340582,RESOURCES  ,ASSETS & FLEET                ,54862890,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,316.80
CU,SU11451,ADT FIRE AND SECURITY PLC,28/05/2024,340583,RESOURCES  ,ASSETS & FLEET                ,54840500,PROPERTY SECURITY,Revenue,1,396.76
CU,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,30/04/2024,317794,CARLISLE CAPITAL COST CENTRES,,NPSS CERT-003121,CAPITAL PAY TO CONTRACTORS,Capital,1,"9,015.84"
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321624,RESOURCES  ,ASSETS & FLEET                ,CSI69040,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"13,000.00"
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,68.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,96.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,3,25.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,4,128.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,5,64.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,6,5.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,7,24.50
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,8,144.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,9,68.50
