Company,Coded Supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,SU212223,D S D CONSTRUCTION,01/10/2024,446767,CAPITAL PROGRAMME,CAPITAL PROG-ECONOMY&HIGHWAYS ,HIGHWAYS: CONTRACTOR,Capital,1,"223,355.19"
CU,SU212223,D S D CONSTRUCTION,01/10/2024,446767,CAPITAL PROGRAMME,CAPITAL PROG-ECONOMY&HIGHWAYS ,HIGHWAYS: CONTRACTOR,Capital,2,"9,306.47"
CU,SU212223,D S D CONSTRUCTION,01/10/2024,446767,"PLACE, SUST GROWTH & TRANSPORT",HIGHWAYS & TRANSPORT          ,CREDITORS CAPITAL,Capital,3,"-9,306.47"
CU,SU1154307,RUDDICK LANDSCAPE SERVICES,01/10/2024,446186,"PLACE, SUST GROWTH & TRANSPORT",NEIGHBOURHOODS                ,GROUNDS MAINTENANCE,Revenue,1,490
CU,SU1154307,RUDDICK LANDSCAPE SERVICES,01/10/2024,446186,"PLACE, SUST GROWTH & TRANSPORT",NEIGHBOURHOODS                ,GROUNDS MAINTENANCE,Revenue,2,10
CU,SU1175367,JOHN ELLIOT LTD,01/10/2024,446250,CENTRAL CONTROL/BANK,OTHER CONTROL & SUSPENSE      ,IM - HIGHWAYS STORES,Capital,1,832.72
CU,SU2106219,SOUTH LAKES TREE SURGEONS & LANDSCAPES,01/10/2024,446176,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,GROUNDS MAINTENANCE,Revenue,1,303.33
CU,SU2106219,SOUTH LAKES TREE SURGEONS & LANDSCAPES,01/10/2024,446231,RESOURCES  ,ASSETS & FLEET                ,GROUNDS MAINTENANCE,Revenue,1,600
CU,SU2116047,PARTNERING IN PROPERTY MANAGMENT LTD,01/10/2024,446768,CARLISLE CAPITAL COST CENTRES,,CAPITAL GRANTS OR FIN ASSISTAN,Capital,1,"5,731.21"
CU,SU2163783,ALTITUDE SERVICES LTD,01/10/2024,445697,"PLACE, SUST GROWTH & TRANSPORT",HIGHWAYS & TRANSPORT          ,PRIVATE WORKS,Revenue,1,819.01
CU,SU2163783,ALTITUDE SERVICES LTD,01/10/2024,446160,"PLACE, SUST GROWTH & TRANSPORT",HIGHWAYS & TRANSPORT          ,LIGHTING MAINTENANCE,Revenue,1,999.6
CU,SU2163783,ALTITUDE SERVICES LTD,01/10/2024,446162,"PLACE, SUST GROWTH & TRANSPORT",HIGHWAYS & TRANSPORT          ,LIGHTING MAINTENANCE,Revenue,1,819.8
CU,SU2329455,COUNTRYWIDE GROUNDS MAINTENANCE LTD,01/10/2024,445515,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,GROUNDS MAINTENANCE,Revenue,1,407.78
CU,SU2708535,TOMAN CONTRACTING LTD,01/10/2024,446770,RESOURCES  ,ASSETS & FLEET                ,REPAIRS & MAINTENANCE,Revenue,1,"1,815.65"
CU,SU3263115,LAKE DISTRICT JOINERY SERVICES LTD,01/10/2024,445561,COPELAND CAPITAL COST CENTRES,,CAPITAL GRANTS OR FIN ASSISTAN,Capital,1,"3,285.00"
CU,SU3263115,LAKE DISTRICT JOINERY SERVICES LTD,01/10/2024,445563,COPELAND CAPITAL COST CENTRES,,CAPITAL GRANTS OR FIN ASSISTAN,Capital,1,"3,425.00"
CU,TS61995,ADECCO UK LTD,01/10/2024,445665,RESOURCES  ,CHIEF FINANCIAL OFFICER       ,AGENCY STAFF,Revenue,1,"1,425.00"
CU,TS61995,ADECCO UK LTD,01/10/2024,445670,RESOURCES  ,CHIEF FINANCIAL OFFICER       ,AGENCY STAFF,Revenue,1,"1,202.50"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,1,"1,624.12"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,2,801.04
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,3,"2,565.00"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,4,"1,093.64"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,5,"2,595.78"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,6,931.76
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,7,"3,607.78"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,8,"1,396.56"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,9,232.8
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,10,117.45
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,11,"1,830.08"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,12,"1,617.28"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,13,"1,474.40"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,14,72.3
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,445692,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,15,"-1,278.25"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,1,"1,435.26"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,2,643.34
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,3,"1,406.00"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,4,579.69
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,5,"1,567.50"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,6,653.03
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,7,"1,645.78"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,8,631.37
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,9,637.92
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,10,335.52
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,11,"2,063.78"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,12,600.78
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",HOME TO SCHOOL/COLLEGE,Revenue,13,"2,473.04"
CU,TS721875,BEELINE TAXIS LTD,01/10/2024,446740,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",ESCORT DUTY PAY(RECHARGED),Revenue,14,"1,309.67"
CU,TS1009695,BORDERBRITE LTD,01/10/2024,445539,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,CLEANING SERVICES,Revenue,1,"1,554.86"
CU,TS1381755,CAPITA BUSINESS SERVCS LTD,01/10/2024,445674,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUSINESS & PROFESSIONAL SERV,Revenue,1,832.5
CU,TS1381755,CAPITA BUSINESS SERVCS LTD,01/10/2024,446196,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUSINESS & PROFESSIONAL SERV,Revenue,1,387
