DCC Supplier Payments Over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,BRIDGEWAY CONSULTING LIMITED,02/07/2024,00114510,326555,"9,321.52",Engineering Section,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,HAYS SPECIALIST RECRUITMENT LTD,02/07/2024,00113797,390525,"3,200.02",D2N2 Fostering Project,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,HAYS SPECIALIST RECRUITMENT LTD,02/07/2024,00113797,390526,"2,400.00",D2N2 Fostering Project,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,BROXAP LTD,02/07/2024,00113857,434516,"6,465.00",Parks & Open Spaces Rolling Programme,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",CROCKER BROS LTD,02/07/2024,00113862,440029,"3,894.80",Derby Live - Outdoor Events,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",BEBIDA BEVERAGE SOLUTIONS LTD,02/07/2024,00114070,450976,556.36,Derby Live Catering - Markeaton Park,40 - SME,SME
Chief Executives,Finance & Business Support,Finance,TSC & Revenue Collection,CAPITA ONE LIMITED,02/07/2024,00114965,453379,510.00,Benefit Payments,10 - Company,Company
Communities & Place,City Sustainability,Climate & Environment,Parks & Outdoor Recreation,TIMBERPLAY LIMITED,02/07/2024,00114893,454076,"1,181.16",Outdoor Amenities,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - SFA,PPL PRS LTD,02/07/2024,00114294,454687,"3,153.82",Adult Learning Service - Operational,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Children Centres Locality 2,UNIVERSITY OF DERBY THEATRE LTD,02/07/2024,00113962,456849,"4,500.00",Early Help Children Centres Locality 2,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,CAR ACCIDENT REPAIR SERVICE LTD,02/07/2024,00113983,457326,"1,393.06",Fleet Hire,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,LMS SOCIAL WORK SERVICES LTD,02/07/2024,00114659,466810,"1,080.00",Chellaston Team,40 - SME,SME
Chief Executives,Chief Executives,Chief Executives,Chief Executives,ARCADIS CONSULTING UK LTD,02/07/2024,00114421,473226,"3,784.47",UPRN 10150 - Our City Our River,40 - SME,SME
Communities & Place,Communities,Streetpride,Refuse Collection,AMA SUPPLIES LTD,02/07/2024,00113870,479070,"1,475.76",Refuse Collection,40 - SME,SME
Balance Sheet,Balance Sheet,Balance Sheet,Balance Sheet,DERBY HOMES LTD,02/07/2024,00113888,479366,"1,629.98",Balance Sheet,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,HB INSULATIONS (NOTTS) LTD,02/07/2024,00114837,479500,580.00,Highways Maintenance Reactionary Works,10 - Company,Company
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Quality Standards and Performance,RIDGEWAY INFANT SCHOOL,02/07/2024,00114049,479583,"10,923.00",School Grants,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,BOLINDA UK LTD,02/07/2024,00114100,479588,"1,090.80",City Book Fund,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Quality Standards and Performance,MURRAY PARK COMMUNITY SCHOOL.,02/07/2024,00113793,479615,"71,239.00",School Grants,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Growth & Vibrancy,Planning,Development Control,PORTALPLANQUEST LTD,02/07/2024,00114319,479621,"4,624.00",Development Control,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Planning,Development Control,PORTALPLANQUEST LTD,02/07/2024,00114319,479625,"4,624.00",Development Control,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Quality Standards and Performance,RIDGEWAY INFANT SCHOOL,02/07/2024,00114049,479714,"9,010.00",School Grants,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,02/07/2024,00114268,479851,"1,250.00",Chatsworth Team,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Sexual Health,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,02/07/2024,00113912,479853,"1,812.71",Genitourinary Medicine Services (GUM) - Out Of Area,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,REMEDI,02/07/2024,00113943,479874,"33,750.00",YOS - Youth Justice Grant,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,BOLINDA UK LTD,02/07/2024,00114100,480018,727.10,City Book Fund,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,BOLINDA UK LTD,02/07/2024,00114100,480020,619.92,City Book Fund,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",BOOKER,02/07/2024,00113872,481180,"1,178.14",Derby Live Catering - Alvaston Park,10 - Company,Company
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",WORLD LEGACY MUSIC,02/07/2024,00115001,481199,"14,114.37",Derby Live - Presented,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY HOMES LTD,02/07/2024,00113887,481204,"104,210.99",Bedford Street,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",HOLDSWORTH FOODS,02/07/2024,00114383,481372,705.63,Derby Live Catering - Markeaton Park,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,DENNIS EAGLE LTD,02/07/2024,00113814,481379,622.12,Vehicle Maintenance,10 - Company,Company
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",EDEN FARM LTD,02/07/2024,00114134,481425,545.68,Derby Live Catering - Markeaton Park,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,DENNIS EAGLE LTD,02/07/2024,00113814,481516,"1,194.30",Vehicle Maintenance,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,CLOSOMAT LTD,02/07/2024,00114334,481524,"5,232.40",REFCUS - Disabled Facilities Grant 96 Act,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",THE WATSON PLAYERS,02/07/2024,00113941,481556,"2,210.00",Derby Live - Sales and Information Centre,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,TRISHGANGOLLI LTD,02/07/2024,00114238,481618,577.50,Deprivation Of Liberty Safeguards,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,02/07/2024,00114149,481621,990.00,Housing Options (Private),40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Democracy & Elections,Democracy - Electoral Services/ Land Cha,ROYAL MAIL GROUP PLC,02/07/2024,00113792,481622,"20,939.01",Conduct of National Elections,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481623,840.00,Housing Options (Private),40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",SHOWSEC INTERNATIONAL LTD,02/07/2024,00113838,481624,"1,284.97",Derby Live - Presented,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,02/07/2024,00114149,481628,700.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,02/07/2024,00114149,481629,560.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481631,840.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481632,"1,120.00",Housing Options (Private),40 - SME,SME
