DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,MHR INTERNATIONAL UK LIMITED,04/06/2024,106677,119599,"1,223.75",HR Shared Services,10 - Company,Company
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,TRENT MOTOR TRACTION CO LTD. TRENTBARTON,04/06/2024,106585,311907,"47,360.00",Home To School Transport - SEN,40 - SME,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,04/06/2024,106302,390664,"3,851.42",Home First: Community & Perth House,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,RUSSELLS KIRBYMOORSIDE LTD,04/06/2024,106347,399034,934.83,Grounds Maintenance,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,420072,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,420073,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,420100,"1,260.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,420117,"1,120.00",Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Non-Schools,CUKPROJ - DCC Project Reporting Codes,Children In Care,CHILDREN FIRST DERBY,04/06/2024,106105,420195,"31,025.00",Children First Derby,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EG TRAINING LTD,04/06/2024,106252,422500,663.5,High Needs Contingency,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,PRIME LETS DERBY LTD,04/06/2024,107313,423863,880,Housing Options (Private),40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,COLWICK ELECTRICAL SOLUTIONS LTD,04/06/2024,107185,423868,"1,285.60",TCF Tranche 2 - Bus & Rapid Transit Links: Partnership Corri,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE LOCAL THERAPY COMPANY LIMITED,04/06/2024,106838,424394,707.02,High Needs Contingency,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,MASAMI LTD,04/06/2024,106654,431949,"1,435.00",DASH Project,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,AVISON YOUNG,04/06/2024,106711,432428,"24,565.00",Property Rationalisation Costs,40 - SME,SME
People Services - Children & Young People,Non-Schools,Commissioning,Integrated Commissioning,DA LANGUAGES LTD,04/06/2024,106419,432535,"5,939.26",Interpreting and Translation,40 - SME,SME
Communities & Place,Communities,Regulatory Services,Bereavement Services,ZAGOTA CREATIONS LTD,04/06/2024,106322,434317,975,Crematorium,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,04/06/2024,107080,434850,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Regulatory Services,Bereavement Services,INSTITUTE OF CEMETERY AND CREMATORIUM MANAGEMENT,04/06/2024,107114,435162,780,Crematorium,40 - SME,SME
Chief Executives,Corporate Management,Corporate Management,Corporate Management,NOTTINGHAM CITY COUNCIL,04/06/2024,106132,437147,"1,750.00",Corporate Management Activity,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Regulatory Services,Bereavement Services,ZAGOTA CREATIONS LTD,04/06/2024,106322,439029,625,Cemeteries,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,REACH AND RESCUE LIMITED,04/06/2024,106938,439112,"3,095.00",Parks & Open Spaces Rolling Programme,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,SINFIN COMMUNITY EXCHANGE,04/06/2024,106482,439364,"1,349.75",Neighbourhood Boards,65 - Voluntary,Voluntary
People Services - Children & Young People,Schools Block,Learning & Inclusion - Schools Block,STEPS - Schools Block,CONNEVANS LTD,04/06/2024,106118,440032,535,Specialist Support Teaching Services (SSTS),40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,ICS AI LTD,04/06/2024,107170,440201,"10,466.53",Digital and Business Applications,40 - SME,SME
