DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",SPEKTRIX LTD,01/02/2024,75512,238868,793.5,Derby Live - Sales and Information Centre,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,G2V RECRUITMENT GROUP LIMITED,01/02/2024,75602,241372,"5,880.00",TCF Tranche 2 - Public Realm: Public Transport (Public Realm,40 - SME,SME
Communities & Place,Communities,Streetpride,Refuse Collection,AMA SUPPLIES LTD,01/02/2024,75445,248717,"2,227.20",Refuse Collection,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,01/02/2024,75510,269828,722.27,Highways Maintenance Reactionary Works,40 - SME,SME
Chief Executives,Finance & Business Support,Finance,Benefits and Exchequer Services,LIBERATA UK LTD,01/02/2024,75477,270095,"17,109.56",Housing Benefits & C Tax Support Admin,40 - SME,SME
Chief Executives,Finance & Business Support,Finance,Benefits and Exchequer Services,LIBERATA UK LTD,01/02/2024,75477,270098,"21,261.37",Housing Benefits & C Tax Support Admin,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,01/02/2024,75505,270121,729.38,Controlled Drugs Costs,20 - Public/Government Agency,Public/Government Agency
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,G2V RECRUITMENT GROUP LIMITED VIVID RESOURCING,01/02/2024,75603,275943,"4,325.83",Valuation,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EG TRAINING LTD,01/02/2024,75484,278672,557.98,High Needs Contingency,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE LOCAL THERAPY COMPANY LIMITED,01/02/2024,75645,278743,792.02,High Needs Contingency,40 - SME,SME
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,ROYAL MAIL GROUP PLC.,01/02/2024,75408,282545,"7,184.74",Transactional Services,10 - Company,Company
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,01/02/2024,75505,282627,"304,567.25",Integrated Substance Misuse Service,20 - Public/Government Agency,Public/Government Agency
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,PREMIER PAPER GROUP LTD,01/02/2024,75531,289981,509.35,Transactional Services,10 - Company,Company
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",INTER-COUNTY PARAMEDIC LTD,01/02/2024,75471,296055,"10,000.00",Derby Live - Presented,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TETRA TECH LIMITED,01/02/2024,75682,296111,"1,057.30",Design of Future Years Schemes,10 - Company,Company
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,TETRA TECH LIMITED,01/02/2024,75682,296116,"3,287.74",Clean Air Zone,10 - Company,Company
