DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,EAGLE CITY CARS,05/03/2024,83699,41611,"2,825.00",Normanton Under 11's Team,60 - Sole Trader,Sole Trader
Communities & Place,City Sustainability,Traffic & Transportation,Parking Services,PATROL,05/03/2024,84135,278771,785.4,Parking Services,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Regulatory Services,Bereavement Services,EMS SECURITY SERVICES LTD,05/03/2024,83970,289208,710.17,Cemeteries,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Children Centres Locality 2,PHS GROUP PLC,05/03/2024,83543,289910,-538.33,Allenton Childrens Centre,10 - Company,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Children Centres Locality 2,PHS GROUP PLC,05/03/2024,83543,289913,"-2,582.38",Allenton Childrens Centre,10 - Company,Company
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,FINANCIAL DATA MANAGEMENT LTD,05/03/2024,83579,292341,"2,422.41",Transactional Services,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Partnerships,DERBYSHIRE COUNTY COUNCIL,05/03/2024,83470,303661,"12,983.45",Preventing Violent Extremism,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Community Safety & Localities,Partnerships,REDACTED,05/03/2024,84368,306351,"2,500.00",Preventing Violent Extremism,60 - Sole Trader,Sole Trader
Communities & Place,City Growth & Vibrancy,Planning,Spatial Planning,ICENI PROJECTS LIMITED,05/03/2024,84765,320905,"10,146.00",Spatial Planning,10 - Company,Company
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,AMA SUPPLIES LTD,05/03/2024,83555,320935,"2,093.40",Neighbourhood Boards,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,PHS GROUP PLC,05/03/2024,83543,320963,"1,342.17",Stores Road Depot,10 - Company,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EG TRAINING LTD,05/03/2024,83657,322164,"1,432.50",High Needs Contingency,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THREE QUEENS HOTEL TQ HOTELS LTD,05/03/2024,84266,322260,"1,100.00",Housing Options (Private),40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",AC EVENTS CREWING LTD,05/03/2024,84208,322653,"8,036.00",Derby Live - Presented,40 - SME,SME
Chief Executives,Finance & Business Support,Finance,Benefits and Exchequer Services,LIBERATA UK LTD,05/03/2024,83636,322843,"4,475.57",Housing Benefits & C Tax Support Admin,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,EXCLOOSIVE LTD,05/03/2024,84129,324843,"5,017.00",Parklife Strategic Footbal Hub,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,05/03/2024,84380,326419,619.38,Vehicle Maintenance,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,ENGINEERED LEARNING LTD.,05/03/2024,83902,327883,"1,200.00",Neighbourhood Boards,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,05/03/2024,84380,328209,855.27,Vehicle Maintenance,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,G2V RECRUITMENT GROUP LIMITED VIVID RESOURCING,05/03/2024,84113,328295,"2,975.00",Valuation,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,G2V RECRUITMENT GROUP LIMITED VIVID RESOURCING,05/03/2024,84113,328296,"2,150.83",Valuation,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,PARSONS MARSHALL PSYCHOLOGY,05/03/2024,84128,333067,"1,485.50",Legal Fees,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,NOTTINGHAM CITY COUNCIL,05/03/2024,83466,333072,"121,634.27",Passenger Transport Procurement & Operations,20 - Public/Government Agency,Public/Government Agency
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,ARTHUR J GALLAGHER INSURANCE BROKERS LTD,05/03/2024,83973,333159,"2,155.41",Parklife Strategic Footbal Hub,10 - Company,Company
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",CERTAS ENERGY UK LIMITED,05/03/2024,84533,333202,"1,729.35",Derby Live - Outdoor Events,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,05/03/2024,84353,333306,700,Pupil Premium Grant,60 - Sole Trader,Sole Trader
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,REHABILITY UK COMMUNITY LTD,05/03/2024,84726,333486,"1,944.32",West/South MH Support Adults (under 65) - R/N,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,05/03/2024,83709,333898,"1,782.00",High Needs Contingency,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,05/03/2024,84380,333947,"1,413.15",Vehicle Maintenance,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,EDWARDS AND EDWARDS CONSULTANCY LIMITED,05/03/2024,84453,334079,"4,282.20",North West Traffic Management,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/03/2024,84773,334184,"2,560.00",Housing Options (Private),10 - Company,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,05/03/2024,84608,335727,"4,957.77",Personal Budgets,30 - Individual (Non Business),Individual (Non Business)
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/03/2024,83719,335992,"2,023.37",Highways Maintenance Works,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - SFA,PHS GROUP PLC,05/03/2024,83543,341305,-676.1,Allenpark,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Community Support,Social Care Activities,POSTURITE LTD.,05/03/2024,84433,341767,832.45,East Team Staff Costs,40 - SME,SME
Communities & Place,Communities,Streetpride,Refuse Collection,IPL PLASTICS (UK) LIMITED,05/03/2024,84154,342184,"12,900.00",Refuse Collection,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Planning,Development Control,DERBYSHIRE WILDLIFE TRUST,05/03/2024,83584,342187,"9,100.00",Development Control,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE LOCAL THERAPY COMPANY LIMITED,05/03/2024,84305,342194,558.33,High Needs Contingency,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,ALLROADS TRAINING LTD,05/03/2024,83831,342216,"1,367.58",Highways - Winter Maintenance,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,SIX STREETS HISTORY,05/03/2024,84943,342323,630,Neighbourhood Boards,65 - Voluntary,Voluntary
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,HUWS GRAY LIMITED,05/03/2024,83810,343450,"1,919.65",Highways Maintenance Reactionary Works,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Parking Services,E.ON NEXT ENERGY LIMITED,05/03/2024,84413,343479,558.44,Parking Services,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Children Centres Locality 2,PHS GROUP PLC,05/03/2024,83543,343592,"3,322.74",Allenton Childrens Centre,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Senior Management,Senior Management,DERBYSHIRE COUNTY COUNCIL,05/03/2024,83470,343701,"10,103.87",Senior Management,20 - Public/Government Agency,Public/Government Agency
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,G2V RECRUITMENT GROUP LIMITED VIVID RESOURCING,05/03/2024,84113,343806,"1,850.00",Valuation,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Children Centres Locality 2,PHS GROUP PLC,05/03/2024,83543,343811,-831.87,Early Help Children Centres Locality 2,10 - Company,Company
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Connect Project,FRANCOTYP POSTALIA LTD,05/03/2024,83609,343814,"1,000.00",Marble Hall,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Inclusion & Intervention,REDACTED,05/03/2024,84959,343876,"7,870.00",Special Education Needs Support,20 - Public/Government Agency,Public/Government Agency
People Services - Adults and Health,Adult Social Care,Community Support,Social Care Activities,REDACTED,05/03/2024,84957,343884,"1,415.59",Charging Income Holding Account,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,05/03/2024,84380,343912,576.99,Vehicle Maintenance,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",ODDSOCKS COMMUNICATIONS LTD,05/03/2024,83711,343916,833.33,Derby Live - Outdoor Events,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,05/03/2024,84611,343917,980,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,05/03/2024,84611,343922,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,05/03/2024,84611,343927,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,05/03/2024,84611,343932,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,05/03/2024,84611,343936,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,05/03/2024,84611,343938,840,Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Early Years Sufficiency & Access,MAIR PERKINS LTD,05/03/2024,84939,343939,"3,950.00",EY Sufficiency and Access,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,05/03/2024,84611,343942,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,05/03/2024,84611,343951,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,05/03/2024,84611,343957,840,Housing Options (Private),60 - Sole Trader,Sole Trader
