Body Name,Service Area Categorisation,Supplier Name,Date,Amount,Expenses Type,Category,Narrative
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commisioner for Bedfordshire,45355,1644086.14,Equipment - General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C,,,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Orchid Cellmark Ltd,45371,386471.24,Forensic Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C,,,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,DPFP LLP,45376,337177,Rents General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C,,,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Dalkeith SPV Ltd,45374,315455.11,Unitary Fee - PFI,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,45379,173376.9,Infrastructure Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,EDF Energy 1 Limited,45376,166959.31000000003,Electricity,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,45372,154030.5,Hardware Purchase,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,West Yorkshire Police,45356,130526,National Police Air Service Charge,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,The Elm Foundation,45367,118637.25,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Mitie Cleaning and Environmental Services Ltd,45369,104832.68,Cleaning Contract,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Allstar Business Solutions Ltd,45358,100625.04000000001,Police Vehicle Fuel,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,45356,84914,Recovery of Vehicles,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Mitie Care and Custody Limited,45355,80949.01,Medical Care of Prisoners,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Total Gas & Power Limited,45369,75792.94,Gas,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,PS Administration Limited T/A XPS Administration,45367,73687,Financial Contracts,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,PS Administration Limited T/A XPS Administration,45369,73687,Financial Contracts,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,45356,71203,Recovery of Vehicles,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,45365,62386.29,Vehicle Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Police & Crime Commissioner for Greater Manchester,45362,60873,Professional Fees,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,FI Real Estate Management Ltd,45358,60121.07,Rents General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Tour Construction Ltd,45371,55900,Buildings - Fire Precaution Work,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Change Grow Live Services Limited,45367,54833.75,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Essex,45376,51359.43,Borrowed Officers,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
