Date,Transaction Number,Directorate,Local Authority Dept,Merchant Category,Summary of Purpose of Expenditure 1,Summary of Purpose of Expenditure 2,Beneficiary,Total
15/02/2024,5399265,"CHILDREN,YOUNG PEOPLE&FAMILIES",INTERVENTION & PREVENTION     ,PRIVATE CONTRACTORS,NURSERY PROVISION - 3 & 4 YR O,,REDACTED PERSONAL DATA,538.44
15/02/2024,5399265,"CHILDREN,YOUNG PEOPLE&FAMILIES",INTERVENTION & PREVENTION     ,PRIVATE CONTRACTORS,NURSERY PROVISION - 2 YR OLDS,,REDACTED PERSONAL DATA,"1,600.18"
21/02/2024,5409200,PLACE                         ,PROPERTY SERVICES             ,EQUIPMENT/FURNITURE/MATERIALS,PBM CONTRACTS,MATERIALS - BUILDING SERVICES,SS SYSTEMS LTD,389.84
05/02/2024,5384131,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,459.00
12/02/2024,5395318,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,459.00
19/02/2024,5404896,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,459.00
26/02/2024,5415629,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,459.00
12/02/2024,5393490,PLACE                         ,HIGHWAYS                      ,PRIVATE CONTRACTORS,ACCIDENT DAMAGE,OTHER PROFESSIONAL SERVICES,PCC FOR SOUTH YORKSHIRE,"1,524.00"
19/02/2024,5405571,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"-2,146.92"
19/02/2024,5405571,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,306.70
19/02/2024,5405571,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,-733.08
19/02/2024,5405592,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - NORTH,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5405661,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5405679,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5405680,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5405744,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5405770,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5405777,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5405778,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5405783,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5405963,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5405973,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,723.72"
19/02/2024,5406051,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - NORTH,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5406104,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,HATFIELD HOUSE,"3,840.00"
19/02/2024,5406118,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"3,142.56"
19/02/2024,5406181,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
19/02/2024,5406200,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,HATFIELD HOUSE,"2,862.56"
