Period,Account,Account(T),Amount,Supplier
202407,4000,General Equipment,2874.04,Durham County Council
202407,4010,Safer Streets engagement,547.25,Solon Security Ltd
202407,4010,Publications and Multi Media,2750,Engagement Purchases
202407,4703,Consultants Fees,2000,E-T-E Solutions Ltd
202407,4703,Consultants Fees,585,Ridley Advisory Limited
202407,4825,Miscellaneous Subscriptions,2000,Police Treatment Centres
202407,5101,Community Safety and Prevention,17032,Durham Agency Against Crime
202407,5101,Community Safety and Prevention,1466.4,Insight Direct (UK) Ltd
202407,5101,Community Safety and Prevention,23076.9,Foundation of Light
202407,5101,Community Safety and Prevention,6500,Darlington Borough Council
202407,5101,Community Safety and Prevention,5631,Durham County Council
202407,5101,Community Safety and Prevention,28592.25,Darlington Borough Council
202407,5101,Community Safety and Prevention,30000,Durham County Council
202407,5101,Community Safety and Prevention,28522.5,Darlington Borough Council
202407,5101,Community Safety and Prevention,3400,Darlington Borough Council YJS
202407,5101,Community Safety and Prevention,8000,Darlington Borough Council
202407,5101,Community Safety and Prevention,1000,Pelton Parish Council
202407,5101,Community Safety and Prevention,15000,Durham Agency Against Crime
202407,5106,Victim Services,80619.5,Rape & Sexual Abuse Counselling Centre
202407,5106,Victim Services,14050,Just For Women Centre
202407,5106,Victim Services,116000,Durham County Council
202407,5106,Victim Services,34738.25,Harbour Support Services - Durham
202407,5109,PCC Priorities,7237,Foundation for Good
202407,5109,PCC Priorities,3224,Creative Youth Opportunities CIC
202407,5109,PCC Priorities,880,Solon Security Ltd
202407,5109,PCC Priorities,4000,Black Country Metalworks Ltd
,,,,
Note: these purchases are for operational police fixed assets. They are included here because the PCC owns all fixed assets.,,,,
202407,8001,Land and buildings additions in year,2127.73,ACS Technology Group Ltd
202407,8001,Land and buildings additions in year,9776.62,Graham Facilities Management
202407,8001,Land and buildings additions in year,12694.32,Graham Facilities Management
202407,8001,Land and buildings additions in year,6083.55,Wallace Fabrications Ltd
202407,8001,Land and buildings additions in year,1620,ACS Technology Group Ltd
202407,8001,Land and buildings additions in year,2320,Gresham Office Furniture Ltd
202407,8001,Land and buildings additions in year,2182,Ian Carswell Associates
202407,8001,Land and buildings additions in year,3450,Gresham Office Furniture Ltd
202407,8001,Land and buildings additions in year,584.28,Currys Group Ltd T/A Currys Business
202407,8001,Land and buildings additions in year,3144,JH Partners Consulting Engineers Ltd
202407,8201,"Fixtures, fittings & equip addition in year",1134,Nationwide Platforms Ltd
202407,8201,"Fixtures, fittings & equip addition in year",32292.48,Softcat Ltd
202407,8201,"Fixtures, fittings & equip addition in year",2390,BT Global
202407,8201,"Fixtures, fittings & equip addition in year",6000,BT Global
202407,8201,"Fixtures, fittings & equip addition in year",35100,Process Software
202407,8201,"Fixtures, fittings & equip addition in year",28999.94,Softcat Ltd
202407,8201,"Fixtures, fittings & equip addition in year",3026.32,Softcat Ltd
202407,8201,"Fixtures, fittings & equip addition in year",4236.83,Softcat Ltd
202407,8201,"Fixtures, fittings & equip addition in year",1197.96,Insight Direct (UK) Ltd
202407,8201,"Fixtures, fittings & equip addition in year",2633.69,Radio Structures Ltd
202407,8201,"Fixtures, fittings & equip addition in year",995.41,Insight Direct (UK) Ltd
202407,8201,"Fixtures, fittings & equip addition in year",15900.82,Axon Public Safety UK Ltd
202407,8201,"Fixtures, fittings & equip addition in year",2653.34,Standby RSG Uk Limited
202407,8201,"Fixtures, fittings & equip addition in year",621.07,Standby RSG Uk Limited
202407,8201,"Fixtures, fittings & equip addition in year",31951.17,Insight Direct (UK) Ltd
