Body Name,Organisation Code,Service Label,Service Code,Organisation Unit,Expenditure Category,Expenditure Code,Narrative,Date,Transaction No,Net Amount,Supplier ID,Amended Supplier Name
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,EQUIPMENT  - PURCHASES,3320,,15/08/2023,41080616,3480,28889,UK CONTAINER MAINTENANCE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,EQUIPMENT  - PURCHASES,3320,,08/06/2023,41077937,2863,28889,UK CONTAINER MAINTENANCE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,01/08/2023,41078058,23416,25486,BARBER ENVIRONMENTAL LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,LEGAL FEES,2840,,24/07/2023,41079727,1173,25133,CAPSTICKS SOLICITORS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,LEGAL FEES,2840,,23/01/2023,41079728,5049,25133,CAPSTICKS SOLICITORS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,LEGAL FEES,2840,,09/02/2023,41079729,1343,25133,CAPSTICKS SOLICITORS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,LEGAL FEES,2840,,15/03/2023,41079732,2517,25133,CAPSTICKS SOLICITORS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,LEGAL FEES,2840,,20/04/2023,41079734,1813,25133,CAPSTICKS SOLICITORS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,LEGAL FEES,2840,,23/05/2023,41079735,1500,25133,CAPSTICKS SOLICITORS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,11/08/2023,41079377,614.22,20166,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - SM,Services Contracts Agency Interim Consultants,2970,,23/08/2023,41081489,8800,23024,VENN GROUP LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,01/08/2023,41078277,3957.55,11737,EMBASSY CAR & COURIER SERVICES LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,INTERPRETERS,2910,,14/06/2023,41076420,305.05,27773,KAG ADVOCACY CIO
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,05/06/2023,41081272,4934,29032,CITY CARE AGENCY LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/07/2023,41081400,3864,29032,CITY CARE AGENCY LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,01/06/2023,41078736,923,29555,KEW CAR LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,01/07/2023,41078737,1036,29555,KEW CAR LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,01/04/2023,41079605,1510,29555,KEW CAR LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,04/08/2023,41078739,6784,29555,KEW CAR LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,01/08/2023,41079114,360,15687,WHEEL GET YOU THERE LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/07/2023,41078723,1080,13223,MANOR WHEELS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,02/08/2023,41079355,8460,28985,AIRPORT ONTIME LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,01/08/2023,41081097,311.96,25796,LONDON HIRE COMMUNITY SERVIES LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/07/2023,41078741,2524.7,28986,PREMIER MINI CAB SERVICES (UK) LTD T/A PREMIER CARS
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/07/2023,41081250,648,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/07/2023,41078068,2184,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/07/2023,41078068,546,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/07/2023,41078072,2320,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,VEHICLE HIRE,2010,,31/07/2023,41078072,580,26869,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIN,DATA ARCHIVING,3840,,30/06/2023,41074765,501.1,23976,RESTORE PLC
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIN,DATA ARCHIVING,3840,,30/04/2023,41065477,470.76,23976,RESTORE PLC
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIN,DATA ARCHIVING,3840,,31/07/2023,41079113,468.02,23976,RESTORE PLC
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,"PLANNING, COMMISSIONING & PARTNERSHIPS",CHILDRENS SERVICES ACCOMMODATION ACTON,5790,,27/07/2023,41077668,9840,27744,HM PRISON & PROBATION SERVICE
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,"PLANNING, COMMISSIONING & PARTNERSHIPS",CHILDRENS SERVICES ACCOMMODATION ACTON,5790,,27/07/2023,41077669,838,27744,HM PRISON & PROBATION SERVICE
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,"PLANNING, COMMISSIONING & PARTNERSHIPS",CHILDRENS SERVICES ACCOMMODATION ACTON,5790,,27/07/2023,41077670,4592,27744,HM PRISON & PROBATION SERVICE
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,"PLANNING, COMMISSIONING & PARTNERSHIPS",CHILDRENS SERVICES ACCOMMODATION ACTON,5790,,27/07/2023,41077680,2296,27744,HM PRISON & PROBATION SERVICE
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HIGHWAYS,PAYMENTS TO CONTRACTORS,4000,,24/08/2023,41081260,48800,26979,XAIS ASSET MANAGEMENT LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HIGHWAYS,SPECIALIST TECHNICAL CONTRACTORS,4050,,28/07/2023,41077241,3839.4,26979,XAIS ASSET MANAGEMENT LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,FENCING,1472,,21/08/2023,41080562,3392.17,11538,DRAYTON FENCING COMPANY
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,FENCING,1472,,01/08/2023,41078526,1330.03,11538,DRAYTON FENCING COMPANY
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,SPECIALIST TECHNICAL CONTRACTORS,4050,,10/07/2023,41080283,23925,26782,THE ADVOCACY PROJECT
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,PAYMENTS TO HEALTH AUTHORITIES,4360,,19/07/2023,41076690,2750,26801,HOJONA LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,PAYMENTS TO HEALTH AUTHORITIES,4360,,09/08/2023,41079977,2750,26801,HOJONA LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,PAYMENTS TO HEALTH AUTHORITIES,4360,,02/08/2023,41080134,2475,26801,HOJONA LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,PAYMENTS TO HEALTH AUTHORITIES,4360,,16/08/2023,41080512,4675,26801,HOJONA LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,MEDICAL REPORTS,2560,,19/07/2023,41076681,2625,26801,HOJONA LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,MEDICAL REPORTS,2560,,19/07/2023,41076718,3300,28801,ACTION FIRST ASSESSMENTS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,MEDICAL REPORTS,2560,,24/05/2023,41077460,3600,28801,ACTION FIRST ASSESSMENTS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,MEDICAL REPORTS,2560,,12/07/2023,41076013,3600,28801,ACTION FIRST ASSESSMENTS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,MEDICAL REPORTS,2560,,23/08/2023,41081186,3900,28801,ACTION FIRST ASSESSMENTS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,MEDICAL REPORTS,2560,,09/08/2023,41079715,3900,28801,ACTION FIRST ASSESSMENTS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,PAYMENTS TO HEALTH AUTHORITIES,4360,,19/07/2023,41076715,2500,28801,ACTION FIRST ASSESSMENTS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,PAYMENTS TO HEALTH AUTHORITIES,4360,,12/07/2023,41076014,3000,28801,ACTION FIRST ASSESSMENTS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,PAYMENTS TO HEALTH AUTHORITIES,4360,,23/08/2023,41081185,3250,28801,ACTION FIRST ASSESSMENTS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,OLDER PEOPLE,PAYMENTS TO HEALTH AUTHORITIES,4360,,09/08/2023,41079714,3250,28801,ACTION FIRST ASSESSMENTS LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,CHILD PROTECTION & EDT,PAYMENTS TO CONTRACTORS,4000,,30/06/2023,41079877,1540,30119,AIDHOUR LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HIGHWAYS,CONTRACT PAYMENTS -HIGHWAYS,4005,,31/07/2023,41078493,5177.41,13593,MURRILL CONSTRUCTION LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HIGHWAYS,CONTRACT PAYMENTS -HIGHWAYS,4005,,03/08/2023,41078652,20401.81,13593,MURRILL CONSTRUCTION LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HIGHWAYS,CONTRACT PAYMENTS -HIGHWAYS,4005,,03/08/2023,41078657,4914.36,13593,MURRILL CONSTRUCTION LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HIGHWAYS,CONTRACT PAYMENTS -HIGHWAYS,4005,,31/07/2023,41078496,6196.02,13593,MURRILL CONSTRUCTION LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HIGHWAYS,CONTRACT PAYMENTS -HIGHWAYS,4005,,21/08/2023,41081032,4342.2,13593,MURRILL CONSTRUCTION LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HIGHWAYS,CONTRACT PAYMENTS -HIGHWAYS,4005,,18/08/2023,41081035,8926.91,13593,MURRILL CONSTRUCTION LIMITED
