Body Name,Body,Service Division,Expense Type,Date Paid,Transaction Ref,Invoice Amount,Supplier Name
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,Other Miscellaneous Expenses,02/09/2024,30037376,"55,608.82",Lloyds Bank Plc
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Grants and Contributions to Outside Bodies - No Service Received,03/09/2024,30037258,"5,000.00",Alford Hub
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Other Miscellaneous Expenses,03/09/2024,30037259,400,King Edward VI Almshouse School and Educational Charity at Louth
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Computer Hardware Purchase,03/09/2024,30037257,365.98,Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Healthy Living Services Manager,Grants and Contributions to Outside Bodies - No Service Received,03/09/2024,30037258,"5,000.00",Alford Hub
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Other Miscellaneous Expenses,03/09/2024,30037259,400,King Edward VI Almshouse School and Educational Charity at Louth
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Buildings Maintenance - Responsive,03/09/2024,30037276,"69,195.79",Gelder Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),03/09/2024,30037251,850.5,J H Smithson and Son Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),03/09/2024,30037255,"9,935.07",Mark Donner Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),03/09/2024,30037256,"22,157.05",Gary Walmsley Construction
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Environmental Health,Professional and Contractors Fees,05/09/2024,30037290,"1,398.06",“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Grants and Contributions to Outside Bodies - No Service Received,05/09/2024,30037348,"1,400.00",Coningsby Town Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Planning Policy,Grants and Contributions to Outside Bodies - No Service Received,05/09/2024,30037254,719.58,Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Works to Buildings (Main Contractor),05/09/2024,30037304,386.33,The Workshop (Wisbech) Ltd
