Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,29/05/2024,VI-114608,"19,710.00",Revenue,4Sight Communications Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,03/05/2024,VI-113393,"5,991.84",Revenue,Abbeycroft Leisure,,,,,,,,,,,,,,,
Community Health,Food and Safety,Employee Expenses,Technical Training,03/05/2024,VI-113224,"1,250.00",Revenue,ABC Food Law Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Other Ext Provided Services,14/05/2024,VI-114163,"4,800.00",Revenue,ABP Marine Environmental Research Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Other Ext Provided Services,03/05/2024,VI-113207,"1,625.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-114359,"49,926.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-114363,"32,260.75",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-114364,"22,752.75",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-114360,"7,508.25",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,24/05/2024,VI-114745,"3,000.00",Capital,Acesco Business & Property Servcies LLP,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,29/05/2024,VI-114825,"2,792.70",Revenue,Acme Seals Limited,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,14/05/2024,VI-113956,650.00,Revenue,ActivLives,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,14/05/2024,VI-113958,"3,230.00",Revenue,ActivLives,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,31/05/2024,VI-114899,"3,625.00",Capital,ADC (East Anglia) Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/05/2024,VI-113837,546.84,Revenue,Adobe Systems Software,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,17/05/2024,VI-114316,250.00,Revenue,Aldeburgh PCC,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,24/05/2024,VI-114735,"4,921.00",Revenue,Aldeburgh Library Foundation,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/05/2024,VI-113153,"13,352.57",Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113770,"4,208.47",Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,29/05/2024,VI-114836,"6,143.07",Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,31/05/2024,VI-114719,"2,996.69",Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-113314,"1,666.67",Capital,ALH Building Services Design Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,21/05/2024,VI-114474,"2,200.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,22/05/2024,VI-114470,735.00,Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,22/05/2024,VI-114491,250.00,Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-113248,900.00,Capital,6 Alpha Associates Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,07/05/2024,VI-113640,"10,094.07",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,07/05/2024,VI-113641,"15,558.81",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Furniture and Equipment,14/05/2024,VI-113117,839.16,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Furniture and Equipment,14/05/2024,VI-113951,774.82,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,30/05/2024,VI-115161,"7,199.25",Revenue,AWS - Amazon Web Services,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,10/05/2024,VI-113843,571.82,Revenue,M and C Engineering (Newbourne) Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-114067,280.00,Capital,Andrew Morton Associates Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,03/05/2024,VI-113190,"2,874.80",Revenue,Anglia Electrical & Security Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,03/05/2024,VI-113312,"1,750.00",Capital,Anglia Land Surveys Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-113095,"1,850.00",Capital,Anglia Land Surveys Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-113096,"2,350.00",Capital,Anglia Land Surveys Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,03/05/2024,VI-111732,"4,801.00",Capital,Anglia Locksmiths and Safe Engineers Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,22/05/2024,VI-114442,312.00,Revenue,Anglia Locksmiths and Safe Engineers Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,24/05/2024,VI-114651,330.00,Capital,Anglia Locksmiths and Safe Engineers Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Sewerage Charge,10/05/2024,VI-113295,"1,374.63",Revenue,Anglian Water Services Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,21/05/2024,VI-114349,428.58,Revenue,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/05/2024,VI-113620,"1,078.40",Revenue,Anglian Lifts LTD,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Events,Supplies and Services,Corporate Subscriptions,08/05/2024,VI-112891,"2,200.00",Revenue,Apply 4 Technology Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,24/05/2024,VI-114772,363.96,Revenue,Arena Partnership Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Furniture and Equipment,10/05/2024,VI-113894,416.95,Revenue,Argos Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,15/05/2024,VI-113414,576.00,Revenue,Ashby Herringfleet & Somerleyton P C,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,17/05/2024,VI-114267,"1,274.00",Revenue,Ashfords LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,17/05/2024,VI-114268,"1,110.00",Revenue,Ashfords LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,17/05/2024,VI-114269,"1,201.00",Revenue,Ashfords LLP,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,15/05/2024,VI-114180,"4,960.00",Revenue,R A Ashton T/AS Norfolk Property 1,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Clothing & Uniforms,21/05/2024,VI-114510,299.52,Revenue,Aspect Corporate Clothing Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113892,"5,698.71",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/05/2024,VI-114112,"7,316.39",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,21/05/2024,VI-114407,"6,499.09",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,29/05/2024,VI-114395,"2,407.58",Revenue,Associated British Ports,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Employee Expenses,Technical Training,24/05/2024,VI-114802,"4,775.50",Revenue,Association of Electoral Administrators,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,31/05/2024,VI-115082,"1,037.86",Revenue,AVC Wise Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/05/2024,VI-113088,"9,938.00",Revenue,Avison Young (UK) Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,24/05/2024,VI-114413,"1,907.50",Revenue,BACT Community Transport,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,General Purchases,10/05/2024,VI-113503,472.08,Revenue,Baker Ross Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,03/05/2024,VI-113259,"25,261.96",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,10/05/2024,VI-112341,"2,117.74",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
