Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,16/07/2024,VI-118037,"2,225.00",Revenue,4D Geo Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Qualification Training,05/07/2024,VI-117317,999.00,Revenue,ABA Procurement Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/07/2024,VI-119091,"2,646.28",Revenue,Abbeycroft Leisure,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/07/2024,VI-119093,"2,646.28",Revenue,Abbeycroft Leisure,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/07/2024,VI-119094,"2,646.28",Revenue,Abbeycroft Leisure,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/07/2024,VI-119095,"2,646.28",Revenue,Abbeycroft Leisure,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/07/2024,VI-119096,"2,646.28",Revenue,Abbeycroft Leisure,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,19/07/2024,VI-118075,400.00,Revenue,Abouttime Training,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,General Purchases,02/07/2024,VI-116662,500.00,Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,12/07/2024,VI-117846,"3,056.23",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,31/07/2024,VI-119229,620.94,Revenue,Access Community Trust,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,30/07/2024,VI-118903,"1,696.40",Revenue,Acme Seals Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,16/07/2024,VI-117918,"1,850.00",Capital,Acoustic Design Technology Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,16/07/2024,VI-117910,"2,353.00",Revenue,ActivLives,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,16/07/2024,VI-117970,"27,000.00",Revenue,ActivLives,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,24/07/2024,VI-118754,700.00,Revenue,ActivLives,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/07/2024,VI-117483,785.88,Revenue,Adobe Systems Software,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,05/07/2024,VI-117133,"1,975.00",Revenue,AECOM Limited,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,17/07/2024,VI-118128,250.00,Revenue,Aldeburgh PCC,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,30/07/2024,VI-119044,"1,060.00",Revenue,Alde Community Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/07/2024,VI-117529,420.00,Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,16/07/2024,VI-118068,"4,924.53",Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,09/07/2024,VI-115490,833.33,Capital,ALH Building Services Design Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,19/07/2024,VI-118225,"2,200.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Holding Account - Cash Out,Capital Expenditure,19/07/2024,VI-118442,"1,500.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,23/07/2024,VI-118177,299.00,Revenue,ALLEN CARR'S EASYWAY (INTERNATIONAL) LTD,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,04/07/2024,VI-117171,"10,202.04",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,04/07/2024,VI-117173,"15,254.66",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,Stationery,17/07/2024,VI-116758,318.40,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,Stationery,17/07/2024,VI-116759,315.84,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,30/07/2024,VI-118785,983.76,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,31/07/2024,VI-111363,374.06,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,31/07/2024,VC-003675,-374.06,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,31/07/2024,VI-119391,"12,400.24",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,26/07/2024,VI-118604,560.00,Revenue,Arborterra Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Consultants,31/07/2024,VI-118751,"4,800.00",Revenue,ARC Resolve Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,26/07/2024,VI-118857,439.80,Revenue,Arena Partnership Ltd,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Other Ext Provided Services,09/07/2024,VI-116709,"9,750.00",Revenue,Arlingclose Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,05/07/2024,VI-117131,"1,000.00",Revenue,The Art Station,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/07/2024,VI-119098,"2,520.00",Revenue,The Art Station,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,05/07/2024,VI-117214,"2,423.50",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,09/07/2024,VI-117448,"3,888.50",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,26/07/2024,VI-118925,"5,569.50",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,16/07/2024,VI-118007,"1,847.20",Capital,Ashley Grant Consultancy,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Building Services - Responsive Maintenance,31/07/2024,VI-116687,"1,990.45",Revenue,Aspire Construction & Property Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,09/07/2024,VI-117413,956.70,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,16/07/2024,VI-117897,"1,739.28",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,23/07/2024,VI-118550,"2,502.45",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,30/07/2024,VI-118877,"2,587.15",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Officer Professional Subscriptions,01/07/2024,VI-068176,270.00,Revenue,Association of Chartered Certified Accountants,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,02/07/2024,VI-115086,535.39,Revenue,ASSET Education,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,19/07/2024,VI-118471,"4,792.50",Revenue,ASSET Education,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,19/07/2024,VI-118472,"1,813.78",Revenue,ASSET Education,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,19/07/2024,VI-118474,495.00,Revenue,ASSET Education,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/07/2024,VI-117481,273.39,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/07/2024,VI-117480,264.13,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,23/07/2024,VI-118513,250.00,Revenue,Avenue Evangelical Church,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,26/07/2024,VI-116508,"10,209.00",Revenue,Avison Young (UK) Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Other Indirect Employee Expenses,16/07/2024,VC-001789,"-1,344.88",Revenue,AXA PPP,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,16/07/2024,VI-118006,"1,632.50",Revenue,BACT Community Transport,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,30/07/2024,VI-118876,500.00,Revenue,BACT Community Transport,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,09/07/2024,VI-116964,"20,595.65",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,09/07/2024,VI-116739,"2,117.74",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,19/07/2024,VI-118043,"16,917.45",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
