Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,15/10/2024,VI-124088,"11,629.00",Capital,A10 Auto Centre Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,15/10/2024,VI-124089,"22,069.00",Capital,A10 Auto Centre Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,25/10/2024,VI-124498,"23,100.00",Revenue,A10 Auto Centre Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,04/10/2024,VI-122732,400.00,Revenue,Abouttime Training,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,04/10/2024,VI-123327,"33,000.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,09/10/2024,VI-118688,"2,800.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,22/10/2024,VI-124328,900.00,Revenue,Acesco Business & Property Servcies LLP,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,General Purchases,25/10/2024,VI-124519,461.00,Revenue,A1 Clearance & Recycling Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,25/10/2024,VI-124638,"1,300.00",Revenue,ADC (East Anglia) Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Furniture and Equipment,10/10/2024,VI-123323,252.00,Revenue,Adexa Direct Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,04/10/2024,VI-123045,330.00,Revenue,Advanced Automated Access Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/10/2024,VI-124836,"1,802.15",Revenue,A J Builders (Suffolk) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/10/2024,VI-124837,"3,239.69",Revenue,A J Builders (Suffolk) Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124353,"2,644.50",Revenue,Aldeburgh Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124354,954.00,Revenue,Aldringham-Cum-Thorpe Parish Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Marketing & Promotions,04/10/2024,VI-122903,"2,500.00",Revenue,Aldeburgh Food and Drink Festival CIC,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/10/2024,VI-124222,"2,997.27",Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,16/10/2024,VI-124182,"2,200.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,16/10/2024,VI-124150,"4,784.00",Revenue,ALLEN CARR'S EASYWAY (INTERNATIONAL) LTD,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,04/10/2024,VI-123384,"9,774.22",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,04/10/2024,VI-123390,"14,824.95",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,11/10/2024,VI-122095,"3,826.24",Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,18/10/2024,VI-124198,439.90,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,23/10/2024,VI-123885,"1,002.50",Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
